#ID	关卡ID	关卡前面的点(x;y)	关卡后面的点（专门针对一章的最后的点）(x;y)
id	levelid	prepoint	nextpoint
243	18010706	522;169	
244	18010707	547;72	
245	18010707	588;59	
246	18010707	631;59	
247	18010708	740;92	879;164
248	18010708	774;103	914;149
249	18010801	15;142	
250	18010801	45;130	
251	18010802	100;159	
252	18010802	90;199	
253	18010802	101;235	
254	18010803	194;201	
255	18010803	216;164	
256	18010803	207;124	
257	18010804	309;105	
258	18010804	310;149	
259	18010804	344;172	
260	18010805	438;167	
261	18010805	439;126	
262	18010805	462;94	
263	18010806	541;128	
264	18010806	555;160	
265	18010807	597;218	
266	18010807	602;251	
267	18010807	631;266	
268	18010808	724;239	881;198
269	18010808	736;203	906;219
270	18010808	774;187	
271	18010901	12;138	
272	18010901	40;119	
273	18010902	106;161	
274	18010902	103;197	
275	18010902	133;220	
276	18010903	232;251	
277	18010903	259;268	
278	18010903	292;259	
279	18010904	400;258	
280	18010904	428;240	
281	18010904	423;209	
282	18010905	409;101	
283	18010905	431;75	
284	18010905	465;76	
285	18010906	566;98	
286	18010906	599;79	
287	18010906	635;84	
288	18010907	709;131	
289	18010907	719;161	
290	18010908	800;192	914;127
291	18010908	827;174	937;144
292	18011001	20;242	
293	18011001	50;221	
294	18011002	123;164	
295	18011002	119;131	
296	18011002	132;94	
297	18011003	248;73	
298	18011003	287;56	
299	18011003	330;63	
300	18011004	375;125	
301	18011004	355;155	
302	18011004	370;184	
303	18011005	423;252	
304	18011005	454;262	
305	18011006	536;237	
306	18011006	525;203	
307	18011006	522;169	
308	18011007	547;72	
309	18011007	588;59	
310	18011007	631;59	
311	18011008	740;92	879;164
312	18011008	774;103	914;149
313	18011101	15;142	
314	18011101	45;130	
315	18011102	100;159	
316	18011102	90;199	
317	18011102	101;235	
318	18011103	194;201	
319	18011103	216;164	
320	18011103	207;124	
321	18011104	309;105	
322	18011104	310;149	
323	18011104	344;172	
324	18011105	438;167	
325	18011105	439;126	
326	18011105	462;94	
327	18011106	541;128	
328	18011106	555;160	
329	18011107	597;218	
330	18011107	602;251	
331	18011107	631;266	
332	18011108	724;239	881;198
333	18011108	736;203	906;219
334	18011108	774;187	
335	18011201	12;138	
336	18011201	40;119	
337	18011202	106;161	
338	18011202	103;197	
339	18011202	133;220	
340	18011203	232;251	
341	18011203	259;268	
342	18011203	292;259	
343	18011204	400;258	
344	18011204	428;240	
345	18011204	423;209	
346	18011205	409;101	
347	18011205	431;75	
348	18011205	465;76	
349	18011206	566;98	
350	18011206	599;79	
351	18011206	635;84	
352	18011207	709;131	
353	18011207	719;161	
354	18011208	800;192	914;127
355	18011208	827;174	937;144
356	18011301	20;242	
357	18011301	50;221	
358	18011302	123;164	
359	18011302	119;131	
360	18011302	132;94	
361	18011303	248;73	
362	18011303	287;56	
363	18011303	330;63	
364	18011304	375;125	
365	18011304	355;155	
366	18011304	370;184	
367	18011305	423;252	
368	18011305	454;262	
369	18011306	536;237	
370	18011306	525;203	
371	18011306	522;169	
372	18011307	547;72	
373	18011307	588;59	
374	18011307	631;59	
375	18011308	740;92	879;164
376	18011308	774;103	914;149
377	18011401	15;142	
378	18011401	45;130	
379	18011402	100;159	
380	18011402	90;199	
381	18011402	101;235	
382	18011403	194;201	
383	18011403	216;164	
384	18011403	207;124	
385	18011404	309;105	
386	18011404	310;149	
387	18011404	344;172	
388	18011405	438;167	
389	18011405	439;126	
390	18011405	462;94	
391	18011406	541;128	
392	18011406	555;160	
393	18011407	597;218	
394	18011407	602;251	
395	18011407	631;266	
396	18011408	724;239	881;198
397	18011408	736;203	906;219
398	18011408	774;187	
399	18011501	12;138	
400	18011501	40;119	
401	18011502	106;161	
402	18011502	103;197	
403	18011502	133;220	
404	18011503	232;251	
405	18011503	259;268	
406	18011503	292;259	
407	18011504	400;258	
408	18011504	428;240	
409	18011504	423;209	
410	18011505	409;101	
411	18011505	431;75	
412	18011505	465;76	
413	18011506	566;98	
414	18011506	599;79	
415	18011506	635;84	
416	18011507	709;131	
417	18011507	719;161	
418	18011508	800;192	914;127
419	18011508	827;174	937;144
420	18070101	491;244	
421	18070101	519;271	
422	18070101	561;266	
423	18080101	662;243	
424	18080101	705;242	
425	18070201	211;264	
426	18070201	257;268	
427	18070202	653;158	
428	18070202	659;125	
429	18080201	390;271	
430	18080201	426;285	
431	18080201	461;268	
432	18080202	725;79	
433	18080202	768;75	
434	18070301	210;184	
435	18070301	217;149	
436	18070302	645;143	
437	18070302	613;165	
438	18070302	600;196	
439	18080301	261;79	
440	18080301	296;65	
441	18080302	593;262	
442	18080302	619;283	
443	18080302	658;282	
444	18070401	209;123	
445	18070401	220;150	
446	18070402	570;136	
447	18070402	610;141	
448	18070402	635;172	
449	18080401	222;250	
450	18080401	237;274	
451	18080402	684;256	
452	18080402	718;277	
453	18080402	757;265	
454	18070501	211;264	
455	18070501	257;268	
456	18070502	653;158	
457	18070502	659;125	
458	18080501	390;271	
459	18080501	426;285	
460	18080501	461;268	
461	18080502	725;79	
462	18080502	768;75	
463	18070601	210;184	
464	18070601	217;149	
465	18070602	645;143	
466	18070602	613;165	
467	18070602	600;196	
468	18080601	261;79	
469	18080601	296;65	
470	18080602	593;262	
471	18080602	619;283	
472	18080602	658;282	
473	18070701	209;123	
474	18070701	220;150	
475	18070702	570;136	
476	18070702	610;141	
477	18070702	635;172	
478	18080701	222;250	
479	18080701	237;274	
480	18080702	684;256	
481	18080702	718;277	
482	18080702	757;265	
483	18070801	211;264	
484	18070801	257;268	
485	18070802	653;158	
486	18070802	659;125	
487	18080801	390;271	
488	18080801	426;285	
489	18080801	461;268	
490	18080802	725;79	
491	18080802	768;75	
492	18070901	210;184	
493	18070901	217;149	
494	18070902	645;143	
495	18070902	613;165	
496	18070902	600;196	
497	18080901	261;79	
498	18080901	296;65	
499	18080902	593;262	
500	18080902	619;283	
501	18080902	658;282	
502	18071001	209;123	
503	18071001	220;150	
504	18071002	570;136	
505	18071002	610;141	
506	18071002	635;172	
507	18081001	222;250	
508	18081001	237;274	
509	18081002	684;256	
510	18081002	718;277	
511	18081002	757;265	
512	18071101	211;264	
513	18071101	257;268	
514	18071102	653;158	
515	18071102	659;125	
516	18081101	390;271	
517	18081101	426;285	
518	18081101	461;268	
519	18081102	725;79	
520	18081102	768;75	
521	18071201	210;184	
522	18071201	217;149	
523	18071202	645;143	
524	18071202	613;165	
525	18071202	600;196	
526	18081201	261;79	
527	18081201	296;65	
528	18081202	593;262	
529	18081202	619;283	
530	18081202	658;282	
531	18071301	209;123	
532	18071301	220;150	
533	18071302	570;136	
534	18071302	610;141	
535	18071302	635;172	
536	18081301	222;250	
537	18081301	237;274	
538	18081302	684;256	
539	18081302	718;277	
540	18081302	757;265	
541	18071401	211;264	
542	18071401	257;268	
543	18071402	653;158	
544	18071402	659;125	
545	18081401	390;271	
546	18081401	426;285	
547	18081401	461;268	
548	18081402	725;79	
549	18081402	768;75	
550	18071501	210;184	
551	18071501	217;149	
552	18071502	645;143	
553	18071502	613;165	
554	18071502	600;196	
555	18081501	261;79	
556	18081501	296;65	
557	18081502	593;262	
558	18081502	619;283	
559	18081502	658;282	
560	18020101	10;101	
561	18020101	38;100	
562	18020102	117;147	
563	18020102	134;185	
564	18020102	179;195	
565	18020103	283;168	
566	18020103	299;137	
567	18020103	337;130	
568	18020104	430;120	
569	18020104	472;131	
570	18020104	479;170	
571	18020105	571;189	
572	18020105	613;160	
573	18020105	629;120	
574	18020106	746;113	899;181
575	18020106	789;133	932;158
576	18020106	797;176	
577	18020201	11;118	
578	18020201	39;142	
579	18020202	140;136	
580	18020202	157;113	
581	18020202	195;106	
582	18020203	303;125	
583	18020203	309;162	
584	18020203	347;173	
585	18020204	449;174	
586	18020204	467;137	
587	18020204	500;115	
588	18020205	616;125	
589	18020205	608;169	
590	18020205	636;202	
591	18020206	735;216	904;135
592	18020206	779;193	932;160
593	18020206	788;153	
594	18020301	10;101	
595	18020301	38;100	
596	18020302	117;147	
597	18020302	134;185	
598	18020302	179;195	
599	18020303	283;168	
600	18020303	299;137	
601	18020303	337;130	
602	18020304	430;120	
603	18020304	472;131	
604	18020304	479;170	
605	18020305	571;189	
606	18020305	613;160	
607	18020305	629;120	
608	18020306	746;113	899;181
609	18020306	789;133	932;158
610	18020306	797;176	
611	18020401	11;118	
612	18020401	39;142	
613	18020402	140;136	
614	18020402	157;113	
615	18020402	195;106	
616	18020403	303;125	
617	18020403	309;162	
618	18020403	347;173	
619	18020404	449;174	
620	18020404	467;137	
621	18020404	500;115	
622	18020405	616;125	
623	18020405	608;169	
624	18020405	636;202	
625	18020406	735;216	904;135
626	18020406	779;193	932;160
627	18020406	788;153	
628	18020501	10;101	
629	18020501	38;100	
630	18020502	117;147	
631	18020502	134;185	
632	18020502	179;195	
633	18020503	283;168	
634	18020503	299;137	
635	18020503	337;130	
636	18020504	430;120	
637	18020504	472;131	
638	18020504	479;170	
639	18020505	571;189	
640	18020505	613;160	
641	18020505	629;120	
642	18020506	746;113	899;181
643	18020506	789;133	932;158
644	18020506	797;176	
645	18020601	11;118	
646	18020601	39;142	
647	18020602	140;136	
648	18020602	157;113	
649	18020602	195;106	
650	18020603	303;125	
651	18020603	309;162	
652	18020603	347;173	
653	18020604	449;174	
654	18020604	467;137	
655	18020604	500;115	
656	18020605	616;125	
657	18020605	608;169	
658	18020605	636;202	
659	18020606	735;216	904;135
660	18020606	779;193	932;160
661	18020606	788;153	
662	18020701	10;101	
663	18020701	38;100	
664	18020702	117;147	
665	18020702	134;185	
666	18020702	179;195	
667	18020703	283;168	
668	18020703	299;137	
669	18020703	337;130	
670	18020704	430;120	
671	18020704	472;131	
672	18020704	479;170	
673	18020705	571;189	
674	18020705	613;160	
675	18020705	629;120	
676	18020706	746;113	899;181
677	18020706	789;133	932;158
678	18020706	797;176	
679	18020801	11;118	
680	18020801	39;142	
681	18020802	140;136	
682	18020802	157;113	
683	18020802	195;106	
684	18020803	303;125	
685	18020803	309;162	
686	18020803	347;173	
687	18020804	449;174	
688	18020804	467;137	
689	18020804	500;115	
690	18020805	616;125	
691	18020805	608;169	
692	18020805	636;202	
693	18020806	735;216	904;135
694	18020806	779;193	932;160
695	18020806	788;153	
696	18020901	10;101	
697	18020901	38;100	
698	18020902	117;147	
699	18020902	134;185	
700	18020902	179;195	
701	18020903	283;168	
702	18020903	299;137	
703	18020903	337;130	
704	18020904	430;120	
705	18020904	472;131	
706	18020904	479;170	
707	18020905	571;189	
708	18020905	613;160	
709	18020905	629;120	
710	18020906	746;113	899;181
711	18020906	789;133	932;158
712	18020906	797;176	
713	18021001	11;118	
714	18021001	39;142	
715	18021002	140;136	
716	18021002	157;113	
717	18021002	195;106	
718	18021003	303;125	
719	18021003	309;162	
720	18021003	347;173	
721	18021004	449;174	
722	18021004	467;137	
723	18021004	500;115	
724	18021005	616;125	
725	18021005	608;169	
726	18021005	636;202	
727	18021006	735;216	904;135
728	18021006	779;193	932;160
729	18021006	788;153	
730	18021101	10;101	
731	18021101	38;100	
732	18021102	117;147	
733	18021102	134;185	
734	18021102	179;195	
735	18021103	283;168	
736	18021103	299;137	
737	18021103	337;130	
738	18021104	430;120	
739	18021104	472;131	
740	18021104	479;170	
741	18021105	571;189	
742	18021105	613;160	
743	18021105	629;120	
744	18021106	746;113	899;181
745	18021106	789;133	932;158
746	18021106	797;176	
747	18021201	11;118	
748	18021201	39;142	
749	18021202	140;136	
750	18021202	157;113	
751	18021202	195;106	
752	18021203	303;125	
753	18021203	309;162	
754	18021203	347;173	
755	18021204	449;174	
756	18021204	467;137	
757	18021204	500;115	
758	18021205	616;125	
759	18021205	608;169	
760	18021205	636;202	
761	18021206	735;216	904;135
762	18021206	779;193	932;160
763	18021206	788;153	
764	18021301	10;101	
765	18021301	38;100	
766	18021302	117;147	
767	18021302	134;185	
768	18021302	179;195	
769	18021303	283;168	
770	18021303	299;137	
771	18021303	337;130	
772	18021304	430;120	
773	18021304	472;131	
774	18021304	479;170	
775	18021305	571;189	
776	18021305	613;160	
777	18021305	629;120	
778	18021306	746;113	899;181
779	18021306	789;133	932;158
780	18021306	797;176	
781	18021401	11;118	
782	18021401	39;142	
783	18021402	140;136	
784	18021402	157;113	
785	18021402	195;106	
786	18021403	303;125	
787	18021403	309;162	
788	18021403	347;173	
789	18021404	449;174	
790	18021404	467;137	
791	18021404	500;115	
792	18021405	616;125	
793	18021405	608;169	
794	18021405	636;202	
795	18021406	735;216	904;135
796	18021406	779;193	932;160
797	18021406	788;153	
798	18021501	10;101	
799	18021501	38;100	
800	18021502	117;147	
801	18021502	134;185	
802	18021502	179;195	
803	18021503	283;168	
804	18021503	299;137	
805	18021503	337;130	
806	18021504	430;120	
807	18021504	472;131	
808	18021504	479;170	
809	18021505	571;189	
810	18021505	613;160	
811	18021505	629;120	
812	18021506	746;113	899;181
813	18021506	789;133	932;158
814	18021506	797;176	
815	18021601	11;118	
816	18021601	39;142	
817	18021602	140;136	
818	18021602	157;113	
819	18021602	195;106	
820	18021603	303;125	
821	18021603	309;162	
822	18021603	347;173	
823	18021604	449;174	
824	18021604	467;137	
825	18021604	500;115	
826	18021605	616;125	
827	18021605	608;169	
828	18021605	636;202	
829	18021606	735;216	904;135
830	18021606	779;193	932;160
831	18021606	788;153	
832	18021701	10;101	
833	18021701	38;100	
834	18021702	117;147	
835	18021702	134;185	
836	18021702	179;195	
837	18021703	283;168	
838	18021703	299;137	
839	18021703	337;130	
840	18021704	430;120	
841	18021704	472;131	
842	18021704	479;170	
843	18021705	571;189	
844	18021705	613;160	
845	18021705	629;120	
846	18021706	746;113	899;181
847	18021706	789;133	932;158
848	18021706	797;176	
