#时间	顺序	奖励（掉落组）	倍率	倍率要求的vip等级	对应vip图片
month	order	drop	multiply	reqvip	vipImg
6	14	22050013	2	8	qiandaosb8.png
6	15	22050014	1	0	0
6	16	22050015	2	9	qiandaosb9.png
6	17	22050016	1	0	0
6	18	22050017	2	10	qiandaosb10.png
6	19	22050018	2	11	qiandaosb11.png
6	20	22050019	1	0	0
6	21	22050020	2	12	qiandaosb12.png
6	22	22050021	1	0	0
6	23	22050022	2	13	qiandaosb13.png
6	24	22050023	2	14	qiandaosb14.png
6	25	22050024	1	0	0
6	26	22050025	2	15	qiandaosb15.png
6	27	22050026	2	15	qiandaosb15.png
6	28	22050027	1	0	0
6	29	22050028	1	0	0
6	30	22050029	2	15	qiandaosb15.png
6	31	22050030	2	15	qiandaosb15.png
#					
7	1	22050000	1	0	0
7	2	22050001	1	0	0
7	3	22050002	2	1	qiandaosb1.png
7	4	22050003	2	2	qiandaosb2.png
7	5	22050004	1	0	0
7	6	22050005	2	3	qiandaosb3.png
7	7	22050006	1	0	0
7	8	22050007	2	4	qiandaosb4.png
7	9	22050008	2	5	qiandaosb5.png
7	10	22050009	1	0	0
7	11	22050010	2	6	qiandaosb6.png
7	12	22050011	1	0	0
7	13	22050012	2	7	qiandaosb7.png
7	14	22050013	2	8	qiandaosb8.png
7	15	22050014	1	0	0
7	16	22050015	2	9	qiandaosb9.png
7	17	22050016	1	0	0
7	18	22050017	2	10	qiandaosb10.png
7	19	22050018	2	11	qiandaosb11.png
7	20	22050019	1	0	0
7	21	22050020	2	12	qiandaosb12.png
7	22	22050021	1	0	0
7	23	22050022	2	13	qiandaosb13.png
7	24	22050023	2	14	qiandaosb14.png
7	25	22050024	1	0	0
7	26	22050025	2	15	qiandaosb15.png
7	27	22050026	2	15	qiandaosb15.png
7	28	22050027	1	0	0
7	29	22050028	1	0	0
7	30	22050029	2	15	qiandaosb15.png
7	31	22050030	2	15	qiandaosb15.png
#					
8	1	22050000	1	0	0
8	2	22050001	1	0	0
8	3	22050002	2	1	qiandaosb1.png
8	4	22050003	2	2	qiandaosb2.png
8	5	22050004	1	0	0
8	6	22050005	2	3	qiandaosb3.png
8	7	22050006	1	0	0
8	8	22050007	2	4	qiandaosb4.png
8	9	22050008	2	5	qiandaosb5.png
8	10	22050009	1	0	0
8	11	22050010	2	6	qiandaosb6.png
8	12	22050011	1	0	0
8	13	22050012	2	7	qiandaosb7.png
8	14	22050013	2	8	qiandaosb8.png
8	15	22050014	1	0	0
8	16	22050015	2	9	qiandaosb9.png
8	17	22050016	1	0	0
8	18	22050017	2	10	qiandaosb10.png
8	19	22050018	2	11	qiandaosb11.png
8	20	22050019	1	0	0
8	21	22050020	2	12	qiandaosb12.png
8	22	22050021	1	0	0
8	23	22050022	2	13	qiandaosb13.png
8	24	22050023	2	14	qiandaosb14.png
8	25	22050024	1	0	0
8	26	22050025	2	15	qiandaosb15.png
8	27	22050026	2	15	qiandaosb15.png
8	28	22050027	1	0	0
8	29	22050028	1	0	0
8	30	22050029	2	15	qiandaosb15.png
8	31	22050030	2	15	qiandaosb15.png
#					
9	1	22050000	1	0	0
9	2	22050001	1	0	0
9	3	22050002	2	1	qiandaosb1.png
9	4	22050003	2	2	qiandaosb2.png
9	5	22050004	1	0	0
9	6	22050005	2	3	qiandaosb3.png
9	7	22050006	1	0	0
9	8	22050007	2	4	qiandaosb4.png
9	9	22050008	2	5	qiandaosb5.png
9	10	22050009	1	0	0
9	11	22050010	2	6	qiandaosb6.png
9	12	22050011	1	0	0
9	13	22050012	2	7	qiandaosb7.png
9	14	22050013	2	8	qiandaosb8.png
9	15	22050014	1	0	0
9	16	22050015	2	9	qiandaosb9.png
9	17	22050016	1	0	0
9	18	22050017	2	10	qiandaosb10.png
9	19	22050018	2	11	qiandaosb11.png
9	20	22050019	1	0	0
9	21	22050020	2	12	qiandaosb12.png
9	22	22050021	1	0	0
9	23	22050022	2	13	qiandaosb13.png
9	24	22050023	2	14	qiandaosb14.png
9	25	22050024	1	0	0
9	26	22050025	2	15	qiandaosb15.png
9	27	22050026	2	15	qiandaosb15.png
9	28	22050027	1	0	0
9	29	22050028	1	0	0
9	30	22050029	2	15	qiandaosb15.png
9	31	22050030	2	15	qiandaosb15.png
#					
10	1	22050000	1	0	0
10	2	22050001	1	0	0
10	3	22050002	2	1	qiandaosb1.png
10	4	22050003	2	2	qiandaosb2.png
10	5	22050004	1	0	0
10	6	22050005	2	3	qiandaosb3.png
10	7	22050006	1	0	0
10	8	22050007	2	4	qiandaosb4.png
10	9	22050008	2	5	qiandaosb5.png
10	10	22050009	1	0	0
10	11	22050010	2	6	qiandaosb6.png
10	12	22050011	1	0	0
10	13	22050012	2	7	qiandaosb7.png
10	14	22050013	2	8	qiandaosb8.png
10	15	22050014	1	0	0
10	16	22050015	2	9	qiandaosb9.png
10	17	22050016	1	0	0
10	18	22050017	2	10	qiandaosb10.png
10	19	22050018	2	11	qiandaosb11.png
10	20	22050019	1	0	0
10	21	22050020	2	12	qiandaosb12.png
10	22	22050021	1	0	0
10	23	22050022	2	13	qiandaosb13.png
10	24	22050023	2	14	qiandaosb14.png
10	25	22050024	1	0	0
10	26	22050025	2	15	qiandaosb15.png
10	27	22050026	2	15	qiandaosb15.png
10	28	22050027	1	0	0
10	29	22050028	1	0	0
10	30	22050029	2	15	qiandaosb15.png
10	31	22050030	2	15	qiandaosb15.png
#					
11	1	22050000	1	0	0
11	2	22050001	1	0	0
11	3	22050002	2	1	qiandaosb1.png
11	4	22050003	2	2	qiandaosb2.png
11	5	22050004	1	0	0
11	6	22050005	2	3	qiandaosb3.png
11	7	22050006	1	0	0
11	8	22050007	2	4	qiandaosb4.png
11	9	22050008	2	5	qiandaosb5.png
11	10	22050009	1	0	0
11	11	22050010	2	6	qiandaosb6.png
11	12	22050011	1	0	0
11	13	22050012	2	7	qiandaosb7.png
11	14	22050013	2	8	qiandaosb8.png
11	15	22050014	1	0	0
11	16	22050015	2	9	qiandaosb9.png
11	17	22050016	1	0	0
11	18	22050017	2	10	qiandaosb10.png
11	19	22050018	2	11	qiandaosb11.png
11	20	22050019	1	0	0
11	21	22050020	2	12	qiandaosb12.png
11	22	22050021	1	0	0
11	23	22050022	2	13	qiandaosb13.png
11	24	22050023	2	14	qiandaosb14.png
11	25	22050024	1	0	0
11	26	22050025	2	15	qiandaosb15.png
11	27	22050026	2	15	qiandaosb15.png
11	28	22050027	1	0	0
11	29	22050028	1	0	0
11	30	22050029	2	15	qiandaosb15.png
11	31	22050030	2	15	qiandaosb15.png
#					
12	1	22050000	1	0	0
12	2	22050001	1	0	0
12	3	22050002	2	1	qiandaosb1.png
12	4	22050003	2	2	qiandaosb2.png
12	5	22050004	1	0	0
12	6	22050005	2	3	qiandaosb3.png
12	7	22050006	1	0	0
12	8	22050007	2	4	qiandaosb4.png
12	9	22050008	2	5	qiandaosb5.png
12	10	22050009	1	0	0
12	11	22050010	2	6	qiandaosb6.png
12	12	22050011	1	0	0
12	13	22050012	2	7	qiandaosb7.png
12	14	22050013	2	8	qiandaosb8.png
12	15	22050014	1	0	0
12	16	22050015	2	9	qiandaosb9.png
12	17	22050016	1	0	0
12	18	22050017	2	10	qiandaosb10.png
12	19	22050018	2	11	qiandaosb11.png
12	20	22050019	1	0	0
12	21	22050020	2	12	qiandaosb12.png
12	22	22050021	1	0	0
12	23	22050022	2	13	qiandaosb13.png
12	24	22050023	2	14	qiandaosb14.png
12	25	22050024	1	0	0
12	26	22050025	2	15	qiandaosb15.png
12	27	22050026	2	15	qiandaosb15.png
12	28	22050027	1	0	0
12	29	22050028	1	0	0
12	30	22050029	2	15	qiandaosb15.png
12	31	22050030	2	15	qiandaosb15.png
