#层数	难度	战力	物攻倍率	物防倍率	法攻倍率	法防倍率	生命倍率	怪物组(mapid)完全随机(; 分割)	宝箱概率	宝箱组(; 分割)	攻击属性概率	增加的攻击	防御属性概率	增加的防御	生命属性概率	增加的生命	战功比重(概率_战功数;)
Layer	Difficulty	ZL	PhyAtkParam	PhyDefParam	MgcAtkParam	MgcDefParam	HPParam	MapIDGroup	R_BoxProb	R_BoxGroup	R_AtkProb	R_AtkParam	R_DefProb	R_DefParam	R_HpProb	R_HPParam	R_Exploits
4	2	1	4.9	4.9	4.9	4.9	4.9	18061011;18061018;18061023;18062041;18062050;18063070;18063090;18063100;18063110;18064115;18064127;18064146;18064159;18065168;18065193;18062047;18063098;18064156	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
4	3	1	5.49	5.49	5.49	5.49	5.49	18061011;18061018;18061023;18062041;18062050;18063070;18063090;18063100;18063110;18064115;18064127;18064146;18064159;18065168;18065193;18062047;18063098;18064156	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
5	1	1	4.58	4.58	4.58	4.58	4.58	18061005;18061009;18061022;18062027;18062033;18062040;18062046;18063066;18063077;18063088;18063095;18064116;18064131;18064143;18064150;18065181;18065196;18065202	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
5	2	1	5.2	5.2	5.2	5.2	5.2	18061005;18061009;18061022;18062027;18062033;18062040;18062046;18063066;18063077;18063088;18063095;18064116;18064131;18064143;18064150;18065181;18065196;18065202	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
5	3	1	5.82	5.82	5.82	5.82	5.82	18061005;18061009;18061022;18062027;18062033;18062040;18062046;18063066;18063077;18063088;18063095;18064116;18064131;18064143;18064150;18065181;18065196;18065202	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
6	1	1	4.84	4.84	4.84	4.84	4.84	18061007;18061010;18061020;18062026;18062035;18062039;18062056;18063073;18063075;18063083;18063089;18064147;18064149;18064157;18064158;18065167;18065175;18065179	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
6	2	1	5.5	5.5	5.5	5.5	5.5	18061007;18061010;18061020;18062026;18062035;18062039;18062056;18063073;18063075;18063083;18063089;18064147;18064149;18064157;18064158;18065167;18065175;18065179	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
6	3	1	6.16	6.16	6.16	6.16	6.16	18061007;18061010;18061020;18062026;18062035;18062039;18062056;18063073;18063075;18063083;18063089;18064147;18064149;18064157;18064158;18065167;18065175;18065179	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
7	1	1	5.1	5.1	5.1	5.1	5.1	18061004;18061015;18061019;18062028;18062038;18062043;18062044;18063074;18063076;18063080;18063086;18064119;18064122;18064124;18064138;18065167;18065173;18065177	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
7	2	1	5.8	5.8	5.8	5.8	5.8	18061004;18061015;18061019;18062028;18062038;18062043;18062044;18063074;18063076;18063080;18063086;18064119;18064122;18064124;18064138;18065167;18065173;18065177	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
7	3	1	6.5	6.5	6.5	6.5	6.5	18061004;18061015;18061019;18062028;18062038;18062043;18062044;18063074;18063076;18063080;18063086;18064119;18064122;18064124;18064138;18065167;18065173;18065177	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
8	1	1	5.37	5.37	5.37	5.37	5.37	18061001;18061002;18061017;18062030;18062032;18062033;18062060;18063078;18063082;18063087;18063094;18064113;18064133;18064153;18064160;18065187;18065190;18065210	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
8	2	1	6.1	6.1	6.1	6.1	6.1	18061001;18061002;18061017;18062030;18062032;18062033;18062060;18063078;18063082;18063087;18063094;18064113;18064133;18064153;18064160;18065187;18065190;18065210	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
8	3	1	6.83	6.83	6.83	6.83	6.83	18061001;18061002;18061017;18062030;18062032;18062033;18062060;18063078;18063082;18063087;18063094;18064113;18064133;18064153;18064160;18065187;18065190;18065210	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
9	1	1	5.63	5.63	5.63	5.63	5.63	18061012;18061014;18061019;18062031;18062042;18062045;18062049;18063067;18063091;18063092;18063093;18064130;18064132;18064134;18064135;18065179;18065201;18065205	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
9	2	1	6.4	6.4	6.4	6.4	6.4	18061012;18061014;18061019;18062031;18062042;18062045;18062049;18063067;18063091;18063092;18063093;18064130;18064132;18064134;18064135;18065179;18065201;18065205	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
9	3	1	7.17	7.17	7.17	7.17	7.17	18061012;18061014;18061019;18062031;18062042;18062045;18062049;18063067;18063091;18063092;18063093;18064130;18064132;18064134;18064135;18065179;18065201;18065205	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
10	1	1	5.9	5.9	5.9	5.9	5.9	18061005;18061012;18061017;18062025;18062047;18062048;18062052;18063065;18063096;18063098;18063099;18064121;18064123;18064126;18064129;18065167;18065174;18065177	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
10	2	1	6.7	6.7	6.7	6.7	6.7	18061005;18061012;18061017;18062025;18062047;18062048;18062052;18063065;18063096;18063098;18063099;18064121;18064123;18064126;18064129;18065167;18065174;18065177	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
10	3	1	7.5	7.5	7.5	7.5	7.5	18061005;18061012;18061017;18062025;18062047;18062048;18062052;18063065;18063096;18063098;18063099;18064121;18064123;18064126;18064129;18065167;18065174;18065177	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
11	1	1	6.34	6.34	6.34	6.34	6.34	18061008;18061014;18061021;18062051;18062053;18062055;18062058;18063101;18063102;18063103;18063107;18064137;18064140;18064141;18064142;18065165;18065167;18065205	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
11	2	1	7.2	7.2	7.2	7.2	7.2	18061008;18061014;18061021;18062051;18062053;18062055;18062058;18063101;18063102;18063103;18063107;18064137;18064140;18064141;18064142;18065165;18065167;18065205	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
11	3	1	8.06	8.06	8.06	8.06	8.06	18061008;18061014;18061021;18062051;18062053;18062055;18062058;18063101;18063102;18063103;18063107;18064137;18064140;18064141;18064142;18065165;18065167;18065205	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
12	1	1	6.78	6.78	6.78	6.78	6.78	18061002;18061016;18061023;18062026;18062036;18062042;18062057;18063105;18063106;18063108;18063111;18064139;18064144;18064145;18064148;18065167;18065181;18065198	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
12	2	1	7.7	7.7	7.7	7.7	7.7	18061002;18061016;18061023;18062026;18062036;18062042;18062057;18063105;18063106;18063108;18063111;18064139;18064144;18064145;18064148;18065167;18065181;18065198	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
12	3	1	8.62	8.62	8.62	8.62	8.62	18061002;18061016;18061023;18062026;18062036;18062042;18062057;18063105;18063106;18063108;18063111;18064139;18064144;18064145;18064148;18065167;18065181;18065198	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
13	1	1	7.22	7.22	7.22	7.22	7.22	18061010;18061015;18061009;18062025;18062047;18062052;18062061;18063105;18063094;18063100;18063112;18064155;18064156;18064162;18064163;18065165;18065167;18065190	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
13	2	1	8.2	8.2	8.2	8.2	8.2	18061010;18061015;18061009;18062025;18062047;18062052;18062061;18063105;18063094;18063100;18063112;18064155;18064156;18064162;18064163;18065165;18065167;18065190	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
13	3	1	9.18	9.18	9.18	9.18	9.18	18061010;18061015;18061009;18062025;18062047;18062052;18062061;18063105;18063094;18063100;18063112;18064155;18064156;18064162;18064163;18065165;18065167;18065190	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
14	1	1	7.66	7.66	7.66	7.66	7.66	18061011;18061013;18062029;18062037;18063076;18063083;18063091;18064117;18064127;18064137;18064158;18065165;18065167;18065173;18065176;18066217;18066223;18066231	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
14	2	1	8.7	8.7	8.7	8.7	8.7	18061011;18061013;18062029;18062037;18063076;18063083;18063091;18064117;18064127;18064137;18064158;18065165;18065167;18065173;18065176;18066217;18066223;18066231	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
14	3	1	9.74	9.74	9.74	9.74	9.74	18061011;18061013;18062029;18062037;18063076;18063083;18063091;18064117;18064127;18064137;18064158;18065165;18065167;18065173;18065176;18066217;18066223;18066231	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
15	1	1	8.1	8.1	8.1	8.1	8.1	18061006;18061007;18062027;18062040;18063073;18063087;18063093;18064123;18064136;18064144;18064151;18065172;18065174;18065175;18065177;18066215;18066219;18066236	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
15	2	1	9.2	9.2	9.2	9.2	9.2	18061006;18061007;18062027;18062040;18063073;18063087;18063093;18064123;18064136;18064144;18064151;18065172;18065174;18065175;18065177;18066215;18066219;18066236	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
15	3	1	10.3	10.3	10.3	10.3	10.3	18061006;18061007;18062027;18062040;18063073;18063087;18063093;18064123;18064136;18064144;18064151;18065172;18065174;18065175;18065177;18066215;18066219;18066236	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
16	1	1	8.54	8.54	8.54	8.54	8.54	18061001;18061003;18062049;18062063;18063086;18063091;18063092;18064121;18064134;18064141;18064147;18065180;18065182;18065183;18065184;18066216;18066242;18066260	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
16	2	1	9.7	9.7	9.7	9.7	9.7	18061001;18061003;18062049;18062063;18063086;18063091;18063092;18064121;18064134;18064141;18064147;18065180;18065182;18065183;18065184;18066216;18066242;18066260	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
16	3	1	10.86	10.86	10.86	10.86	10.86	18061001;18061003;18062049;18062063;18063086;18063091;18063092;18064121;18064134;18064141;18064147;18065180;18065182;18065183;18065184;18066216;18066242;18066260	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
17	1	1	8.98	8.98	8.98	8.98	8.98	18061004;18061018;18062028;18062035;18063070;18063084;18063090;18064120;18064153;18064160;18064162;18065178;18065186;18065188;18065189;18066233;18066237;18066256	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
17	2	1	10.2	10.2	10.2	10.2	10.2	18061004;18061018;18062028;18062035;18063070;18063084;18063090;18064120;18064153;18064160;18064162;18065178;18065186;18065188;18065189;18066233;18066237;18066256	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
17	3	1	11.42	11.42	11.42	11.42	11.42	18061004;18061018;18062028;18062035;18063070;18063084;18063090;18064120;18064153;18064160;18064162;18065178;18065186;18065188;18065189;18066233;18066237;18066256	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
18	1	1	9.42	9.42	9.42	9.42	9.42	18061006;18061020;18062045;18062064;18063072;18063089;18063099;18064146;18064152;18064155;18065191;18065192;18065197;18065199;18065200;18066218;18066226;18066228	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
18	2	1	10.7	10.7	10.7	10.7	10.7	18061006;18061020;18062045;18062064;18063072;18063089;18063099;18064146;18064152;18064155;18065191;18065192;18065197;18065199;18065200;18066218;18066226;18066228	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
18	3	1	11.98	11.98	11.98	11.98	11.98	18061006;18061020;18062045;18062064;18063072;18063089;18063099;18064146;18064152;18064155;18065191;18065192;18065197;18065199;18065200;18066218;18066226;18066228	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
19	1	1	9.86	9.86	9.86	9.86	9.86	18061010;18061022;18062030;18062039;18063068;18063078;18063082;18064119;18064124;18064139;18064145;18065168;18065207;18065208;18065209;18066222;18066240;18066259	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
19	2	1	11.2	11.2	11.2	11.2	11.2	18061010;18061022;18062030;18062039;18063068;18063078;18063082;18064119;18064124;18064139;18064145;18065168;18065207;18065208;18065209;18066222;18066240;18066259	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
19	3	1	12.54	12.54	12.54	12.54	12.54	18061010;18061022;18062030;18062039;18063068;18063078;18063082;18064119;18064124;18064139;18064145;18065168;18065207;18065208;18065209;18066222;18066240;18066259	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
20	1	1	10.56	10.56	10.56	10.56	10.56	18061009;18061013;18062034;18062038;18063069;18063077;18063081;18064118;18064130;18064131;18064133;18065206;18065211;18065212;18065213;18066214;18066221;18066241	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
20	2	1	12	12	12	12	12	18061009;18061013;18062034;18062038;18063069;18063077;18063081;18064118;18064130;18064131;18064133;18065206;18065211;18065212;18065213;18066214;18066221;18066241	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
20	3	1	13.44	13.44	13.44	13.44	13.44	18061009;18061013;18062034;18062038;18063069;18063077;18063081;18064118;18064130;18064131;18064133;18065206;18065211;18065212;18065213;18066214;18066221;18066241	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
21	1	1	11.26	11.26	11.26	11.26	11.26	18061012;18061020;18062031;18062041;18063071;18063078;18063090;18064125;18064135;18064142;18064149;18065171;18065194;18065203;18065204;18066220;18066230;18066248	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
21	2	1	12.8	12.8	12.8	12.8	12.8	18061012;18061020;18062031;18062041;18063071;18063078;18063090;18064125;18064135;18064142;18064149;18065171;18065194;18065203;18065204;18066220;18066230;18066248	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
21	3	1	14.34	14.34	14.34	14.34	14.34	18061012;18061020;18062031;18062041;18063071;18063078;18063090;18064125;18064135;18064142;18064149;18065171;18065194;18065203;18065204;18066220;18066230;18066248	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
22	1	1	11.97	11.97	11.97	11.97	11.97	18061008;18061011;18062024;18062043;18063067;18063075;18063088;18064113;18064129;18064140;18064154;18065176;18065186;18065189;18065194;18066225;18066229;18066232	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
22	2	1	13.6	13.6	13.6	13.6	13.6	18061008;18061011;18062024;18062043;18063067;18063075;18063088;18064113;18064129;18064140;18064154;18065176;18065186;18065189;18065194;18066225;18066229;18066232	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
22	3	1	15.23	15.23	15.23	15.23	15.23	18061008;18061011;18062024;18062043;18063067;18063075;18063088;18064113;18064129;18064140;18064154;18065176;18065186;18065189;18065194;18066225;18066229;18066232	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
23	1	1	12.67	12.67	12.67	12.67	12.67	18061007;18061018;18062029;18062054;18063074;18063079;18063080;18064143;18064150;18064157;18064159;18065192;18065201;18065207;18065209;18066235;18066250;18066254	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
23	2	1	14.4	14.4	14.4	14.4	14.4	18061007;18061018;18062029;18062054;18063074;18063079;18063080;18064143;18064150;18064157;18064159;18065192;18065201;18065207;18065209;18066235;18066250;18066254	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
23	3	1	16.13	16.13	16.13	16.13	16.13	18061007;18061018;18062029;18062054;18063074;18063079;18063080;18064143;18064150;18064157;18064159;18065192;18065201;18065207;18065209;18066235;18066250;18066254	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
24	1	1	13.38	13.38	13.38	13.38	13.38	18061021;18062050;18062051;18063101;18063103;18064138;18064148;18064161;18065198;18065204;18065212;18066224;18066227;18066234;18066238;18067266;18067271;18067283	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
24	2	1	15.2	15.2	15.2	15.2	15.2	18061021;18062050;18062051;18063101;18063103;18064138;18064148;18064161;18065198;18065204;18065212;18066224;18066227;18066234;18066238;18067266;18067271;18067283	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
24	3	1	17.02	17.02	17.02	17.02	17.02	18061021;18062050;18062051;18063101;18063103;18064138;18064148;18064161;18065198;18065204;18065212;18066224;18066227;18066234;18066238;18067266;18067271;18067283	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
25	1	1	14.08	14.08	14.08	14.08	14.08	18061005;18062044;18062046;18063085;18063096;18064115;18064128;18064143;18065166;18065183;18065188;18066239;18066244;18066247;18066249;18067273;18067289;18067304	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
25	2	1	16	16	16	16	16	18061005;18062044;18062046;18063085;18063096;18064115;18064128;18064143;18065166;18065183;18065188;18066239;18066244;18066247;18066249;18067273;18067289;18067304	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
25	3	1	17.92	17.92	17.92	17.92	17.92	18061005;18062044;18062046;18063085;18063096;18064115;18064128;18064143;18065166;18065183;18065188;18066239;18066244;18066247;18066249;18067273;18067289;18067304	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
26	1	1	14.78	14.78	14.78	14.78	14.78	18061004;18062048;18062053;18063104;18063108;18064114;18064132;18064163;18065193;18065203;18065208;18066243;18066245;18066252;18066258;18067263;18067281;18067294	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
26	2	1	16.8	16.8	16.8	16.8	16.8	18061004;18062048;18062053;18063104;18063108;18064114;18064132;18064163;18065193;18065203;18065208;18066243;18066245;18066252;18066258;18067263;18067281;18067294	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
26	3	1	18.82	18.82	18.82	18.82	18.82	18061004;18062048;18062053;18063104;18063108;18064114;18064132;18064163;18065193;18065203;18065208;18066243;18066245;18066252;18066258;18067263;18067281;18067294	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
27	1	1	15.49	15.49	15.49	15.49	15.49	18061014;18062055;18062056;18063083;18063092;18064117;18064126;18064139;18065164;18065183;18065196;18066251;18066255;18066257;18066261;18067262;18067269;18067282	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
27	2	1	17.6	17.6	17.6	17.6	17.6	18061014;18062055;18062056;18063083;18063092;18064117;18064126;18064139;18065164;18065183;18065196;18066251;18066255;18066257;18066261;18067262;18067269;18067282	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
27	3	1	19.71	19.71	19.71	19.71	19.71	18061014;18062055;18062056;18063083;18063092;18064117;18064126;18064139;18065164;18065183;18065196;18066251;18066255;18066257;18066261;18067262;18067269;18067282	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
28	1	1	16.19	16.19	16.19	16.19	16.19	18061015;18062046;18062050;18063078;18063090;18064132;18064146;18064151;18065169;18065180;18065186;18066217;18066227;18066242;18066246;18067268;18067277;18067292	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
28	2	1	18.4	18.4	18.4	18.4	18.4	18061015;18062046;18062050;18063078;18063090;18064132;18064146;18064151;18065169;18065180;18065186;18066217;18066227;18066242;18066246;18067268;18067277;18067292	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
28	3	1	20.61	20.61	20.61	20.61	20.61	18061015;18062046;18062050;18063078;18063090;18064132;18064146;18064151;18065169;18065180;18065186;18066217;18066227;18066242;18066246;18067268;18067277;18067292	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
29	1	1	16.9	16.9	16.9	16.9	16.9	18061001;18062032;18062044;18063099;18063104;18064121;18064159;18064154;18065175;18065170;18065180;18066214;18066227;18066233;18066241;18067262;18067278;18067283	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
29	2	1	19.2	19.2	19.2	19.2	19.2	18061001;18062032;18062044;18063099;18063104;18064121;18064159;18064154;18065175;18065170;18065180;18066214;18066227;18066233;18066241;18067262;18067278;18067283	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
29	3	1	21.5	21.5	21.5	21.5	21.5	18061001;18062032;18062044;18063099;18063104;18064121;18064159;18064154;18065175;18065170;18065180;18066214;18066227;18066233;18066241;18067262;18067278;18067283	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
30	1	1	18.04	18.04	18.04	18.04	18.04	18061002;18062033;18062045;18063100;18063105;18064122;18064160;18064155;18065176;18065171;18065181;18066215;18066247;18066226;18066230;18067263;18067295;18067289	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
30	2	1	20.5	20.5	20.5	20.5	20.5	18061002;18062033;18062045;18063100;18063105;18064122;18064160;18064155;18065176;18065171;18065181;18066215;18066247;18066226;18066230;18067263;18067295;18067289	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
30	3	1	22.96	22.96	22.96	22.96	22.96	18061002;18062033;18062045;18063100;18063105;18064122;18064160;18064155;18065176;18065171;18065181;18066215;18066247;18066226;18066230;18067263;18067295;18067289	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
31	1	1	19.18	19.18	19.18	19.18	19.18	18061003;18062034;18062046;18063101;18063106;18064123;18064161;18064156;18065177;18065172;18065182;18066216;18066255;18066236;18066256;18067264;18067304;18067301	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
31	2	1	21.8	21.8	21.8	21.8	21.8	18061003;18062034;18062046;18063101;18063106;18064123;18064161;18064156;18065177;18065172;18065182;18066216;18066255;18066236;18066256;18067264;18067304;18067301	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
31	3	1	24.42	24.42	24.42	24.42	24.42	18061003;18062034;18062046;18063101;18063106;18064123;18064161;18064156;18065177;18065172;18065182;18066216;18066255;18066236;18066256;18067264;18067304;18067301	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
32	1	1	20.33	20.33	20.33	20.33	20.33	18061016;18062035;18062047;18063102;18063107;18064124;18064162;18064157;18065178;18065173;18065183;18066217;18066244;18066232;18066222;18067265;18067282;18067293	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
32	2	1	23.1	23.1	23.1	23.1	23.1	18061016;18062035;18062047;18063102;18063107;18064124;18064162;18064157;18065178;18065173;18065183;18066217;18066244;18066232;18066222;18067265;18067282;18067293	1500	22069001	1600	0.06	1600	0.06	1600	0.06	0_1;10000_2;0_3
32	3	1	25.87	25.87	25.87	25.87	25.87	18061016;18062035;18062047;18063102;18063107;18064124;18064162;18064157;18065178;18065173;18065183;18066217;18066244;18066232;18066222;18067265;18067282;18067293	2000	22069001	1600	0.07	1600	0.07	1600	0.07	0_1;0_2;10000_3
33	1	1	21.47	21.47	21.47	21.47	21.47	18061017;18062036;18062048;18063103;18063108;18064125;18064163;18064158;18065179;18065174;18065184;18066218;18066252;18066259;18066249;18067266;18067299;18067308	1000	22069001	1600	0.05	1600	0.05	1600	0.05	10000_1;0_2;0_3
