#ID	地图ID	类型(1、征战2、试炼3、猎魂4、经验房5、将魂本6、闯关 7支线 8 宝箱)	只能通关一次（1是 0否）	地图文件	战斗背景	关卡在地图中的位置（x;y）	关卡icon	地图名	名称	等级限制	前置ID	后置ID	怪物组ID	剧情怪物	掉落	每天最多打多少次	军令消耗	扫荡军令消耗
id	mapid	type	onlyone	mapbg	battlebg	position	icon	mapname	levelname	levellimit	preid	nextid	monsterid	actormonsterid	drop	maxfightcount	command	mopupcommand
18010806	8	1	0	chaoxianshi.png	btl07.png	608;152		第八章：反间计(上)	征战8-6	32	18010805	0	23010806	0	22020806	50	3	1
18010807	8	1	0	chaoxianshi.png	btl07.png	695;242		第八章：反间计(上)	征战8-7	32	18010806	0	23010807	0	22020807	50	3	1
18010808	8	1	0	chaoxianshi.png	btl07.png	831;172	imghead035.png	第八章：反间计(上)	征战8-8	32	18010807	0	23010808	0	22020808	3	3	1
18010901	9	1	0	heliu.png	btl05.png	103;95		第九章：反间计(下)	征战9-1	34	18010808	0	23010901	0	22020901	50	3	1
18010902	9	1	0	heliu.png	btl05.png	194;215		第九章：反间计(下)	征战9-2	34	18010901	0	23010902	0	22020902	50	3	1
18010903	9	1	0	heliu.png	btl05.png	353;241		第九章：反间计(下)	征战9-3	34	18010902	0	23010903	0	22020903	50	3	1
18010904	9	1	0	heliu.png	btl05.png	403;142	imghead038.png	第九章：反间计(下)	征战9-4	34	18010903	0	23010904	0	22020904	3	3	1
18010905	9	1	0	heliu.png	btl05.png	527;75		第九章：反间计(下)	征战9-5	34	18010904	0	23010905	0	22020905	50	3	1
18010906	9	1	0	heliu.png	btl05.png	685;84		第九章：反间计(下)	征战9-6	34	18010905	0	23010906	0	22020906	50	3	1
18010907	9	1	0	heliu.png	btl05.png	759;190		第九章：反间计(下)	征战9-7	34	18010906	0	23010907	0	22020907	50	3	1
18010908	9	1	0	heliu.png	btl05.png	873;116	imghead025.png	第九章：反间计(下)	征战9-8	34	18010907	0	23010908	0	22020908	3	3	1
18011001	10	1	0	qiuling.png	btl01.png	96;169		第十章：桃园结义	征战10-1	36	18010908	0	23011001	0	22021001	50	3	1
18011002	10	1	0	qiuling.png	btl01.png	198;65		第十章：桃园结义	征战10-2	36	18011001	0	23011002	0	22021002	50	3	1
18011003	10	1	0	qiuling.png	btl01.png	387;59		第十章：桃园结义	征战10-3	36	18011002	0	23011003	0	22021003	50	3	1
18011004	10	1	0	qiuling.png	btl01.png	379;225	imghead132.png	第十章：桃园结义	征战10-4	36	18011003	0	23011004	0	22021004	3	3	1
18011005	10	1	0	qiuling.png	btl01.png	513;243		第十章：桃园结义	征战10-5	36	18011004	0	23011005	0	22021005	50	3	1
18011006	10	1	0	qiuling.png	btl01.png	533;105		第十章：桃园结义	征战10-6	36	18011005	0	23011006	0	22021006	50	3	1
18011007	10	1	0	qiuling.png	btl01.png	692;59		第十章：桃园结义	征战10-7	36	18011006	0	23011007	0	22021007	50	3	1
18011008	10	1	0	qiuling.png	btl01.png	834;109	imghead060.png	第十章：桃园结义	征战10-8	36	18011007	0	23011008	0	22021008	3	3	1
18011101	11	1	0	senlin.png	btl02.png	104;95		第十一章：关中大战	征战11-1	38	18011008	0	23011101	0	22021101	50	3	1
18011102	11	1	0	senlin.png	btl02.png	157;234		第十一章：关中大战	征战11-2	38	18011101	0	23011102	0	22021102	50	3	1
18011103	11	1	0	senlin.png	btl02.png	265;76		第十一章：关中大战	征战11-3	38	18011102	0	23011103	0	22021103	50	3	1
18011104	11	1	0	senlin.png	btl02.png	399;164	imghead124.png	第十一章：关中大战	征战11-4	38	18011103	0	23011104	0	22021104	3	3	1
18011105	11	1	0	senlin.png	btl02.png	523;67		第十一章：关中大战	征战11-5	38	18011104	0	23011105	0	22021105	50	3	1
18011106	11	1	0	senlin.png	btl02.png	608;152		第十一章：关中大战	征战11-6	38	18011105	0	23011106	0	22021106	50	3	1
18011107	11	1	0	senlin.png	btl02.png	695;242		第十一章：关中大战	征战11-7	38	18011106	0	23011107	0	22021107	50	3	1
18011108	11	1	0	senlin.png	btl02.png	831;172	imghead514.png	第十一章：关中大战	征战11-8	38	18011107	0	23011108	0	22021108	3	3	1
18011201	12	1	0	xue.png	btl04.png	103;95		第十二章：淮南之争	征战12-1	40	18011108	0	23011201	0	22021201	50	3	1
18011202	12	1	0	xue.png	btl04.png	194;215		第十二章：淮南之争	征战12-2	40	18011201	0	23011202	0	22021202	50	3	1
18011203	12	1	0	xue.png	btl04.png	353;241		第十二章：淮南之争	征战12-3	40	18011202	0	23011203	0	22021203	50	3	1
18011204	12	1	0	xue.png	btl04.png	403;142	imghead005.png	第十二章：淮南之争	征战12-4	40	18011203	0	23011204	0	22021204	3	3	1
18011205	12	1	0	xue.png	btl04.png	527;75		第十二章：淮南之争	征战12-5	40	18011204	0	23011205	0	22021205	50	3	1
18011206	12	1	0	xue.png	btl04.png	685;84		第十二章：淮南之争	征战12-6	40	18011205	0	23011206	0	22021206	50	3	1
18011207	12	1	0	xue.png	btl04.png	759;190		第十二章：淮南之争	征战12-7	40	18011206	0	23011207	0	22021207	50	3	1
18011208	12	1	0	xue.png	btl04.png	873;116	imghead511.png	第十二章：淮南之争	征战12-8	40	18011207	0	23011208	0	22021208	3	3	1
18011301	13	1	0	xuejing.png	btl04.png	96;169		第十三章：苦肉计(上)	征战13-1	42	18011208	0	23011301	0	22021301	50	3	1
18011302	13	1	0	xuejing.png	btl04.png	198;65		第十三章：苦肉计(上)	征战13-2	42	18011301	0	23011302	0	22021302	50	3	1
18011303	13	1	0	xuejing.png	btl04.png	387;59		第十三章：苦肉计(上)	征战13-3	42	18011302	0	23011303	0	22021303	50	3	1
18011304	13	1	0	xuejing.png	btl04.png	379;225	imghead071.png	第十三章：苦肉计(上)	征战13-4	42	18011303	0	23011304	0	22021304	3	3	1
18011305	13	1	0	xuejing.png	btl04.png	513;243		第十三章：苦肉计(上)	征战13-5	42	18011304	0	23011305	0	22021305	50	3	1
18011306	13	1	0	xuejing.png	btl04.png	533;105		第十三章：苦肉计(上)	征战13-6	42	18011305	0	23011306	0	22021306	50	3	1
18011307	13	1	0	xuejing.png	btl04.png	692;59		第十三章：苦肉计(上)	征战13-7	42	18011306	0	23011307	0	22021307	50	3	1
18011308	13	1	0	xuejing.png	btl04.png	834;109	imghead020.png	第十三章：苦肉计(上)	征战13-8	42	18011307	0	23011308	0	22021308	3	3	1
18011401	14	1	0	yewan.png	btl03.png	104;95		第十四章：苦肉计(下)	征战14-1	44	18011308	0	23011401	0	22021401	50	3	1
18011402	14	1	0	yewan.png	btl03.png	157;234		第十四章：苦肉计(下)	征战14-2	44	18011401	0	23011402	0	22021402	50	3	1
18011403	14	1	0	yewan.png	btl03.png	265;76		第十四章：苦肉计(下)	征战14-3	44	18011402	0	23011403	0	22021403	50	3	1
18011404	14	1	0	yewan.png	btl03.png	399;164	imghead055.png	第十四章：苦肉计(下)	征战14-4	44	18011403	0	23011404	0	22021404	3	3	1
18011405	14	1	0	yewan.png	btl03.png	523;67		第十四章：苦肉计(下)	征战14-5	44	18011404	0	23011405	0	22021405	50	3	1
18011406	14	1	0	yewan.png	btl03.png	608;152		第十四章：苦肉计(下)	征战14-6	44	18011405	0	23011406	0	22021406	50	3	1
18011407	14	1	0	yewan.png	btl03.png	695;242		第十四章：苦肉计(下)	征战14-7	44	18011406	0	23011407	0	22021407	50	3	1
18011408	14	1	0	yewan.png	btl03.png	831;172	imghead503.png	第十四章：苦肉计(下)	征战14-8	44	18011407	0	23011408	0	22021408	3	3	1
18011501	15	1	0	chaoxianshi.png	btl07.png	103;95		第十五章：曹魏灭蜀吴	征战15-1	45	18011408	0	23011501	0	22021501	50	3	1
18011502	15	1	0	chaoxianshi.png	btl07.png	194;215		第十五章：曹魏灭蜀吴	征战15-2	45	18011501	0	23011502	0	22021502	50	3	1
18011503	15	1	0	chaoxianshi.png	btl07.png	353;241		第十五章：曹魏灭蜀吴	征战15-3	45	18011502	0	23011503	0	22021503	50	3	1
18011504	15	1	0	chaoxianshi.png	btl07.png	403;142	imghead051.png	第十五章：曹魏灭蜀吴	征战15-4	45	18011503	0	23011504	0	22021504	3	3	1
18011505	15	1	0	chaoxianshi.png	btl07.png	527;75		第十五章：曹魏灭蜀吴	征战15-5	45	18011504	0	23011505	0	22021505	50	3	1
18011506	15	1	0	chaoxianshi.png	btl07.png	685;84		第十五章：曹魏灭蜀吴	征战15-6	45	18011505	0	23011506	0	22021506	50	3	1
18011507	15	1	0	chaoxianshi.png	btl07.png	759;190		第十五章：曹魏灭蜀吴	征战15-7	45	18011506	0	23011507	0	22021507	50	3	1
18011508	15	1	0	chaoxianshi.png	btl07.png	873;116	imghead045.png	第十五章：曹魏灭蜀吴	征战15-8	45	18011507	0	23011508	0	22021508	3	3	1
18020101	1	2	0	yewan.png	btl03.png	85;94	imghead015.png	第一章：兵临天下	试炼1-1	1	18010101	0	23020101	0	22030101	7	4	2
18020102	1	2	0	yewan.png	btl03.png	240;173	imghead025.png	第一章：兵临天下	试炼1-2	1	18020101	0	23020102	0	22030102	7	4	2
18020103	1	2	0	yewan.png	btl03.png	387;108	imghead051.png	第一章：兵临天下	试炼1-3	1	18020102	0	23020103	0	22030103	7	4	2
18020104	1	2	0	yewan.png	btl03.png	526;178	imghead017.png	第一章：兵临天下	试炼1-4	1	18020103	0	23020104	0	22030104	7	4	2
18020105	1	2	0	yewan.png	btl03.png	692;90	imghead041.png	第一章：兵临天下	试炼1-5	1	18020104	0	23020105	0	22030105	7	4	2
18020106	1	2	0	yewan.png	btl03.png	850;177	imghead004.png	第一章：兵临天下	试炼1-6	1	18020105	0	23020106	0	22030106	7	4	2
18020201	2	2	0	xue.png	btl04.png	92;143	imghead142.png	第二章：围剿乱贼	试炼2-1	1	18020106	0	23020201	0	22030201	7	4	2
18020202	2	2	0	xue.png	btl04.png	258;91	imghead038.png	第二章：围剿乱贼	试炼2-2	1	18020201	0	23020202	0	22030202	7	4	2
18020203	2	2	0	xue.png	btl04.png	402;180	imghead031.png	第二章：围剿乱贼	试炼2-3	1	18020202	0	23020203	0	22030203	7	4	2
18020204	2	2	0	xue.png	btl04.png	570;78	imghead114.png	第二章：围剿乱贼	试炼2-4	1	18020203	0	23020204	0	22030204	7	4	2
18020205	2	2	0	xue.png	btl04.png	690;216	imghead004.png	第二章：围剿乱贼	试炼2-5	1	18020204	0	23020205	0	22030205	7	4	2
18020206	2	2	0	xue.png	btl04.png	851;123	imghead008.png	第二章：围剿乱贼	试炼2-6	1	18020205	0	23020206	0	22030206	7	4	2
18020301	3	2	0	senlin.png	btl02.png	85;94	imghead015.png	第三章：火烧连营	试炼3-1	1	18020206	0	23020301	0	22030301	7	4	2
18020302	3	2	0	senlin.png	btl02.png	240;173	imghead071.png	第三章：火烧连营	试炼3-2	1	18020301	0	23020302	0	22030302	7	4	2
18020303	3	2	0	senlin.png	btl02.png	387;108	imghead051.png	第三章：火烧连营	试炼3-3	1	18020302	0	23020303	0	22030303	7	4	2
18020304	3	2	0	senlin.png	btl02.png	526;178	imghead104.png	第三章：火烧连营	试炼3-4	1	18020303	0	23020304	0	22030304	7	4	2
18020305	3	2	0	senlin.png	btl02.png	692;90	imghead124.png	第三章：火烧连营	试炼3-5	1	18020304	0	23020305	0	22030305	7	4	2
18020306	3	2	0	senlin.png	btl02.png	850;177	imghead003.png	第三章：火烧连营	试炼3-6	1	18020305	0	23020306	0	22030306	7	4	2
18020401	4	2	0	qiuling.png	btl01.png	92;143	imghead015.png	第四章：将计就计	试炼4-1	1	18020306	0	23020401	0	22030401	7	4	2
18020402	4	2	0	qiuling.png	btl01.png	258;91	imghead020.png	第四章：将计就计	试炼4-2	1	18020401	0	23020402	0	22030402	7	4	2
18020403	4	2	0	qiuling.png	btl01.png	402;180	imghead505.png	第四章：将计就计	试炼4-3	1	18020402	0	23020403	0	22030403	7	4	2
18020404	4	2	0	qiuling.png	btl01.png	570;78	imghead505.png	第四章：将计就计	试炼4-4	1	18020403	0	23020404	0	22030404	7	4	2
18020405	4	2	0	qiuling.png	btl01.png	690;216	imghead502.png	第四章：将计就计	试炼4-5	1	18020404	0	23020405	0	22030405	7	4	2
18020406	4	2	0	qiuling.png	btl01.png	851;123	imghead509.png	第四章：将计就计	试炼4-6	1	18020405	0	23020406	0	22030406	7	4	2
18020501	5	2	0	heliu.png	btl05.png	85;94	imghead506.png	第五章：柳暗花明	试炼5-1	1	18020406	0	23020501	0	22030501	7	4	2
18020502	5	2	0	heliu.png	btl05.png	240;173	imghead142.png	第五章：柳暗花明	试炼5-2	1	18020501	0	23020502	0	22030502	7	4	2
18020503	5	2	0	heliu.png	btl05.png	387;108	imghead131.png	第五章：柳暗花明	试炼5-3	1	18020502	0	23020503	0	22030503	7	4	2
18020504	5	2	0	heliu.png	btl05.png	526;178	imghead501.png	第五章：柳暗花明	试炼5-4	1	18020503	0	23020504	0	22030504	7	4	2
18020505	5	2	0	heliu.png	btl05.png	692;90	imghead129.png	第五章：柳暗花明	试炼5-5	1	18020504	0	23020505	0	22030505	7	4	2
18020506	5	2	0	heliu.png	btl05.png	850;177	imghead120.png	第五章：柳暗花明	试炼5-6	1	18020505	0	23020506	0	22030506	7	4	2
18020601	6	2	0	chaoxianshi.png	btl07.png	92;143	imghead099.png	第六章：群雄逐鹿	试炼6-1	1	18020506	0	23020601	0	22030601	7	4	2
18020602	6	2	0	chaoxianshi.png	btl07.png	258;91	imghead100.png	第六章：群雄逐鹿	试炼6-2	1	18020601	0	23020602	0	22030602	7	4	2
18020603	6	2	0	chaoxianshi.png	btl07.png	402;180	imghead501.png	第六章：群雄逐鹿	试炼6-3	1	18020602	0	23020603	0	22030603	7	4	2
18020604	6	2	0	chaoxianshi.png	btl07.png	570;78	imghead509.png	第六章：群雄逐鹿	试炼6-4	1	18020603	0	23020604	0	22030604	7	4	2
18020605	6	2	0	chaoxianshi.png	btl07.png	690;216	imghead508.png	第六章：群雄逐鹿	试炼6-5	1	18020604	0	23020605	0	22030605	7	4	2
18020606	6	2	0	chaoxianshi.png	btl07.png	851;123	imghead071.png	第六章：群雄逐鹿	试炼6-6	1	18020605	0	23020606	0	22030606	7	4	2
18020701	7	2	0	xuejing.png	btl04.png	85;94	imghead021.png	第七章：神兵天降	试炼7-1	1	18020606	0	23020701	0	22030701	7	4	2
18020702	7	2	0	xuejing.png	btl04.png	240;173	imghead513.png	第七章：神兵天降	试炼7-2	1	18020701	0	23020702	0	22030702	7	4	2
18020703	7	2	0	xuejing.png	btl04.png	387;108	imghead504.png	第七章：神兵天降	试炼7-3	1	18020702	0	23020703	0	22030703	7	4	2
18020704	7	2	0	xuejing.png	btl04.png	526;178	imghead072.png	第七章：神兵天降	试炼7-4	1	18020703	0	23020704	0	22030704	7	4	2
18020705	7	2	0	xuejing.png	btl04.png	692;90	imghead503.png	第七章：神兵天降	试炼7-5	1	18020704	0	23020705	0	22030705	7	4	2
18020706	7	2	0	xuejing.png	btl04.png	850;177	imghead066.png	第七章：神兵天降	试炼7-6	1	18020705	0	23020706	0	22030706	7	4	2
18020801	8	2	0	yewan.png	btl03.png	92;143	imghead504.png	第八章：声东击西	试炼8-1	1	18020706	0	23020801	0	22030801	7	4	2
18020802	8	2	0	yewan.png	btl03.png	258;91	imghead507.png	第八章：声东击西	试炼8-2	1	18020801	0	23020802	0	22030802	7	4	2
18020803	8	2	0	yewan.png	btl03.png	402;180	imghead123.png	第八章：声东击西	试炼8-3	1	18020802	0	23020803	0	22030803	7	4	2
18020804	8	2	0	yewan.png	btl03.png	570;78	imghead503.png	第八章：声东击西	试炼8-4	1	18020803	0	23020804	0	22030804	7	4	2
18020805	8	2	0	yewan.png	btl03.png	690;216	imghead103.png	第八章：声东击西	试炼8-5	1	18020804	0	23020805	0	22030805	7	4	2
18020806	8	2	0	yewan.png	btl03.png	851;123	imghead503.png	第八章：声东击西	试炼8-6	1	18020805	0	23020806	0	22030806	7	4	2
18020901	9	2	0	xue.png	btl04.png	85;94	imghead503.png	第九章：夜战安陆	试炼9-1	1	18020806	0	23020901	0	22030901	7	4	2
18020902	9	2	0	xue.png	btl04.png	240;173	imghead501.png	第九章：夜战安陆	试炼9-2	1	18020901	0	23020902	0	22030902	7	4	2
18020903	9	2	0	xue.png	btl04.png	387;108	imghead502.png	第九章：夜战安陆	试炼9-3	1	18020902	0	23020903	0	22030903	7	4	2
18020904	9	2	0	xue.png	btl04.png	526;178	imghead506.png	第九章：夜战安陆	试炼9-4	1	18020903	0	23020904	0	22030904	7	4	2
18020905	9	2	0	xue.png	btl04.png	692;90	imghead129.png	第九章：夜战安陆	试炼9-5	1	18020904	0	23020905	0	22030905	7	4	2
18020906	9	2	0	xue.png	btl04.png	850;177	imghead131.png	第九章：夜战安陆	试炼9-6	1	18020905	0	23020906	0	22030906	7	4	2
18021001	10	2	0	senlin.png	btl02.png	92;143	imghead514.png	第十章：四面楚歌	试炼10-1	1	18020906	0	23021001	0	22031001	7	4	2
18021002	10	2	0	senlin.png	btl02.png	258;91	imghead055.png	第十章：四面楚歌	试炼10-2	1	18021001	0	23021002	0	22031002	7	4	2
18021003	10	2	0	senlin.png	btl02.png	402;180	imghead005.png	第十章：四面楚歌	试炼10-3	1	18021002	0	23021003	0	22031003	7	4	2
18021004	10	2	0	senlin.png	btl02.png	570;78	imghead060.png	第十章：四面楚歌	试炼10-4	1	18021003	0	23021004	0	22031004	7	4	2
18021005	10	2	0	senlin.png	btl02.png	690;216	imghead503.png	第十章：四面楚歌	试炼10-5	1	18021004	0	23021005	0	22031005	7	4	2
18021006	10	2	0	senlin.png	btl02.png	851;123	imghead073.png	第十章：四面楚歌	试炼10-6	1	18021005	0	23021006	0	22031006	7	4	2
18021101	11	2	0	qiuling.png	btl01.png	85;94	imghead506.png	第十一章：势取江陵	试炼11-1	1	18021006	0	23021101	0	22031101	7	4	2
18021102	11	2	0	qiuling.png	btl01.png	240;173	imghead508.png	第十一章：势取江陵	试炼11-2	1	18021101	0	23021102	0	22031102	7	4	2
18021103	11	2	0	qiuling.png	btl01.png	387;108	imghead509.png	第十一章：势取江陵	试炼11-3	1	18021102	0	23021103	0	22031103	7	4	2
18021104	11	2	0	qiuling.png	btl01.png	526;178	imghead501.png	第十一章：势取江陵	试炼11-4	1	18021103	0	23021104	0	22031104	7	4	2
18021105	11	2	0	qiuling.png	btl01.png	692;90	imghead502.png	第十一章：势取江陵	试炼11-5	1	18021104	0	23021105	0	22031105	7	4	2
18021106	11	2	0	qiuling.png	btl01.png	850;177	imghead510.png	第十一章：势取江陵	试炼11-6	1	18021105	0	23021106	0	22031106	7	4	2
18021201	12	2	0	heliu.png	btl05.png	92;143	imghead510.png	第十二章：一触即发	试炼12-1	1	18021106	0	23021201	0	22031201	7	4	2
18021202	12	2	0	heliu.png	btl05.png	258;91	imghead503.png	第十二章：一触即发	试炼12-2	1	18021201	0	23021202	0	22031202	7	4	2
