#道具ID（全局唯一 但不要超过14位）	道具名称（客户端用来显示）	icon	描述	初始等级	道具主类型（类型配置见【道具配置说明.txt】）	道具子类型	品质	武将限制	职业限制	等级限制	售卖货币类型(AssetType)	出售	幸运市场价值（幸运值）	竞技市场中的价格（竞技点）	物理攻击最小值	物理攻击最大值	物理防御最小值	物理防御最大值	法术攻击最小值	法术攻击最大值	法术防御最小值	法术防御最大值	生命最小值	生命最大值	熔炼消耗	精炼消耗	"掉落关卡id（,分隔）"	掉落关卡text（;分隔）	最大成长度
id	name	icon	describe	level	classify	type	quality	reqrole	reqjob	reqlevel	sellmoneytype	sellprice	luckyprice	arenaprice	minphyatk	maxphyatk	minphydef	maxphydef	minmgcatk	maxmgcatk	minmgcdef	maxmgcdef	minhp	maxhp	meltcost	refinecost	dropid	droptext	maxgrow
17030060	九品易经	wqms01.png	1级紫色谋士武器	1	1	3	4	0	3	1	2	250	1	1	0	0	0	0	901	1086	0	0	0	0	100000	0	18020106	试炼1-6掉落	230
17030061	九品易经+	wqms01.png	1级紫色+1谋士武器	1	1	3	5	0	3	1	2	500	1	1	0	0	0	0	1201	1398	0	0	0	0	150000	0	18020106	试炼1-6掉落	280
17030062	九品易经	wqms01.png	1级橙色谋士武器	1	1	3	6	0	3	1	2	1000	1	1	0	0	0	0	1528	1745	0	0	0	0	0	200000	18020106	试炼1-6掉落	330
17030063	九品易经+	wqms01.png	1级橙色+1谋士武器	1	1	3	7	0	3	1	2	5000	1	1	0	0	0	0	1902	2135	0	0	0	0	0	300000	18020106	试炼1-6掉落	380
17030064	九品落月	wqyc01.png	1级绿色远程武器	1	1	2	1	0	2	1	2	100	1	1	520	582	0	0	0	0	0	0	0	0	10000	0	18020104	试炼1-4掉落	80
17030065	九品落月	wqyc01.png	1级蓝色远程武器	1	1	2	2	0	2	1	2	150	1	1	624	699	0	0	0	0	0	0	0	0	50000	0	18020104	试炼1-4掉落	130
17030066	九品落月+	wqyc01.png	1级蓝色+1远程武器	1	1	2	3	0	2	1	2	200	1	1	749	838	0	0	0	0	0	0	0	0	80000	0	18020104	试炼1-4掉落	180
17030067	九品落月	wqyc01.png	1级紫色远程武器	1	1	2	4	0	2	1	2	250	1	1	900	1097	0	0	0	0	0	0	0	0	100000	0	18020104	试炼1-4掉落	230
17030068	九品落月+	wqyc01.png	1级紫色+1远程武器	1	1	2	5	0	2	1	2	500	1	1	1195	1412	0	0	0	0	0	0	0	0	150000	0	18020104	试炼1-4掉落	280
17030069	九品落月	wqyc01.png	1级橙色远程武器	1	1	2	6	0	2	1	2	1000	1	1	1519	1763	0	0	0	0	0	0	0	0	0	200000	18020104	试炼1-4掉落	330
17030070	九品落月+	wqyc01.png	1级橙色+1远程武器	1	1	2	7	0	2	1	2	5000	1	1	1888	2157	0	0	0	0	0	0	0	0	0	300000	18020104	试炼1-4掉落	380
17030071	九品龙麟	fjwf01.png	1级绿色物理防具	1	2	1	1	0	0	1	2	100	1	1	0	0	213	234	0	0	0	0	260	291	10000	0	18020202	试炼2-2掉落	80
17030072	九品龙麟	fjwf01.png	1级蓝色物理防具	1	2	1	2	0	0	1	2	150	1	1	0	0	255	281	0	0	0	0	312	349	50000	0	18020202	试炼2-2掉落	130
17030073	九品龙麟+	fjwf01.png	1级蓝色+1物理防具	1	2	1	3	0	0	1	2	200	1	1	0	0	307	337	0	0	0	0	374	419	80000	0	18020202	试炼2-2掉落	180
17030074	九品龙麟	fjwf01.png	1级紫色物理防具	1	2	1	4	0	0	1	2	250	1	1	0	0	366	441	0	0	0	0	450	548	100000	0	18020202	试炼2-2掉落	230
17030075	九品龙麟+	fjwf01.png	1级紫色+1物理防具	1	2	1	5	0	0	1	2	500	1	1	0	0	487	568	0	0	0	0	597	706	150000	0	18020202	试炼2-2掉落	280
17030076	九品龙麟	fjwf01.png	1级橙色物理防具	1	2	1	6	0	0	1	2	1000	1	1	0	0	620	709	0	0	0	0	759	881	0	200000	18020202	试炼2-2掉落	330
17030077	九品龙麟+	fjwf01.png	1级橙色+1物理防具	1	2	1	7	0	0	1	2	5000	1	1	0	0	772	868	0	0	0	0	944	1078	0	300000	18020202	试炼2-2掉落	380
17030078	九品镜芒	fjff01.png	1级绿色法术防具	1	2	2	1	0	0	1	2	100	1	1	0	0	0	0	0	0	213	234	260	291	10000	0	18020102	试炼1-2掉落	80
17030079	九品镜芒	fjff01.png	1级蓝色法术防具	1	2	2	2	0	0	1	2	150	1	1	0	0	0	0	0	0	255	281	312	349	50000	0	18020102	试炼1-2掉落	130
17030080	九品镜芒+	fjff01.png	1级蓝色+1法术防具	1	2	2	3	0	0	1	2	200	1	1	0	0	0	0	0	0	307	337	374	419	80000	0	18020102	试炼1-2掉落	180
17030081	九品镜芒	fjff01.png	1级紫色法术防具	1	2	2	4	0	0	1	2	250	1	1	0	0	0	0	0	0	366	441	450	548	100000	0	18020102	试炼1-2掉落	230
17030082	九品镜芒+	fjff01.png	1级紫色+1法术防具	1	2	2	5	0	0	1	2	500	1	1	0	0	0	0	0	0	487	568	597	706	150000	0	18020102	试炼1-2掉落	280
17030083	九品镜芒	fjff01.png	1级橙色法术防具	1	2	2	6	0	0	1	2	1000	1	1	0	0	0	0	0	0	620	709	759	881	0	200000	18020102	试炼1-2掉落	330
17030084	九品镜芒+	fjff01.png	1级橙色+1法术防具	1	2	2	7	0	0	1	2	5000	1	1	0	0	0	0	0	0	772	868	944	1078	0	300000	18020102	试炼1-2掉落	380
17030085	九品赤兔	mwg01.png	1级绿色物攻马	1	3	0	1	0	1;2	1	2	100	1	1	260	291	0	0	0	0	0	0	130	145	10000	0	18020201	试炼2-1掉落	80
17030086	九品赤兔	mwg01.png	1级蓝色物攻马	1	3	0	2	0	1;2	1	2	150	1	1	312	349	0	0	0	0	0	0	156	174	50000	0	18020201	试炼2-1掉落	130
17030087	九品赤兔+	mwg01.png	1级蓝色+1物攻马	1	3	0	3	0	1;2	1	2	200	1	1	374	419	0	0	0	0	0	0	187	209	80000	0	18020201	试炼2-1掉落	180
17030088	九品赤兔	mwg01.png	1级紫色物攻马	1	3	0	4	0	1;2	1	2	250	1	1	450	548	0	0	0	0	0	0	225	274	100000	0	18020201	试炼2-1掉落	230
17030089	九品赤兔+	mwg01.png	1级紫色+1物攻马	1	3	0	5	0	1;2	1	2	500	1	1	597	706	0	0	0	0	0	0	298	353	150000	0	18020201	试炼2-1掉落	280
17030090	九品赤兔	mwg01.png	1级橙色物攻马	1	3	0	6	0	1;2	1	2	1000	1	1	759	881	0	0	0	0	0	0	379	440	0	200000	18020201	试炼2-1掉落	330
17030091	九品赤兔+	mwg01.png	1级橙色+1物攻马	1	3	0	7	0	1;2	1	2	5000	1	1	944	1078	0	0	0	0	0	0	472	539	0	300000	18020201	试炼2-1掉落	380
17030092	九品飞电	mfg01.png	1级绿色法攻马	1	3	0	1	0	3	1	2	100	1	1	0	0	0	0	262	288	0	0	130	145	10000	0	18020105	试炼1-5掉落	80
17030093	九品飞电	mfg01.png	1级蓝色法攻马	1	3	0	2	0	3	1	2	150	1	1	0	0	0	0	315	345	0	0	156	174	50000	0	18020105	试炼1-5掉落	130
17030094	九品飞电+	mfg01.png	1级蓝色+1法攻马	1	3	0	3	0	3	1	2	200	1	1	0	0	0	0	378	415	0	0	187	209	80000	0	18020105	试炼1-5掉落	180
17030095	九品飞电	mfg01.png	1级紫色法攻马	1	3	0	4	0	3	1	2	250	1	1	0	0	0	0	450	543	0	0	225	274	100000	0	18020105	试炼1-5掉落	230
17030096	九品飞电+	mfg01.png	1级紫色+1法攻马	1	3	0	5	0	3	1	2	500	1	1	0	0	0	0	600	699	0	0	298	353	150000	0	18020105	试炼1-5掉落	280
17030097	九品飞电	mfg01.png	1级橙色法攻马	1	3	0	6	0	3	1	2	1000	1	1	0	0	0	0	764	872	0	0	379	440	0	200000	18020105	试炼1-5掉落	330
17030098	九品飞电+	mfg01.png	1级橙色+1法攻马	1	3	0	7	0	3	1	2	5000	1	1	0	0	0	0	951	1067	0	0	472	539	0	300000	18020105	试炼1-5掉落	380
17030099	九品的卢	mwf01.png	1级绿色物防马	1	3	0	1	0	0	1	2	100	1	1	0	0	106	117	0	0	0	0	1040	1164	10000	0	18020103	试炼1-3掉落	80
17030100	九品的卢	mwf01.png	1级蓝色物防马	1	3	0	2	0	0	1	2	150	1	1	0	0	127	140	0	0	0	0	1248	1396	50000	0	18020103	试炼1-3掉落	130
17030101	九品的卢+	mwf01.png	1级蓝色+1物防马	1	3	0	3	0	0	1	2	200	1	1	0	0	153	168	0	0	0	0	1496	1676	80000	0	18020103	试炼1-3掉落	180
17030102	九品的卢	mwf01.png	1级紫色物防马	1	3	0	4	0	0	1	2	250	1	1	0	0	183	220	0	0	0	0	1800	2192	100000	0	18020103	试炼1-3掉落	230
17030103	九品的卢+	mwf01.png	1级紫色+1物防马	1	3	0	5	0	0	1	2	500	1	1	0	0	243	284	0	0	0	0	2388	2824	150000	0	18020103	试炼1-3掉落	280
17030104	九品的卢	mwf01.png	1级橙色物防马	1	3	0	6	0	0	1	2	1000	1	1	0	0	310	354	0	0	0	0	3036	3524	0	200000	18020103	试炼1-3掉落	330
17030105	九品的卢+	mwf01.png	1级橙色+1物防马	1	3	0	7	0	0	1	2	5000	1	1	0	0	386	434	0	0	0	0	3776	4312	0	300000	18020103	试炼1-3掉落	380
17030106	九品绝影	mff01.png	1级绿色法防马	1	3	0	1	0	0	1	2	100	1	1	0	0	0	0	0	0	106	117	1040	1164	10000	0	18020203	试炼2-3掉落	80
17030107	九品绝影	mff01.png	1级蓝色法防马	1	3	0	2	0	0	1	2	150	1	1	0	0	0	0	0	0	127	140	1248	1396	50000	0	18020203	试炼2-3掉落	130
17030108	九品绝影+	mff01.png	1级蓝色+1法防马	1	3	0	3	0	0	1	2	200	1	1	0	0	0	0	0	0	153	168	1496	1676	80000	0	18020203	试炼2-3掉落	180
17030109	九品绝影	mff01.png	1级紫色法防马	1	3	0	4	0	0	1	2	250	1	1	0	0	0	0	0	0	183	220	1800	2192	100000	0	18020203	试炼2-3掉落	230
17030110	九品绝影+	mff01.png	1级紫色+1法防马	1	3	0	5	0	0	1	2	500	1	1	0	0	0	0	0	0	243	284	2388	2824	150000	0	18020203	试炼2-3掉落	280
17030111	九品绝影	mff01.png	1级橙色法防马	1	3	0	6	0	0	1	2	1000	1	1	0	0	0	0	0	0	310	354	3036	3524	0	200000	18020203	试炼2-3掉落	330
17030112	九品绝影+	mff01.png	1级橙色+1法防马	1	3	0	7	0	0	1	2	5000	1	1	0	0	0	0	0	0	386	434	3776	4312	0	300000	18020203	试炼2-3掉落	380
17030113	八品龙胆	wqjz02.png	20级绿色近战武器	20	1	1	1	0	1	20	2	100	1	1	537	585	53	58	0	0	0	0	0	0	10000	0	18020204	试炼2-4掉落	90
17030114	八品龙胆	wqjz02.png	20级蓝色近战武器	20	1	1	2	0	1	20	2	150	1	1	645	702	64	70	0	0	0	0	0	0	50000	0	18020204	试炼2-4掉落	145
17030115	八品龙胆+	wqjz02.png	20级蓝色+1近战武器	20	1	1	3	0	1	20	2	200	1	1	774	842	77	84	0	0	0	0	0	0	80000	0	18020204	试炼2-4掉落	200
17030116	八品龙胆	wqjz02.png	20级紫色近战武器	20	1	1	4	0	1	20	2	250	1	1	921	1103	92	110	0	0	0	0	0	0	100000	0	18020204	试炼2-4掉落	255
17030117	八品龙胆+	wqjz02.png	20级紫色+1近战武器	20	1	1	5	0	1	20	2	500	1	1	1228	1419	122	141	0	0	0	0	0	0	150000	0	18020204	试炼2-4掉落	310
17030118	八品龙胆	wqjz02.png	20级橙色近战武器	20	1	1	6	0	1	20	2	1000	1	1	1564	1771	156	177	0	0	0	0	0	0	0	200000	18020204	试炼2-4掉落	365
17030119	八品龙胆+	wqjz02.png	20级橙色+1近战武器	20	1	1	7	0	1	20	2	5000	1	1	1947	2167	194	216	0	0	0	0	0	0	0	300000	18020204	试炼2-4掉落	420
17030120	八品易经	wqms02.png	20级绿色谋士武器	20	1	3	1	0	3	20	2	100	1	1	0	0	0	0	661	719	0	0	0	0	10000	0	18020303	试炼3-3掉落	90
17030121	八品易经	wqms02.png	20级蓝色谋士武器	20	1	3	2	0	3	20	2	150	1	1	0	0	0	0	793	862	0	0	0	0	50000	0	18020303	试炼3-3掉落	145
17030122	八品易经+	wqms02.png	20级蓝色+1谋士武器	20	1	3	3	0	3	20	2	200	1	1	0	0	0	0	952	1035	0	0	0	0	80000	0	18020303	试炼3-3掉落	200
17030123	八品易经	wqms02.png	20级紫色谋士武器	20	1	3	4	0	3	20	2	250	1	1	0	0	0	0	1133	1355	0	0	0	0	100000	0	18020303	试炼3-3掉落	255
17030124	八品易经+	wqms02.png	20级紫色+1谋士武器	20	1	3	5	0	3	20	2	500	1	1	0	0	0	0	1511	1744	0	0	0	0	150000	0	18020303	试炼3-3掉落	310
17030125	八品易经	wqms02.png	20级橙色谋士武器	20	1	3	6	0	3	20	2	1000	1	1	0	0	0	0	1924	2177	0	0	0	0	0	200000	18020303	试炼3-3掉落	365
17030126	八品易经+	wqms02.png	20级橙色+1谋士武器	20	1	3	7	0	3	20	2	5000	1	1	0	0	0	0	2395	2663	0	0	0	0	0	300000	18020303	试炼3-3掉落	420
17030127	八品落月	wqyc02.png	20级绿色远程武器	20	1	2	1	0	2	20	2	100	1	1	665	735	0	0	0	0	0	0	0	0	10000	0	18020301	试炼3-1掉落	90
17030128	八品落月	wqyc02.png	20级蓝色远程武器	20	1	2	2	0	2	20	2	150	1	1	798	881	0	0	0	0	0	0	0	0	50000	0	18020301	试炼3-1掉落	145
17030129	八品落月+	wqyc02.png	20级蓝色+1远程武器	20	1	2	3	0	2	20	2	200	1	1	958	1058	0	0	0	0	0	0	0	0	80000	0	18020301	试炼3-1掉落	200
17030130	八品落月	wqyc02.png	20级紫色远程武器	20	1	2	4	0	2	20	2	250	1	1	1140	1385	0	0	0	0	0	0	0	0	100000	0	18020301	试炼3-1掉落	255
17030131	八品落月+	wqyc02.png	20级紫色+1远程武器	20	1	2	5	0	2	20	2	500	1	1	1520	1782	0	0	0	0	0	0	0	0	150000	0	18020301	试炼3-1掉落	310
17030132	八品落月	wqyc02.png	20级橙色远程武器	20	1	2	6	0	2	20	2	1000	1	1	1936	2224	0	0	0	0	0	0	0	0	0	200000	18020301	试炼3-1掉落	365
17030133	八品落月+	wqyc02.png	20级橙色+1远程武器	20	1	2	7	0	2	20	2	5000	1	1	2410	2721	0	0	0	0	0	0	0	0	0	300000	18020301	试炼3-1掉落	420
17030134	八品龙麟	fjwf02.png	20级绿色物理防具	20	2	1	1	0	0	20	2	100	1	1	0	0	268	292	0	0	0	0	332	367	10000	0	18020305	试炼3-5掉落	90
17030135	八品龙麟	fjwf02.png	20级蓝色物理防具	20	2	1	2	0	0	20	2	150	1	1	0	0	322	351	0	0	0	0	399	440	50000	0	18020305	试炼3-5掉落	145
17030136	八品龙麟+	fjwf02.png	20级蓝色+1物理防具	20	2	1	3	0	0	20	2	200	1	1	0	0	387	421	0	0	0	0	479	529	80000	0	18020305	试炼3-5掉落	200
17030137	八品龙麟	fjwf02.png	20级紫色物理防具	20	2	1	4	0	0	20	2	250	1	1	0	0	460	551	0	0	0	0	570	692	100000	0	18020305	试炼3-5掉落	255
17030138	八品龙麟+	fjwf02.png	20级紫色+1物理防具	20	2	1	5	0	0	20	2	500	1	1	0	0	614	709	0	0	0	0	760	891	150000	0	18020305	试炼3-5掉落	310
17030139	八品龙麟	fjwf02.png	20级橙色物理防具	20	2	1	6	0	0	20	2	1000	1	1	0	0	782	885	0	0	0	0	968	1112	0	200000	18020305	试炼3-5掉落	365
17030140	八品龙麟+	fjwf02.png	20级橙色+1物理防具	20	2	1	7	0	0	20	2	5000	1	1	0	0	973	1083	0	0	0	0	1205	1360	0	300000	18020305	试炼3-5掉落	420
17030141	八品镜芒	fjff02.png	20级绿色法术防具	20	2	2	1	0	0	20	2	100	1	1	0	0	0	0	0	0	268	292	332	367	10000	0	18020205	试炼2-5掉落	90
17030142	八品镜芒	fjff02.png	20级蓝色法术防具	20	2	2	2	0	0	20	2	150	1	1	0	0	0	0	0	0	322	351	399	440	50000	0	18020205	试炼2-5掉落	145
17030143	八品镜芒+	fjff02.png	20级蓝色+1法术防具	20	2	2	3	0	0	20	2	200	1	1	0	0	0	0	0	0	387	421	479	529	80000	0	18020205	试炼2-5掉落	200
17030144	八品镜芒	fjff02.png	20级紫色法术防具	20	2	2	4	0	0	20	2	250	1	1	0	0	0	0	0	0	460	551	570	692	100000	0	18020205	试炼2-5掉落	255
17030145	八品镜芒+	fjff02.png	20级紫色+1法术防具	20	2	2	5	0	0	20	2	500	1	1	0	0	0	0	0	0	614	709	760	891	150000	0	18020205	试炼2-5掉落	310
17030146	八品镜芒	fjff02.png	20级橙色法术防具	20	2	2	6	0	0	20	2	1000	1	1	0	0	0	0	0	0	782	885	968	1112	0	200000	18020205	试炼2-5掉落	365
17030147	八品镜芒+	fjff02.png	20级橙色+1法术防具	20	2	2	7	0	0	20	2	5000	1	1	0	0	0	0	0	0	973	1083	1205	1360	0	300000	18020205	试炼2-5掉落	420
17030148	八品赤兔	mwg02.png	20级绿色物攻马	20	3	0	1	0	1;2	20	2	100	1	1	332	367	0	0	0	0	0	0	166	183	10000	0	18020304	试炼3-4掉落	90
17030149	八品赤兔	mwg02.png	20级蓝色物攻马	20	3	0	2	0	1;2	20	2	150	1	1	399	440	0	0	0	0	0	0	199	220	50000	0	18020304	试炼3-4掉落	145
17030150	八品赤兔+	mwg02.png	20级蓝色+1物攻马	20	3	0	3	0	1;2	20	2	200	1	1	479	529	0	0	0	0	0	0	239	264	80000	0	18020304	试炼3-4掉落	200
17030151	八品赤兔	mwg02.png	20级紫色物攻马	20	3	0	4	0	1;2	20	2	250	1	1	570	692	0	0	0	0	0	0	285	346	100000	0	18020304	试炼3-4掉落	255
17030152	八品赤兔+	mwg02.png	20级紫色+1物攻马	20	3	0	5	0	1;2	20	2	500	1	1	760	891	0	0	0	0	0	0	380	445	150000	0	18020304	试炼3-4掉落	310
17030153	八品赤兔	mwg02.png	20级橙色物攻马	20	3	0	6	0	1;2	20	2	1000	1	1	968	1112	0	0	0	0	0	0	484	556	0	200000	18020304	试炼3-4掉落	365
17030154	八品赤兔+	mwg02.png	20级橙色+1物攻马	20	3	0	7	0	1;2	20	2	5000	1	1	1205	1360	0	0	0	0	0	0	602	680	0	300000	18020304	试炼3-4掉落	420
17030155	八品飞电	mfg02.png	20级绿色法攻马	20	3	0	1	0	3	20	2	100	1	1	0	0	0	0	330	359	0	0	166	183	10000	0	18020302	试炼3-2掉落	90
17030156	八品飞电	mfg02.png	20级蓝色法攻马	20	3	0	2	0	3	20	2	150	1	1	0	0	0	0	396	431	0	0	199	220	50000	0	18020302	试炼3-2掉落	145
17030157	八品飞电+	mfg02.png	20级蓝色+1法攻马	20	3	0	3	0	3	20	2	200	1	1	0	0	0	0	476	517	0	0	239	264	80000	0	18020302	试炼3-2掉落	200
17030158	八品飞电	mfg02.png	20级紫色法攻马	20	3	0	4	0	3	20	2	250	1	1	0	0	0	0	566	677	0	0	285	346	100000	0	18020302	试炼3-2掉落	255
17030159	八品飞电+	mfg02.png	20级紫色+1法攻马	20	3	0	5	0	3	20	2	500	1	1	0	0	0	0	755	872	0	0	380	445	150000	0	18020302	试炼3-2掉落	310
17030160	八品飞电	mfg02.png	20级橙色法攻马	20	3	0	6	0	3	20	2	1000	1	1	0	0	0	0	962	1088	0	0	484	556	0	200000	18020302	试炼3-2掉落	365
17030161	八品飞电+	mfg02.png	20级橙色+1法攻马	20	3	0	7	0	3	20	2	5000	1	1	0	0	0	0	1197	1331	0	0	602	680	0	300000	18020302	试炼3-2掉落	420
17030162	八品的卢	mwf02.png	20级绿色物防马	20	3	0	1	0	0	20	2	100	1	1	0	0	134	146	0	0	0	0	1328	1468	10000	0	18020206	试炼2-6掉落	90
17030163	八品的卢	mwf02.png	20级蓝色物防马	20	3	0	2	0	0	20	2	150	1	1	0	0	161	175	0	0	0	0	1596	1760	50000	0	18020206	试炼2-6掉落	145
17030164	八品的卢+	mwf02.png	20级蓝色+1物防马	20	3	0	3	0	0	20	2	200	1	1	0	0	193	210	0	0	0	0	1916	2116	80000	0	18020206	试炼2-6掉落	200
17030165	八品的卢	mwf02.png	20级紫色物防马	20	3	0	4	0	0	20	2	250	1	1	0	0	230	275	0	0	0	0	2280	2768	100000	0	18020206	试炼2-6掉落	255
17030166	八品的卢+	mwf02.png	20级紫色+1物防马	20	3	0	5	0	0	20	2	500	1	1	0	0	307	354	0	0	0	0	3040	3564	150000	0	18020206	试炼2-6掉落	310
17030167	八品的卢	mwf02.png	20级橙色物防马	20	3	0	6	0	0	20	2	1000	1	1	0	0	391	442	0	0	0	0	3872	4448	0	200000	18020206	试炼2-6掉落	365
17030168	八品的卢+	mwf02.png	20级橙色+1物防马	20	3	0	7	0	0	20	2	5000	1	1	0	0	486	541	0	0	0	0	4820	5440	0	300000	18020206	试炼2-6掉落	420
17030169	八品绝影	mff02.png	20级绿色法防马	20	3	0	1	0	0	20	2	100	1	1	0	0	0	0	0	0	134	146	1328	1468	10000	0	18020306	试炼3-6掉落	90
17030170	八品绝影	mff02.png	20级蓝色法防马	20	3	0	2	0	0	20	2	150	1	1	0	0	0	0	0	0	161	175	1596	1760	50000	0	18020306	试炼3-6掉落	145
17030171	八品绝影+	mff02.png	20级蓝色+1法防马	20	3	0	3	0	0	20	2	200	1	1	0	0	0	0	0	0	193	210	1916	2116	80000	0	18020306	试炼3-6掉落	200
17030172	八品绝影	mff02.png	20级紫色法防马	20	3	0	4	0	0	20	2	250	1	1	0	0	0	0	0	0	230	275	2280	2768	100000	0	18020306	试炼3-6掉落	255
17030173	八品绝影+	mff02.png	20级紫色+1法防马	20	3	0	5	0	0	20	2	500	1	1	0	0	0	0	0	0	307	354	3040	3564	150000	0	18020306	试炼3-6掉落	310
17030174	八品绝影	mff02.png	20级橙色法防马	20	3	0	6	0	0	20	2	1000	1	1	0	0	0	0	0	0	391	442	3872	4448	0	200000	18020306	试炼3-6掉落	365
17030175	八品绝影+	mff02.png	20级橙色+1法防马	20	3	0	7	0	0	20	2	5000	1	1	0	0	0	0	0	0	486	541	4820	5440	0	300000	18020306	试炼3-6掉落	420
17030176	七品龙胆	wqjz03.png	30级绿色近战武器	30	1	1	1	0	1	30	2	100	1	1	658	711	65	71	0	0	0	0	0	0	10000	0	18020401	试炼4-1掉落	105
17030177	七品龙胆	wqjz03.png	30级蓝色近战武器	30	1	1	2	0	1	30	2	150	1	1	790	853	79	85	0	0	0	0	0	0	50000	0	18020401	试炼4-1掉落	165
17030178	七品龙胆+	wqjz03.png	30级蓝色+1近战武器	30	1	1	3	0	1	30	2	200	1	1	948	1024	94	102	0	0	0	0	0	0	80000	0	18020401	试炼4-1掉落	225
17030179	七品龙胆	wqjz03.png	30级紫色近战武器	30	1	1	4	0	1	30	2	250	1	1	1128	1340	112	134	0	0	0	0	0	0	100000	0	18020401	试炼4-1掉落	285
17030180	七品龙胆+	wqjz03.png	30级紫色+1近战武器	30	1	1	5	0	1	30	2	500	1	1	1505	1725	150	172	0	0	0	0	0	0	150000	0	18020401	试炼4-1掉落	345
17030181	七品龙胆	wqjz03.png	30级橙色近战武器	30	1	1	6	0	1	30	2	1000	1	1	1916	2153	191	215	0	0	0	0	0	0	0	200000	18020401	试炼4-1掉落	405
17030182	七品龙胆+	wqjz03.png	30级橙色+1近战武器	30	1	1	7	0	1	30	2	5000	1	1	2385	2634	238	263	0	0	0	0	0	0	0	300000	18020401	试炼4-1掉落	465
17030183	七品易经	wqms03.png	30级绿色谋士武器	30	1	3	1	0	3	30	2	100	1	1	0	0	0	0	806	870	0	0	0	0	10000	0	18020406	试炼4-6掉落	105
17030184	七品易经	wqms03.png	30级蓝色谋士武器	30	1	3	2	0	3	30	2	150	1	1	0	0	0	0	968	1044	0	0	0	0	50000	0	18020406	试炼4-6掉落	165
17030185	七品易经+	wqms03.png	30级蓝色+1谋士武器	30	1	3	3	0	3	30	2	200	1	1	0	0	0	0	1161	1253	0	0	0	0	80000	0	18020406	试炼4-6掉落	225
17030186	七品易经	wqms03.png	30级紫色谋士武器	30	1	3	4	0	3	30	2	250	1	1	0	0	0	0	1382	1640	0	0	0	0	100000	0	18020406	试炼4-6掉落	285
17030187	七品易经+	wqms03.png	30级紫色+1谋士武器	30	1	3	5	0	3	30	2	500	1	1	0	0	0	0	1842	2111	0	0	0	0	150000	0	18020406	试炼4-6掉落	345
17030188	七品易经	wqms03.png	30级橙色谋士武器	30	1	3	6	0	3	30	2	1000	1	1	0	0	0	0	2346	2635	0	0	0	0	0	200000	18020406	试炼4-6掉落	405
17030189	七品易经+	wqms03.png	30级橙色+1谋士武器	30	1	3	7	0	3	30	2	5000	1	1	0	0	0	0	2921	3224	0	0	0	0	0	300000	18020406	试炼4-6掉落	465
