#id	类型 1：随机战斗 2：怪物事件 3：加血 4：宝箱事件 5：Boss	组(宝箱掉落组ID组、怪物mapID组、加血百分比组)
id	type	group
38043001	3	30;40;50
38043002	3	30;40;50
38043003	3	30;40;50
38043004	3	30;40;50
38043005	3	30;40;50
38043006	3	30;40;50
38043007	3	30;40;50
38043008	3	30;40;50
38043009	3	30;40;50
38043010	3	30;40;50
38043011	3	30;40;50
38043012	3	30;40;50
38043013	3	30;40;50
38043014	3	30;40;50
38043015	3	30;40;50
38043016	3	30;40;50
38043017	3	30;40;50
38043018	3	30;40;50
38043019	3	30;40;50
38043020	3	30;40;50
38043021	3	30;40;50
38043022	3	30;40;50
38043023	3	30;40;50
38043024	3	30;40;50
38043025	3	30;40;50
38043026	3	30;40;50
38043027	3	30;40;50
38043028	3	30;40;50
38043029	3	30;40;50
38043030	3	30;40;50
38043031	3	30;40;50
38043032	3	30;40;50
38043033	3	30;40;50
38043034	3	30;40;50
38043035	3	30;40;50
38043036	3	30;40;50
38043037	3	30;40;50
38043038	3	30;40;50
38043039	3	30;40;50
#		
38044001	4	22082110
38044002	4	22082110
38044003	4	22082120
38044004	4	22082120
38044005	4	22082130
38044006	4	22082130
38044007	4	22082130
38044008	4	22082210
38044009	4	22082210
38044010	4	22082220
38044011	4	22082220
38044012	4	22082220
38044013	4	22082230
38044014	4	22082230
38044015	4	22082230
38044016	4	22082240
38044017	4	22082240
38044018	4	22082240
38044019	4	22082250
38044020	4	22082250
38044021	4	22082250
38044022	4	22082250
38044023	4	22082310
38044024	4	22082310
38044025	4	22082310
38044026	4	22082320
38044027	4	22082320
38044028	4	22082320
38044029	4	22082330
38044030	4	22082330
38044031	4	22082330
38044032	4	22082340
38044033	4	22082340
38044034	4	22082340
38044035	4	22082340
38044036	4	22082350
38044037	4	22082350
38044038	4	22082350
38044039	4	22082350
#		
38045001	5	18050191;18050192;18050193;18050194;18050195
38045002	5	18050291;18050292;18050293;18050294;18050295
38045003	5	18050391;18050392;18050393;18050394;18050395
38045004	5	18050491;18050492;18050493;18050494;18050495
38045005	5	18050591;18050592;18050593;18050594;18050595
38045006	5	18050691;18050692;18050693;18050694;18050695
38045007	5	18050791;18050792;18050793;18050794;18050795
38045008	5	18050891;18050892;18050893;18050894;18050895
38045009	5	18050991;18050992;18050993;18050994;18050995
38045010	5	18051091;18051092;18051093;18051094;18051095
38045011	5	18051191;18051192;18051193;18051194;18051195
38045012	5	18051291;18051292;18051293;18051294;18051295
38045013	5	18051391;18051392;18051393;18051394;18051395
38045014	5	18051491;18051492;18051493;18051494;18051495
38045015	5	18051591;18051592;18051593;18051594;18051595
38045016	5	18051691;18051692;18051693;18051694;18051695
38045017	5	18051791;18051792;18051793;18051794;18051795
38045018	5	18051891;18051892;18051893;18051894;18051895
38045019	5	18051991;18051992;18051993;18051994;18051995
38045020	5	18052091;18052092;18052093;18052094;18052095
38045021	5	18052191;18052192;18052193;18052194;18052195
38045022	5	18052291;18052292;18052293;18052294;18052295
38045023	5	18052391;18052392;18052393;18052394;18052395
38045024	5	18052491;18052492;18052493;18052494;18052495
38045025	5	18052591;18052592;18052593;18052594;18052595
38045026	5	18052691;18052692;18052693;18052694;18052695
38045027	5	18052791;18052792;18052793;18052794;18052795
38045028	5	18052891;18052892;18052893;18052894;18052895
38045029	5	18052991;18052992;18052993;18052994;18052995
38045030	5	18053091;18053092;18053093;18053094;18053095
38045031	5	18053191;18053192;18053193;18053194;18053195
38045032	5	18053291;18053292;18053293;18053294;18053295
38045033	5	18053391;18053392;18053393;18053394;18053395
38045034	5	18053491;18053492;18053493;18053494;18053495
38045035	5	18053591;18053592;18053593;18053594;18053595
38045036	5	18053691;18053692;18053693;18053694;18053695
38045037	5	18053791;18053792;18053793;18053794;18053795
38045038	5	18053891;18053892;18053893;18053894;18053895
38045039	5	18053991;18053992;18053993;18053994;18053995
