#id	#掉落组	组内编号	说明	物品id	物品数量	权重（总权重为10000）	是否显示
id	group	no	describe	itemid	num	weight	show
2	22020107	2	征战107_武将经验值	17010048	100	10000	0
3	22020107	3	征战107_铜钱	17010039	128	10000	1
4	22020107	4	征战107_马岱将魂	17020047	2	2000	1
4	22020107	4	征战107_马岱将魂	17020047	1	6000	0
1	22020201	1	征战201_主公经验值	17010044	253	10000	0
2	22020201	2	征战201_武将经验值	17010048	100	10000	0
3	22020201	3	征战201_铜钱	17010039	131	10000	1
4	22020201	4	征战201_初级孔石	17010006	1	10000	1
5	22020201	5	征战201_中级五色花	17010013	1	9000	1
1	22020202	1	征战202_主公经验值	17010044	254	10000	0
2	22020202	2	征战202_武将经验值	17010048	100	10000	0
3	22020202	3	征战202_铜钱	17010039	133	10000	1
4	22020202	4	征战202_初级翎羽	17010007	1	10000	1
5	22020202	5	征战202_中级方解石	17010011	1	9000	1
1	22020203	1	征战203_主公经验值	17010044	255	10000	0
2	22020203	2	征战203_武将经验值	17010048	100	10000	0
3	22020203	3	征战203_铜钱	17010039	134	10000	1
4	22020203	4	征战203_初级翠玉	17010008	1	10000	1
5	22020203	5	征战203_中级孔石	17010016	1	9000	1
1	22020204	1	征战204_主公经验值	17010044	256	10000	0
2	22020204	2	征战204_武将经验值	17010048	100	10000	0
3	22020204	3	征战204_铜钱	17010039	138	10000	1
4	22020204	4	征战204_潘凤将魂	17020048	1	6000	1
4	22020204	4	征战204_潘凤将魂	17020048	2	2000	0
1	22020205	1	征战205_主公经验值	17010044	257	10000	0
2	22020205	2	征战205_武将经验值	17010048	100	10000	0
3	22020205	3	征战205_铜钱	17010039	142	10000	1
4	22020205	4	征战205_初级牙尖	17010009	1	10000	1
5	22020205	5	征战205_中级秘银粉	17010014	1	9000	1
1	22020206	1	征战206_主公经验值	17010044	258	10000	0
2	22020206	2	征战206_武将经验值	17010048	100	10000	0
3	22020206	3	征战206_铜钱	17010039	146	10000	1
4	22020206	4	征战206_高级玄铁	17010020	1	8000	1
1	22020207	1	征战207_主公经验值	17010044	259	10000	0
2	22020207	2	征战207_武将经验值	17010048	100	10000	0
3	22020207	3	征战207_铜钱	17010039	151	10000	1
4	22020207	4	征战207_高级方解石	17010021	1	8000	1
1	22020208	1	征战208_主公经验值	17010044	260	10000	0
2	22020208	2	征战208_武将经验值	17010048	100	10000	0
3	22020208	3	征战208_铜钱	17010039	155	10000	1
4	22020208	4	征战208_法正将魂	17020043	1	6000	1
4	22020208	4	征战208_法正将魂	17020043	2	2000	0
1	22020301	1	征战301_主公经验值	17010044	500	10000	0
2	22020301	2	征战301_武将经验值	17010048	100	10000	0
3	22020301	3	征战301_铜钱	17010039	160	10000	1
4	22020301	4	征战301_高级丝绸	17010022	1	8000	1
1	22020302	1	征战302_主公经验值	17010044	500	10000	0
2	22020302	2	征战302_武将经验值	17010048	100	10000	0
3	22020302	3	征战302_铜钱	17010039	165	10000	1
4	22020302	4	征战302_高级五色花	17010023	1	8000	1
1	22020303	1	征战303_主公经验值	17010044	500	10000	0
2	22020303	2	征战303_武将经验值	17010048	100	10000	0
3	22020303	3	征战303_铜钱	17010039	170	10000	1
4	22020303	4	征战303_高级秘银粉	17010024	1	8000	1
1	22020304	1	征战304_主公经验值	17010044	500	10000	0
2	22020304	2	征战304_武将经验值	17010048	100	10000	0
3	22020304	3	征战304_铜钱	17010039	175	10000	1
4	22020304	4	征战304_荀彧将魂	17020044	1	6000	1
4	22020304	4	征战304_荀彧将魂	17020044	2	2000	0
1	22020305	1	征战305_主公经验值	17010044	500	10000	0
2	22020305	2	征战305_武将经验值	17010048	100	10000	0
3	22020305	3	征战305_铜钱	17010039	180	10000	1
4	22020305	4	征战305_高级怪兽角	17010025	1	8000	1
1	22020306	1	征战306_主公经验值	17010044	500	10000	0
2	22020306	2	征战306_武将经验值	17010048	100	10000	0
3	22020306	3	征战306_铜钱	17010039	190	10000	1
4	22020306	4	征战306_高级孔石	17010026	1	8000	1
1	22020307	1	征战307_主公经验值	17010044	500	10000	0
2	22020307	2	征战307_武将经验值	17010048	100	10000	0
3	22020307	3	征战307_铜钱	17010039	196	10000	1
4	22020307	4	征战307_高级翎羽	17010027	1	8000	1
1	22020308	1	征战308_主公经验值	17010044	500	10000	0
2	22020308	2	征战308_武将经验值	17010048	100	10000	0
3	22020308	3	征战308_铜钱	17010039	200	10000	1
4	22020308	4	征战308_太史慈将魂	17020022	1	6000	1
4	22020308	4	征战308_太史慈将魂	17020022	2	2000	0
1	22020401	1	征战401_主公经验值	17010044	500	10000	0
2	22020401	2	征战401_武将经验值	17010048	100	10000	0
3	22020401	3	征战401_铜钱	17010039	200	10000	1
4	22020401	4	征战401_高级翠玉	17010028	1	8000	1
1	22020402	1	征战402_主公经验值	17010044	1000	10000	0
2	22020402	2	征战402_武将经验值	17010048	100	10000	0
3	22020402	3	征战402_铜钱	17010039	200	10000	1
4	22020402	4	征战402_高级牙尖	17010029	1	8000	1
1	22020403	1	征战403_主公经验值	17010044	1000	10000	0
2	22020403	2	征战403_武将经验值	17010048	100	10000	0
3	22020403	3	征战403_铜钱	17010039	200	10000	1
4	22020403	4	征战403_特级玄铁	17010074	1	7000	1
1	22020404	1	征战404_主公经验值	17010044	1000	10000	0
2	22020404	2	征战404_武将经验值	17010048	100	10000	0
3	22020404	3	征战404_铜钱	17010039	200	10000	1
4	22020404	4	征战404_孟获将魂	17020042	1	6000	1
4	22020404	4	征战404_孟获将魂	17020042	2	2000	0
1	22020405	1	征战405_主公经验值	17010044	1000	10000	0
2	22020405	2	征战405_武将经验值	17010048	100	10000	0
3	22020405	3	征战405_铜钱	17010039	200	10000	1
4	22020405	4	征战405_特级方解石	17010075	1	7000	1
1	22020406	1	征战406_主公经验值	17010044	1000	10000	0
2	22020406	2	征战406_武将经验值	17010048	100	10000	0
3	22020406	3	征战406_铜钱	17010039	200	10000	1
4	22020406	4	征战406_特级丝绸	17010076	1	7000	1
1	22020407	1	征战407_主公经验值	17010044	1000	10000	0
2	22020407	2	征战407_武将经验值	17010048	100	10000	0
3	22020407	3	征战407_铜钱	17010039	200	10000	1
4	22020407	4	征战407_特级五色花	17010077	1	7000	1
1	22020408	1	征战408_主公经验值	17010044	1000	10000	0
2	22020408	2	征战408_武将经验值	17010048	100	10000	0
3	22020408	3	征战408_铜钱	17010039	200	10000	1
4	22020408	4	征战408_颜良将魂	17020029	1	6000	1
4	22020408	4	征战408_颜良将魂	17020029	2	2000	0
1	22020501	1	征战501_主公经验值	17010044	1000	10000	0
2	22020501	2	征战501_武将经验值	17010048	100	10000	0
3	22020501	3	征战501_铜钱	17010039	200	10000	1
4	22020501	4	征战501_特级秘银粉	17010078	1	7000	1
1	22020502	1	征战502_主公经验值	17010044	1000	10000	0
2	22020502	2	征战502_武将经验值	17010048	100	10000	0
3	22020502	3	征战502_铜钱	17010039	200	10000	1
4	22020502	4	征战502_特级怪兽角	17010079	1	7000	1
1	22020503	1	征战503_主公经验值	17010044	1400	10000	0
2	22020503	2	征战503_武将经验值	17010048	100	10000	0
3	22020503	3	征战503_铜钱	17010039	200	10000	1
4	22020503	4	征战503_特级孔石	17010080	1	7000	1
1	22020504	1	征战504_主公经验值	17010044	1400	10000	0
2	22020504	2	征战504_武将经验值	17010048	100	10000	0
3	22020504	3	征战504_铜钱	17010039	200	10000	1
4	22020504	4	征战504_文丑将魂	17020030	1	6000	1
4	22020504	4	征战504_文丑将魂	17020030	2	2000	0
1	22020505	1	征战505_主公经验值	17010044	1400	10000	0
2	22020505	2	征战505_武将经验值	17010048	100	10000	0
3	22020505	3	征战505_铜钱	17010039	200	10000	1
4	22020505	4	征战505_特级翎羽	17010081	1	7000	1
1	22020506	1	征战506_主公经验值	17010044	1400	10000	0
2	22020506	2	征战506_武将经验值	17010048	100	10000	0
3	22020506	3	征战506_铜钱	17010039	200	10000	1
4	22020506	4	征战506_特级翠玉	17010082	1	7000	1
1	22020507	1	征战507_主公经验值	17010044	1400	10000	0
2	22020507	2	征战507_武将经验值	17010048	100	10000	0
3	22020507	3	征战507_铜钱	17010039	200	10000	1
4	22020507	4	征战507_特级牙尖	17010083	1	7000	1
1	22020508	1	征战508_主公经验值	17010044	1400	10000	0
2	22020508	2	征战508_武将经验值	17010048	100	10000	0
3	22020508	3	征战508_铜钱	17010039	200	10000	1
4	22020508	4	征战508_姜维将魂	17020009	1	6000	1
4	22020508	4	征战508_姜维将魂	17020009	2	2000	0
1	22020601	1	征战601_主公经验值	17010044	1400	10000	0
2	22020601	2	征战601_武将经验值	17010048	100	10000	0
3	22020601	3	征战601_铜钱	17010039	200	10000	1
4	22020601	4	征战601_初级玄铁	17010000	1	10000	1
5	22020601	5	征战601_高级五色花	17010023	1	8000	1
1	22020602	1	征战602_主公经验值	17010044	1800	10000	0
2	22020602	2	征战602_武将经验值	17010048	100	10000	0
3	22020602	3	征战602_铜钱	17010039	200	10000	1
4	22020602	4	征战602_初级方解石	17010001	1	10000	1
5	22020602	5	征战602_高级秘银粉	17010024	1	8000	1
1	22020603	1	征战603_主公经验值	17010044	1800	10000	0
2	22020603	2	征战603_武将经验值	17010048	100	10000	0
3	22020603	3	征战603_铜钱	17010039	200	10000	1
4	22020603	4	征战603_初级丝绸	17010002	1	10000	1
5	22020603	5	征战603_高级怪兽角	17010025	1	8000	1
1	22020604	1	征战604_主公经验值	17010044	1800	10000	0
2	22020604	2	征战604_武将经验值	17010048	100	10000	0
3	22020604	3	征战604_铜钱	17010039	200	10000	1
4	22020604	4	征战604_张昭将魂	17020045	1	6000	1
4	22020604	4	征战604_张昭将魂	17020045	2	2000	0
1	22020605	1	征战605_主公经验值	17010044	1800	10000	0
2	22020605	2	征战605_武将经验值	17010048	100	10000	0
3	22020605	3	征战605_铜钱	17010039	200	10000	1
4	22020605	4	征战605_初级五色花	17010003	1	10000	1
5	22020605	5	征战605_高级孔石	17010026	1	8000	1
1	22020606	1	征战606_主公经验值	17010044	1800	10000	0
2	22020606	2	征战606_武将经验值	17010048	100	10000	0
3	22020606	3	征战606_铜钱	17010039	200	10000	1
4	22020606	4	征战606_初级秘银粉	17010004	1	10000	1
5	22020606	5	征战606_高级翎羽	17010027	1	8000	1
1	22020607	1	征战607_主公经验值	17010044	1800	10000	0
2	22020607	2	征战607_武将经验值	17010048	100	10000	0
3	22020607	3	征战607_铜钱	17010039	200	10000	1
4	22020607	4	征战607_初级怪兽角	17010005	1	10000	1
5	22020607	5	征战607_高级翠玉	17010028	1	8000	1
1	22020608	1	征战608_主公经验值	17010044	1800	10000	0
2	22020608	2	征战608_武将经验值	17010048	100	10000	0
3	22020608	3	征战608_铜钱	17010039	200	10000	1
4	22020608	4	征战608_张辽将魂	17020026	1	6000	1
4	22020608	4	征战608_张辽将魂	17020026	2	2000	0
1	22020701	1	征战701_主公经验值	17010044	1800	10000	0
2	22020701	2	征战701_武将经验值	17010048	100	10000	0
3	22020701	3	征战701_铜钱	17010039	200	10000	1
4	22020701	4	征战701_初级孔石	17010006	1	10000	1
5	22020701	5	征战701_高级牙尖	17010029	1	8000	1
1	22020702	1	征战702_主公经验值	17010044	1800	10000	0
2	22020702	2	征战702_武将经验值	17010048	100	10000	0
3	22020702	3	征战702_铜钱	17010039	200	10000	1
4	22020702	4	征战702_初级翎羽	17010007	1	10000	1
5	22020702	5	征战702_高级玄铁	17010020	1	8000	1
1	22020703	1	征战703_主公经验值	17010044	1800	10000	0
2	22020703	2	征战703_武将经验值	17010048	100	10000	0
3	22020703	3	征战703_铜钱	17010039	200	10000	1
4	22020703	4	征战703_初级翠玉	17010008	1	10000	1
5	22020703	5	征战703_高级方解石	17010021	1	8000	1
1	22020704	1	征战704_主公经验值	17010044	1800	10000	0
2	22020704	2	征战704_武将经验值	17010048	100	10000	0
3	22020704	3	征战704_铜钱	17010039	200	10000	1
4	22020704	4	征战704_文鸯将魂	17020046	1	6000	1
4	22020704	4	征战704_文鸯将魂	17020046	2	2000	0
1	22020705	1	征战705_主公经验值	17010044	1800	10000	0
2	22020705	2	征战705_武将经验值	17010048	100	10000	0
3	22020705	3	征战705_铜钱	17010039	200	10000	1
4	22020705	4	征战705_初级牙尖	17010009	1	10000	1
5	22020705	5	征战705_高级丝绸	17010022	1	8000	1
1	22020706	1	征战706_主公经验值	17010044	1800	10000	0
2	22020706	2	征战706_武将经验值	17010048	100	10000	0
3	22020706	3	征战706_铜钱	17010039	200	10000	1
4	22020706	4	征战706_初级玄铁	17010000	1	10000	1
5	22020706	5	征战706_特级丝绸	17010076	1	7000	1
1	22020707	1	征战707_主公经验值	17010044	1800	10000	0
2	22020707	2	征战707_武将经验值	17010048	100	10000	0
3	22020707	3	征战707_铜钱	17010039	200	10000	1
4	22020707	4	征战707_初级方解石	17010001	1	10000	1
5	22020707	5	征战707_特级五色花	17010077	1	7000	1
1	22020708	1	征战708_主公经验值	17010044	1800	10000	0
2	22020708	2	征战708_武将经验值	17010048	100	10000	0
3	22020708	3	征战708_铜钱	17010039	200	10000	1
4	22020708	4	征战708_庞统将魂	17020025	1	6000	1
4	22020708	4	征战708_庞统将魂	17020025	2	2000	0
1	22020801	1	征战801_主公经验值	17010044	1800	10000	0
2	22020801	2	征战801_武将经验值	17010048	100	10000	0
3	22020801	3	征战801_铜钱	17010039	200	10000	1
4	22020801	4	征战801_初级丝绸	17010002	1	10000	1
5	22020801	5	征战801_特级玄铁	17010074	1	7000	1
1	22020802	1	征战802_主公经验值	17010044	1800	10000	0
2	22020802	2	征战802_武将经验值	17010048	100	10000	0
3	22020802	3	征战802_铜钱	17010039	200	10000	1
4	22020802	4	征战802_初级五色花	17010003	1	10000	1
5	22020802	5	征战802_特级方解石	17010075	1	7000	1
1	22020803	1	征战803_主公经验值	17010044	1800	10000	0
2	22020803	2	征战803_武将经验值	17010048	100	10000	0
3	22020803	3	征战803_铜钱	17010039	200	10000	1
4	22020803	4	征战803_初级秘银粉	17010004	1	10000	1
5	22020803	5	征战803_特级怪兽角	17010079	1	7000	1
1	22020804	1	征战804_主公经验值	17010044	1800	10000	0
2	22020804	2	征战804_武将经验值	17010048	100	10000	0
3	22020804	3	征战804_铜钱	17010039	200	10000	1
4	22020804	4	征战804_太史慈将魂	17020022	1	6000	1
4	22020804	4	征战804_太史慈将魂	17020022	2	2000	0
1	22020805	1	征战805_主公经验值	17010044	1800	10000	0
2	22020805	2	征战805_武将经验值	17010048	100	10000	0
3	22020805	3	征战805_铜钱	17010039	200	10000	1
4	22020805	4	征战805_初级怪兽角	17010005	1	10000	1
5	22020805	5	征战805_特级翠玉	17010082	1	7000	1
1	22020806	1	征战806_主公经验值	17010044	1800	10000	0
2	22020806	2	征战806_武将经验值	17010048	100	10000	0
3	22020806	3	征战806_铜钱	17010039	200	10000	1
4	22020806	4	征战806_初级孔石	17010006	1	10000	1
5	22020806	5	征战806_特级牙尖	17010083	1	7000	1
1	22020807	1	征战807_主公经验值	17010044	1800	10000	0
2	22020807	2	征战807_武将经验值	17010048	100	10000	0
3	22020807	3	征战807_铜钱	17010039	200	10000	1
4	22020807	4	征战807_初级翎羽	17010007	1	10000	1
5	22020807	5	征战807_特级秘银粉	17010078	1	7000	1
1	22020808	1	征战808_主公经验值	17010044	1800	10000	0
2	22020808	2	征战808_武将经验值	17010048	100	10000	0
3	22020808	3	征战808_铜钱	17010039	200	10000	1
4	22020808	4	征战808_甘宁将魂	17020027	1	6000	1
4	22020808	4	征战808_甘宁将魂	17020027	2	2000	0
1	22020901	1	征战901_主公经验值	17010044	1800	10000	0
2	22020901	2	征战901_武将经验值	17010048	100	10000	0
3	22020901	3	征战901_铜钱	17010039	200	10000	1
4	22020901	4	征战901_初级翠玉	17010008	1	10000	1
5	22020901	5	征战901_特级孔石	17010080	1	7000	1
1	22020902	1	征战902_主公经验值	17010044	1800	10000	0
2	22020902	2	征战902_武将经验值	17010048	100	10000	0
3	22020902	3	征战902_铜钱	17010039	200	10000	1
4	22020902	4	征战902_初级牙尖	17010009	1	10000	1
5	22020902	5	征战902_特级翎羽	17010081	1	7000	1
1	22020903	1	征战903_主公经验值	17010044	1800	10000	0
2	22020903	2	征战903_武将经验值	17010048	100	10000	0
3	22020903	3	征战903_铜钱	17010039	200	10000	1
4	22020903	4	征战903_中级玄铁	17010010	1	9000	1
5	22020903	5	征战903_高级秘银粉	17010024	1	8000	1
1	22020904	1	征战904_主公经验值	17010044	1800	10000	0
2	22020904	2	征战904_武将经验值	17010048	100	10000	0
3	22020904	3	征战904_铜钱	17010039	200	10000	1
4	22020904	4	征战904_文丑将魂	17020030	1	6000	1
4	22020904	4	征战904_文丑将魂	17020030	2	2000	0
1	22020905	1	征战905_主公经验值	17010044	1800	10000	0
2	22020905	2	征战905_武将经验值	17010048	100	10000	0
3	22020905	3	征战905_铜钱	17010039	200	10000	1
4	22020905	4	征战905_中级方解石	17010011	1	9000	1
5	22020905	5	征战905_高级怪兽角	17010025	1	8000	1
1	22020906	1	征战906_主公经验值	17010044	1800	10000	0
2	22020906	2	征战906_武将经验值	17010048	100	10000	0
3	22020906	3	征战906_铜钱	17010039	200	10000	1
4	22020906	4	征战906_中级丝绸	17010012	1	9000	1
5	22020906	5	征战906_高级孔石	17010026	1	8000	1
1	22020907	1	征战907_主公经验值	17010044	1800	10000	0
2	22020907	2	征战907_武将经验值	17010048	100	10000	0
3	22020907	3	征战907_铜钱	17010039	200	10000	1
4	22020907	4	征战907_中级五色花	17010013	1	9000	1
5	22020907	5	征战907_高级翠玉	17010028	1	8000	1
1	22020908	1	征战908_主公经验值	17010044	1800	10000	0
2	22020908	2	征战908_武将经验值	17010048	100	10000	0
3	22020908	3	征战908_铜钱	17010039	200	10000	1
4	22020908	4	征战908_小乔将魂	17020007	1	6000	1
4	22020908	4	征战908_小乔将魂	17020007	2	2000	0
1	22021001	1	征战1001_主公经验值	17010044	1800	10000	0
2	22021001	2	征战1001_武将经验值	17010048	100	10000	0
3	22021001	3	征战1001_铜钱	17010039	200	10000	1
4	22021001	4	征战1001_中级秘银粉	17010014	1	9000	1
5	22021001	5	征战1001_高级牙尖	17010029	1	8000	1
1	22021002	1	征战1002_主公经验值	17010044	1800	10000	0
2	22021002	2	征战1002_武将经验值	17010048	100	10000	0
3	22021002	3	征战1002_铜钱	17010039	200	10000	1
4	22021002	4	征战1002_中级怪兽角	17010015	1	9000	1
5	22021002	5	征战1002_高级翎羽	17010027	1	8000	1
1	22021003	1	征战1003_主公经验值	17010044	1800	10000	0
2	22021003	2	征战1003_武将经验值	17010048	100	10000	0
3	22021003	3	征战1003_铜钱	17010039	200	10000	1
4	22021003	4	征战1003_中级孔石	17010016	1	9000	1
5	22021003	5	征战1003_高级玄铁	17010020	1	8000	1
1	22021004	1	征战1004_主公经验值	17010044	1800	10000	0
2	22021004	2	征战1004_武将经验值	17010048	100	10000	0
3	22021004	3	征战1004_铜钱	17010039	200	10000	1
4	22021004	4	征战1004_曹仁将魂	17020049	1	6000	1
4	22021004	4	征战1004_曹仁将魂	17020049	2	2000	0
1	22021005	1	征战1005_主公经验值	17010044	1800	10000	0
2	22021005	2	征战1005_武将经验值	17010048	100	10000	0
3	22021005	3	征战1005_铜钱	17010039	200	10000	1
4	22021005	4	征战1005_中级翎羽	17010017	1	9000	1
5	22021005	5	征战1005_高级方解石	17010021	1	8000	1
1	22021006	1	征战1006_主公经验值	17010044	1800	10000	0
2	22021006	2	征战1006_武将经验值	17010048	100	10000	0
3	22021006	3	征战1006_铜钱	17010039	200	10000	1
4	22021006	4	征战1006_中级翠玉	17010018	1	9000	1
5	22021006	5	征战1006_高级丝绸	17010022	1	8000	1
1	22021007	1	征战1007_主公经验值	17010044	1800	10000	0
2	22021007	2	征战1007_武将经验值	17010048	100	10000	0
3	22021007	3	征战1007_铜钱	17010039	200	10000	1
4	22021007	4	征战1007_中级牙尖	17010019	1	9000	1
5	22021007	5	征战1007_高级五色花	17010023	1	8000	1
1	22021008	1	征战1008_主公经验值	17010044	1800	10000	0
2	22021008	2	征战1008_武将经验值	17010048	100	10000	0
3	22021008	3	征战1008_铜钱	17010039	200	10000	1
4	22021008	4	征战1008_夏侯渊将魂	17020037	1	6000	1
4	22021008	4	征战1008_夏侯渊将魂	17020037	2	2000	0
1	22021101	1	征战1101_主公经验值	17010044	1800	10000	0
2	22021101	2	征战1101_武将经验值	17010048	100	10000	0
3	22021101	3	征战1101_铜钱	17010039	200	10000	1
4	22021101	4	征战1101_中级玄铁	17010010	1	9000	1
5	22021101	5	征战1101_特级孔石	17010080	1	7000	1
1	22021102	1	征战1102_主公经验值	17010044	1800	10000	0
2	22021102	2	征战1102_武将经验值	17010048	100	10000	0
3	22021102	3	征战1102_铜钱	17010039	200	10000	1
4	22021102	4	征战1102_中级方解石	17010011	1	9000	1
5	22021102	5	征战1102_特级翎羽	17010081	1	7000	1
1	22021103	1	征战1103_主公经验值	17010044	1800	10000	0
2	22021103	2	征战1103_武将经验值	17010048	100	10000	0
3	22021103	3	征战1103_铜钱	17010039	200	10000	1
4	22021103	4	征战1103_中级丝绸	17010012	1	9000	1
5	22021103	5	征战1103_特级翠玉	17010082	1	7000	1
1	22021104	1	征战1104_主公经验值	17010044	1800	10000	0
2	22021104	2	征战1104_武将经验值	17010048	100	10000	0
3	22021104	3	征战1104_铜钱	17010039	200	10000	1
4	22021104	4	征战1104_颜良将魂	17020029	1	6000	1
4	22021104	4	征战1104_颜良将魂	17020029	2	2000	0
1	22021105	1	征战1105_主公经验值	17010044	1800	10000	0
2	22021105	2	征战1105_武将经验值	17010048	100	10000	0
3	22021105	3	征战1105_铜钱	17010039	200	10000	1
4	22021105	4	征战1105_中级五色花	17010013	1	9000	1
5	22021105	5	征战1105_特级牙尖	17010083	1	7000	1
1	22021106	1	征战1106_主公经验值	17010044	1800	10000	0
2	22021106	2	征战1106_武将经验值	17010048	100	10000	0
3	22021106	3	征战1106_铜钱	17010039	200	10000	1
4	22021106	4	征战1106_中级秘银粉	17010014	1	9000	1
5	22021106	5	征战1106_特级玄铁	17010074	1	7000	1
1	22021107	1	征战1107_主公经验值	17010044	1800	10000	0
2	22021107	2	征战1107_武将经验值	17010048	100	10000	0
3	22021107	3	征战1107_铜钱	17010039	200	10000	1
4	22021107	4	征战1107_中级怪兽角	17010015	1	9000	1
5	22021107	5	征战1107_特级五色花	17010077	1	7000	1
1	22021108	1	征战1108_主公经验值	17010044	1800	10000	0
2	22021108	2	征战1108_武将经验值	17010048	100	10000	0
3	22021108	3	征战1108_铜钱	17010039	200	10000	1
4	22021108	4	征战1108_贾诩将魂	17020039	1	6000	1
4	22021108	4	征战1108_贾诩将魂	17020039	2	2000	0
1	22021201	1	征战1201_主公经验值	17010044	1800	10000	0
2	22021201	2	征战1201_武将经验值	17010048	100	10000	0
3	22021201	3	征战1201_铜钱	17010039	200	10000	1
4	22021201	4	征战1201_中级孔石	17010016	1	9000	1
5	22021201	5	征战1201_特级秘银粉	17010078	1	7000	1
1	22021202	1	征战1202_主公经验值	17010044	1800	10000	0
2	22021202	2	征战1202_武将经验值	17010048	100	10000	0
3	22021202	3	征战1202_铜钱	17010039	200	10000	1
4	22021202	4	征战1202_中级翎羽	17010017	1	9000	1
5	22021202	5	征战1202_特级怪兽角	17010079	1	7000	1
1	22021203	1	征战1203_主公经验值	17010044	1800	10000	0
2	22021203	2	征战1203_武将经验值	17010048	100	10000	0
3	22021203	3	征战1203_铜钱	17010039	200	10000	1
4	22021203	4	征战1203_中级翠玉	17010018	1	9000	1
5	22021203	5	征战1203_特级方解石	17010075	1	7000	1
1	22021204	1	征战1204_主公经验值	17010044	1800	10000	0
2	22021204	2	征战1204_武将经验值	17010048	100	10000	0
3	22021204	3	征战1204_铜钱	17010039	200	10000	1
4	22021204	4	征战1204_张辽将魂	17020026	1	6000	1
4	22021204	4	征战1204_张辽将魂	17020026	2	2000	0
1	22021205	1	征战1205_主公经验值	17010044	1800	10000	0
2	22021205	2	征战1205_武将经验值	17010048	100	10000	0
3	22021205	3	征战1205_铜钱	17010039	200	10000	1
4	22021205	4	征战1205_中级牙尖	17010019	1	9000	1
5	22021205	5	征战1205_特级丝绸	17010076	1	7000	1
1	22021206	1	征战1206_主公经验值	17010044	1800	10000	0
2	22021206	2	征战1206_武将经验值	17010048	100	10000	0
3	22021206	3	征战1206_铜钱	17010039	200	10000	1
4	22021206	4	征战1206_高级玄铁	17010020	1	8000	1
5	22021206	5	征战1206_特级丝绸	17010076	1	7000	1
1	22021207	1	征战1207_主公经验值	17010044	1800	10000	0
2	22021207	2	征战1207_武将经验值	17010048	100	10000	0
3	22021207	3	征战1207_铜钱	17010039	200	10000	1
4	22021207	4	征战1207_高级方解石	17010021	1	8000	1
5	22021207	5	征战1207_特级五色花	17010077	1	7000	1
1	22021208	1	征战1208_主公经验值	17010044	1800	10000	0
2	22021208	2	征战1208_武将经验值	17010048	100	10000	0
3	22021208	3	征战1208_铜钱	17010039	200	10000	1
4	22021208	4	征战1208_魏延将魂	17020015	1	6000	1
4	22021208	4	征战1208_魏延将魂	17020015	2	2000	0
