#道具ID（全局唯一 但不要超过14位）	道具名称（客户端用来显示）	图标	描述	初始等级	道具主类型（类型配置见【道具配置说明.txt】）	道具子类型	品质	职业限制	等级限制	售卖货币类型(AssetType)	出售	幸运市场价值（幸运值）	竞技市场中的价格（竞技点）	自动使用	提供经验	最大叠加数量	包含的数量（基数，单个物品里面的数量）	掉落关卡id（;分隔）	掉落关卡text（;分隔）	跳转类型：12经验房 13闯关 23挑战 26聚贤阁 27幸运市场 28竞技市场 29威望市场 30活动 31锻造
id	name	icon	describe	level	classify	type	quality	reqjob	reqlevel	sellmoneytype	sellprice	luckyprice	arenaprice	autouse	offerexp	overlaynum	radix	dropid	droptext	jumpclass
17010017	中级翎羽	lingyu01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010104;18011005;18011202;18011505		
17010018	中级运符	cuiyu01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010105;18011006;18011203;18011506		
17010019	中级勾玉	yajian01.png	武将转生材料	1	6	0	1	0	1	2	200	0	1	0	0	9999	1	18010106;18011007;18011205;18011507		
17010020	高级原石	xuantie02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010206;18010702;18011003;18011206;18011501		
17010021	高级冰晶	fangjieshi02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010207;18010703;18011005;18011207;18011502		
17010022	高级丝绸	sichou02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010301;18010705;18011006;18011301;18011503		
17010023	高级冥草	wusehua02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010302;18010601;18011007;18011302;18011505		
17010024	高级朱砂	miyinfen02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010303;18010602;18010903;18011303;18011506		
17010025	高级兽角	guaishoujiao02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010305;18010603;18010905;18011305;18011507		
17010026	高级眼珀	kongshi02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010306;18010605;18010906;18011306;18011403		
17010027	高级翎羽	lingyu02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010307;18010606;18011002;18011307;18011405		
17010028	高级运符	cuiyu02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010401;18010607;18010907;18011401;18011406		
17010029	高级勾玉	yajian02.png	武将转生材料	1	6	0	2	0	1	2	300	0	1	0	0	9999	1	18010402;18010701;18011001;18011402;18011407		
17010030	转生符文	zhanyifuwen04.png	武将转生特殊材料	1	6	0	4	0	1	2	1000	0	1	0	0	9999	1		闯关获得	13
17010031	浑天符文	huntianfuwen04.png	武将转生材料	1	6	0	4	0	1	2	1000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17010032	火石符文	huoshifuwen04.png	武将转生材料	1	6	0	4	0	1	2	1000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17010033	玄冥符文	xuanmingfuwen04.png	武将转生材料	1	6	0	4	0	1	2	1000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17010034	天羽符文	tianyufuwen04.png	武将转生材料	1	6	0	4	0	1	2	1000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17010035	转生精华	dizhijinghua05.png	高阶武将转生特殊材料	1	6	0	6	0	1	2	5000	0	1	0	0	9999	1		闯关获得	13
17010036	月之精华	yuezhijinghua05.png	武将转生材料	1	6	0	6	0	1	2	5000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17010037	星之精华	xingzhijinghua05.png	武将转生材料	1	6	0	6	0	1	2	5000	0	1	0	0	9999	1		挑战获得;闯关获得	23;13
17020000	吕布将魂	imghead041s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		聚贤阁获得	26
17020001	关羽将魂	imghead042s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		竞技市场获得	28
17020002	诸葛亮将魂	imghead001s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		聚贤阁获得	26
17020003	赵云将魂	imghead011s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		幸运市场获得	27
17020004	曹操将魂	imghead004s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		聚贤阁获得	26
17020005	司马懿将魂	imghead008s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		威望市场获得	29
17020006	夏侯惇将魂	imghead020s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		威望市场获得	29
17020007	小乔将魂	imghead511s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1	18010908	闯关获得	13
17020008	周瑜将魂	imghead003s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		闯关获得;威望市场获得	13;29
17020009	姜维将魂	imghead014s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1	18010508	闯关获得	13
17020010	黄忠将魂	imghead016s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		竞技市场获得	28
17020011	张飞将魂	imghead043s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		竞技市场获得	28
17020012	马超将魂	imghead044s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		聚贤阁获得	26
17020013	孙权将魂	imghead503s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		威望市场获得	29
17020014	郭嘉将魂	imghead010s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		闯关获得;幸运市场获得	13;27
17020015	魏延将魂	imghead025s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1	18011208	竞技市场获得	28
17020016	孙策将魂	imghead031s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		闯关获得;幸运市场获得	13;27
17020017	刘备将魂	imghead045s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1	18011508	闯关获得	13
17020018	大乔将魂	imghead513s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		威望市场获得	29
17020019	孙坚将魂	imghead033s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		竞技市场获得	28
17020020	黄月英将魂	imghead514s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		幸运市场获得	27
17020021	吕蒙将魂	imghead021s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		幸运市场获得	27
17020022	太史慈将魂	imghead035s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010308;18010804	闯关获得;威望市场获得	13;29
17020023	袁绍将魂	imghead118s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		竞技市场获得	28
17020024	张角将魂	imghead017s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		竞技市场获得	28
17020025	庞统将魂	imghead005s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010708	闯关获得;威望市场获得	13;29
17020026	张辽将魂	imghead038s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010608;18011204	竞技市场获得	28
17020027	甘宁将魂	imghead060s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010808;18011304	竞技市场获得	28
17020028	陆逊将魂	imghead505s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		竞技市场获得	28
17020029	颜良将魂	imghead124s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010408;18011104	闯关获得	13
17020030	文丑将魂	imghead132s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18010504;18010904	闯关获得	13
17020031	庞德将魂	imghead114s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		聚贤阁获得	26
17020032	辛宪英将魂	imghead515s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		威望市场获得	29
17020033	蔡文姬将魂	imghead512s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		威望市场获得	29
17020034	徐庶将魂	imghead029s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		聚贤阁获得	26
17020035	许褚将魂	imghead012s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		竞技市场获得	28
17020036	张郃将魂	imghead066s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		聚贤阁获得	26
17020037	夏侯渊将魂	imghead071s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18011008;18011404	闯关获得	13
17020038	祝融将魂	imghead516s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		威望市场获得	29
17020039	贾诩将魂	imghead051s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18011108;18011408	威望市场获得	29
17020040	周泰将魂	imghead055s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1	18011308;18011504		
17020041	典韦将魂	imghead015s.png	用于武将召唤与转生	1	4	0	2	0	1	17	5	0	1	0	0	9999	1		闯关获得	13
17020042	孟获将魂	imghead142s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010404	闯关获得	13
17020043	法正将魂	imghead143s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010208	闯关获得	13
17020044	荀彧将魂	imghead144s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010304		
17020045	张昭将魂	imghead136s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010604	闯关获得	13
17020046	文鸯将魂	imghead138s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010704	闯关获得	13
17020047	马岱将魂	imghead141s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010107		
17020048	潘凤将魂	imghead104s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18010204		
17020049	曹仁将魂	imghead509s.png	用于武将召唤与转生	1	4	0	1	0	1	17	3	0	1	0	0	9999	1	18011004	闯关获得	13
17020050	魔关羽将魂	imghead517s.png	用于武将召唤与转生	1	4	0	4	0	1	17	8	0	1	0	0	9999	1		从活动获得	
17010038	元宝	jinbi0.png	元宝	1	9	1	40	0	1	2	0	0	1	1	0	9999999	1			
17010039	铜钱	yinbi0.png	铜钱	1	9	2	40	0	1	2	0	0	1	1	0	9999999	1			
17010040	科技币	kejibi0.png	科技币	1	9	12	40	0	1	2	0	0	1	1	0	9999	1			
17010041	竞技币	jingjibi0.png	竞技币	1	9	11	40	0	1	2	0	0	1	1	0	9999	1			
17010042	奖杯	jingjijife0.png	竞技币	1	9	10	40	0	1	2	0	0	1	1	0	9999	1			
17010043	六品经验书	jingyanshu1.png	提供1000武将经验	1	5	0	40	0	1	2	500	0	1	0	1000	9999	1		经验房获得	12
17010044	主公经验值	zgjy0.png	经验值	1	9	4	40	0	1	2	0	0	1	1	0	9999	1			
17010045	剩余游历次数	xuantie01.png	剩余游历次数	1	9	15	40	0	1	2	0	0	1	1	0	24	1			
17010046	培养点	peiyangdian0.png	培养点	1	9	13	40	0	1	2	0	0	1	1	0	9999	1			
17010047	幸运值	xingyunzhi0.png	幸运值	1	9	9	40	0	1	2	0	0	1	1	0	9999	1			
17010048	武将经验值	wjjy0.png	武将经验值	1	9	3	40	0	1	2	0	0	1	1	0	9999	1			
17010049	五品经验书	jingyanshu2.png	提供10000武将经验	1	5	0	40	0	1	2	200	0	1	0	10000	9999	1		经验房获得	12
17010050	四品经验书	jingyanshu3.png	提供20000武将经验	1	5	0	1	0	1	2	300	0	1	0	20000	9999	1		经验房获得	12
17010051	三品经验书	jingyanshu4.png	提供40000武将经验	1	5	0	2	0	1	2	400	0	1	0	40000	9999	1		经验房获得	12
17010052	二品经验书	jingyanshu5.png	提供80000武将经验	1	5	0	4	0	1	2	500	0	1	0	80000	9999	1		经验房获得	12
17010053	一品经验书	jingyanshu6.png	提供200000武将经验	1	5	0	6	0	1	2	1000	0	1	0	200000	9999	1		经验房获得	12
17010054	军令	junling0.png	军令	1	9	6	40	0	1	2	0	0	1	1	0	9999	1			
17010055	攻击令	gongjiling0.png	攻击令	1	9	7	40	0	1	2	0	0	1	1	0	9999	1			
17010056	摇钱树次数	xuantie01.png	摇钱树次数	1	9	16	40	0	1	2	0	0	1	1	0	9999	1			
17010057	魂币	jianghunbi0.png	魂币	1	9	17	40	0	1	2	0	0	1	1	0	9999	1			
17010058	绿水晶	gbs999.png	装备升级的材料	1	9	18	1	0	1	2	0	0	1	1	0	9999	1		分解装备获得	31
17010059	蓝水晶	bbs999.png	装备升级的材料	1	9	19	2	0	1	2	0	0	1	1	0	9999	1		分解装备获得	31
17010060	紫水晶	rbs999.png	装备升级的材料	1	9	20	4	0	1	2	0	0	1	1	0	9999	1		分解装备获得	31
17010061	三品精钢	jinggang00.png	装备突破材料，挑战—虎牢关可获得	1	6	0	40	0	1	2	100	0	1	0	0	9999	1		挑战获得	23
17010062	二品精钢	jinggang01.png	装备突破材料，挑战—洛阳可获得	1	6	0	1	0	1	2	200	0	1	0	0	9999	1		挑战获得	23
17010063	一品精钢	jinggang02.png	装备突破材料，挑战—下邳可获得	1	6	0	2	0	1	2	300	0	1	0	0	9999	1		挑战获得	23
17010064	五品寒铁	hantie00.png	装备突破材料，挑战—官渡可获得	1	6	0	40	0	1	2	100	0	1	0	0	9999	1		挑战获得	23
17010065	四品寒铁	hantie01.png	装备突破材料，挑战—当阳桥可获得	1	6	0	1	0	1	2	200	0	1	0	0	9999	1		挑战获得	23
17010066	三品寒铁	hantie02.png	装备突破材料，挑战—长坂坡可获得	1	6	0	2	0	1	2	300	0	1	0	0	9999	1		挑战获得	23
17010067	二品寒铁	hantie03.png	装备突破材料，挑战—赤壁可获得	1	6	0	4	0	1	2	400	0	1	0	0	9999	1		挑战获得	23
17010068	一品寒铁	hantie04.png	装备突破材料，挑战—华容道可获得	1	6	0	6	0	1	2	500	0	1	0	0	9999	1		挑战获得	23
17010069	五品氪金	kejin00.png	装备突破材料，挑战—落凤坡可获得	1	6	0	40	0	1	2	100	0	1	0	0	9999	1		挑战获得	23
17010070	四品氪金	kejin01.png	装备突破材料，挑战—汉可获得	1	6	0	1	0	1	2	200	0	1	0	0	9999	1		挑战获得	23
17010071	三品氪金	kejin02.png	装备突破材料，挑战—天水可获得	1	6	0	2	0	1	2	300	0	1	0	0	9999	1		挑战获得	23
17010072	二品氪金	kejin03.png	装备突破材料，挑战—麦城可获得	1	6	0	4	0	1	2	400	0	1	0	0	9999	1		挑战获得	23
17010073	一品氪金	kejin04.png	装备突破材料，挑战—五丈原可获得	1	6	0	6	0	1	2	500	0	1	0	0	9999	1		挑战获得	23
17010074	特级原石	xuantie03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010403;18010801;18011106;18011401;18011505		
17010075	特级冰晶	fangjieshi03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010405;18010802;18011203;18011402;18011406		
17010076	特级丝绸	sichou03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010406;18010706;18011205;18011206;18011507		
17010077	特级冥草	wusehua03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010407;18010707;18011107;18011207;18011506		
17010078	特级朱砂	miyinfen03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010501;18010807;18011201;18011303;18011405		
17010079	特级兽角	guaishoujiao03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010502;18010803;18011202;18011301;18011407		
17010080	特级眼珀	kongshi03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010503;18010901;18011101;18011302;18011503		
17010081	特级翎羽	lingyu03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010505;18010902;18011102;18011305;18011403		
17010082	特级运符	cuiyu03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010506;18010805;18011103;18011306;18011501		
17010083	特级勾玉	yajian03.png	武将转生材料	1	6	0	4	0	1	2	500	0	1	0	0	9999	1	18010507;18010806;18011105;18011307;18011502		
17010084	威望	wwtbiao0.png	威望	1	9	8	40	0	1	2	0	0	1	1	0	9999	1			
