#武将ID	名称	头像	兵种	星级	初始等级	品质	分类（其中type=1为近战，type=2为远程，type=3为谋士）	转换成将魂对应的将魂ID	武将模型（无用）	生命	物理攻击	物理防御	法术攻击	法术防御	技能ID	初始怒气	武将怒气上限	武将怒气增长方式（1=攻击增加怒气，2=被攻击增加怒气，3=攻击和被攻击都增加怒气）	每次怒气增加点数	待机动画文件	攻击动画(没有用)	被攻击动画	普通攻击	技能攻击
id	name	icon	race	star	level	color	type	soulid	model	hp	phyatk	phydef	mgcatk	mgcdef	skillid	initanger	angerpiont	angerincrease	angeraddnum	idleanimation	attackanimation	attackedanimation	commonattack	skillattack
12000022	太史慈	imghead035s.png	2	4	1	1	1	17020022	0	0.91	1.15	1	0	1	14010022	0	2	1	1	liubei01_;9	0	liubei01ss_;9	29020008	29011022
12000023	袁绍	imghead118s.png	6	4	1	1	2	17020023	0	0.97	1	1.09	0	1	14010023	4	5	1	1	sunjian01_;9	0	sunjian01ss_;9	29020014	29011023
12000024	张角	imghead017s.png	8	4	1	1	3	17020024	0	0.97	0	1.03	1.09	0.97	14010024	1	1	3	1	wanglang01_;9	0	wanglang01ss_;9	29020012	29011024
12000025	庞统	imghead005s.png	9	4	1	1	3	17020025	0	1.09	0	0.94	1.06	0.97	14010025	0	3	1	1	niulang01_;9	0	niulang01ss_;9	29020011	29011025
12000026	张辽	imghead038s.png	6	4	1	1	2	17020026	0	1.03	1.12	1.06	0	0.85	14010026	3	3	1	1	sunce01_;9	0	sunce01ss_;9	29020013	29011026
12000027	甘宁	imghead060s.png	6	4	1	1	2	17020027	0	1	1.06	1	0	1	14010027	0	3	3	1	sunjian01_;9	0	sunjian01ss_;9	29020014	29011027
12000028	陆逊	imghead505s.png	7	4	1	1	3	17020028	0	1	0	1	1.12	0.94	14010028	1	1	3	1	bimou01_;11	0	bimou01ss_;11	29020023	29011028
12000029	颜良	imghead124s.png	1	4	1	1	1	17020029	0	1.03	1.03	0.94	0	1.06	14010029	2	4	2	1	chuibu01_;11	0	chuibu01ss_;11	29020024	29011029
12000030	文丑	imghead132s.png	2	4	1	1	1	17020030	0	1.03	0.97	0.97	0	1.09	14010030	2	5	3	1	xuchu01_;9	0	xuchu01ss_;9	29020017	29011030
12000031	庞德	imghead114s.png	3	4	1	1	1	17020031	0	1	1.06	0.94	0	1.06	14010031	2	4	2	1	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
12000032	辛宪英	imghead515s.png	10	4	1	1	3	17020032	0	1.06	0	1.06	0.85	1.09	14010032	2	5	3	1	xiaoqiao01_;9	0	xiaoqiao01ss_;9	29020016	29011032
12000033	蔡文姬	imghead512s.png	7	4	1	1	3	17020033	0	0.91	0	1.06	1.12	0.97	14010033	0	1	1	1	daqiao01_;13	0	daqiao01ss_;9	29020002	29010008
12000034	徐庶	imghead029s.png	7	4	1	1	3	17020034	0	1	0	1.03	1	1.03	14010034	2	3	1	1	bimou01_;11	0	bimou01ss_;11	29020023	29011034
12000035	许褚	imghead012s.png	1	4	1	1	1	17020035	0	1	0.91	1.03	0	1.12	14010035	1	4	3	1	xuchu01_;9	0	xuchu01ss_;9	29020017	29011015
12000036	张郃	imghead066s.png	3	4	1	1	1	17020036	0	0.97	0.94	1.12	0	1.03	14010036	3	4	1	1	daoqi01_;9	0	daoqi01ss_;9	29020025	29011036
12000037	夏侯渊	imghead071s.png	5	4	1	1	2	17020037	0	1.06	1.09	0.94	0	0.97	14010037	2	5	3	1	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011037
12000038	祝融	imghead516s.png	8	4	1	1	3	17020038	0	0.91	0	1	1.09	1.06	14010038	3	3	1	1	diaocan01_;9	0	diaocan01ss_;9	29020016	29011038
12000039	贾诩	imghead051s.png	7	4	1	1	3	17020039	0	1.03	0	1	1.03	1	14010039	1	3	3	1	guojia01_;9	0	guojia01ss_;9	29020006	29011039
12000040	周泰	imghead055s.png	3	4	1	1	1	17020040	0	1.12	0.88	1	0	1.06	14010040	2	2	3	1	daoqi01_;9	0	daoqi01ss_;9	29020025	29011040
12000041	典韦	imghead015s.png	1	4	1	1	1	17020041	0	1.06	0.97	1.09	0	0.94	14010041	4	5	1	1	dianwei01_;9	0	dianwei01ss_;9	29020003	29010009
12000042	孟获	imghead142s.png	6	3	1	1	2	17020042	0	1.09	1	1.03	0	0.94	14010042	0	2	1	1	sunce01_;9	0	sunce01ss_;9	29020013	29011042
12000043	法正	imghead143s.png	8	3	1	1	3	17020043	0	1.03	0	1.03	1.09	0.91	14010043	2	2	1	1	guojia01_;9	0	guojia01ss_;9	29020006	29011043
12000044	荀彧	imghead144s.png	8	3	1	1	3	17020044	0	0.97	0	1.06	1.06	0.97	14010044	0	2	1	1	bimou01_;11	0	bimou01ss_;11	29020023	29011044
12000045	张昭	imghead136s.png	7	3	1	1	3	17020045	0	1	0	0.91	1.12	1.03	14010045	3	3	1	1	wanglang01_;9	0	wanglang01ss_;9	29020012	29011045
12000046	文鸯	imghead138s.png	3	3	1	1	1	17020046	0	1.06	0.94	1.06	0	1	14010046	2	3	2	1	fuqi01_;11	0	fuqi01ss_;11	29020026	29011046
12000047	马岱	imghead141s.png	3	3	1	1	1	17020047	0	1.09	1	0.94	0	1.03	14010047	1	2	1	1	daoqi01_;9	0	daoqi01ss_;9	29020025	29011047
12000048	潘凤	imghead104s.png	5	3	1	1	2	17020048	0	1	1.03	1	0	1.03	14010048	2	3	1	1	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011048
12000049	曹仁	imghead509s.png	3	3	1	1	1	17020049	0	1.03	0.91	1.03	0	1.09	14010049	1	2	2	1	chuibu01_;11	0	chuibu01ss_;11	29020024	29011049
12000050	魔·关羽	imghead517s.png	3	5	1	1	1	17020001	0	0.8	1.25	0.9	0	0.9	14010050	1	3	1	1	moguanyu01_;9	0	moguanyu01ss_;10	29020027	29011050
