#战功数	宝箱组(; 分割)	品级
Exploits	Reweards	grade
393	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	40
396	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	40
400	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	40
403	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	41
406	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	41
410	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	41
413	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	42
416	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	42
420	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	42
423	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	43
426	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	43
430	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	43
433	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	44
436	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	44
440	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	44
443	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	45
446	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	45
450	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	45
453	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	46
456	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	46
460	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	46
463	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	47
466	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	47
470	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	47
473	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	48
476	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	48
480	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	48
483	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	49
486	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	49
490	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	49
493	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	50
496	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	50
500	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	50
503	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	51
506	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	51
510	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	51
513	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	52
516	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	52
520	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	52
523	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	53
526	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	53
530	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	53
533	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	54
536	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	54
540	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	54
543	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	55
546	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	55
550	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	55
553	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	56
556	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	56
560	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	56
563	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	57
566	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	57
570	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	57
573	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	58
576	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	58
580	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	58
583	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	59
586	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	59
590	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	59
593	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	60
596	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	60
600	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	60
603	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	61
606	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	61
610	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	61
613	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	62
616	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	62
620	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	62
623	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	63
626	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	63
630	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	63
633	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	64
636	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	64
640	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	64
643	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	65
646	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	65
650	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	65
653	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	66
656	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	66
660	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	66
663	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	67
666	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	67
670	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	67
673	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	68
676	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	68
680	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	68
683	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	69
686	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	69
690	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	69
693	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	70
696	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	70
700	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	70
703	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	71
706	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	71
710	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	71
713	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	72
716	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	72
720	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	72
723	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	73
726	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	73
730	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	73
733	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	74
736	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	74
740	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	74
743	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	75
746	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	75
750	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	75
753	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	76
756	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	76
760	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	76
763	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	77
766	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	77
770	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	77
773	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	78
776	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	78
780	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	78
783	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	79
786	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	79
790	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	79
793	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	80
796	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	80
800	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	80
803	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	81
806	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	81
810	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	81
813	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	82
816	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	82
820	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	82
823	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	83
826	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	83
830	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	83
833	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	84
836	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	84
840	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	84
843	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	85
846	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	85
850	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	85
853	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	86
856	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	86
860	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	86
863	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	87
866	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	87
870	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	87
873	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	88
876	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	88
880	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	88
883	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	89
886	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	89
890	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	89
893	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	90
896	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	90
900	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	90
903	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	91
906	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	91
910	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	91
913	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	92
916	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	92
920	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	92
923	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	93
926	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	93
930	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	93
933	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	94
936	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	94
940	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	94
943	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	95
946	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	95
950	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	95
953	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	96
956	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	96
960	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	96
963	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	97
966	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	97
970	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	97
973	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	98
976	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	98
980	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	98
983	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	99
986	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	99
990	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	99
993	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	100
996	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	100
1000	22060001;22060005;22060010;22060002;22060011;22060003;22060012;22060008;22060004	100
