#等级	武将类型	星级	生命	物理攻击	物理防御	法术攻击	法术防御
level	type	star	hp	phyatk	pyhdef	mgcatk	mgcdef
73	2	3	14034	2662	266	0	133
74	2	3	14492	2730	273	0	137
75	2	3	14950	2799	280	0	140
76	2	3	15408	2867	287	0	143
77	2	3	15866	2935	294	0	147
78	2	3	16324	3004	300	0	150
79	2	3	16782	3072	307	0	154
80	2	3	17240	3140	314	0	157
1	3	3	1586	0	13	588	41
2	3	3	1647	0	13	602	42
3	3	3	1709	0	13	615	43
4	3	3	1770	0	13	629	44
5	3	3	1832	0	14	643	45
6	3	3	1893	0	14	657	46
7	3	3	1955	0	14	670	47
8	3	3	2017	0	14	684	48
9	3	3	2078	0	14	698	49
10	3	3	2140	0	15	712	50
11	3	3	2223	0	15	730	51
12	3	3	2306	0	15	748	52
13	3	3	2389	0	16	767	54
14	3	3	2472	0	16	785	55
15	3	3	2555	0	16	804	56
16	3	3	2638	0	16	822	58
17	3	3	2721	0	17	840	59
18	3	3	2804	0	17	859	60
19	3	3	2887	0	17	877	61
20	3	3	2970	0	18	896	63
21	3	3	3101	0	27	914	64
22	3	3	3231	0	36	933	65
23	3	3	3361	0	46	952	67
24	3	3	3491	0	55	971	68
25	3	3	3621	0	64	990	69
26	3	3	3752	0	74	1009	71
27	3	3	3882	0	83	1028	72
28	3	3	4012	0	92	1047	73
29	3	3	4142	0	101	1066	75
30	3	3	4272	0	111	1085	76
31	3	3	4401	0	112	1108	78
32	3	3	4530	0	113	1130	79
33	3	3	4659	0	115	1152	81
34	3	3	4788	0	116	1175	82
35	3	3	4917	0	117	1197	84
36	3	3	5046	0	119	1220	85
37	3	3	5174	0	120	1242	87
38	3	3	5303	0	121	1265	89
39	3	3	5432	0	122	1287	90
40	3	3	5561	0	124	1309	92
41	3	3	5711	0	125	1333	93
42	3	3	5860	0	126	1357	95
43	3	3	6010	0	128	1381	97
44	3	3	6160	0	129	1405	98
45	3	3	6309	0	130	1429	100
46	3	3	6459	0	131	1453	102
47	3	3	6609	0	133	1477	103
48	3	3	6758	0	134	1501	105
49	3	3	6908	0	135	1525	107
50	3	3	7058	0	136	1549	108
51	3	3	7291	0	139	1587	111
52	3	3	7525	0	141	1625	114
53	3	3	7759	0	143	1663	116
54	3	3	7993	0	146	1701	119
55	3	3	8226	0	148	1740	122
56	3	3	8460	0	150	1778	124
57	3	3	8694	0	152	1816	127
58	3	3	8928	0	155	1854	130
59	3	3	9162	0	157	1892	132
60	3	3	9395	0	159	1930	135
61	3	3	9676	0	162	1973	138
62	3	3	9957	0	164	2016	141
63	3	3	10237	0	167	2058	144
64	3	3	10518	0	169	2101	147
65	3	3	10799	0	171	2144	150
66	3	3	11079	0	174	2186	153
67	3	3	11360	0	176	2229	156
68	3	3	11640	0	179	2272	159
69	3	3	11921	0	181	2314	162
70	3	3	12202	0	183	2357	165
71	3	3	12644	0	187	2424	170
72	3	3	13087	0	191	2492	174
73	3	3	13530	0	195	2559	179
74	3	3	13972	0	199	2626	184
75	3	3	14415	0	203	2694	189
76	3	3	14857	0	207	2761	193
77	3	3	15300	0	211	2828	198
78	3	3	15743	0	215	2896	203
79	3	3	16185	0	219	2963	207
80	3	3	16628	0	223	3030	212
1	1	4	2826	526	95	0	19
2	1	4	2922	539	97	0	20
3	1	4	3018	551	99	0	21
4	1	4	3114	563	101	0	23
5	1	4	3209	575	104	0	24
6	1	4	3305	588	106	0	25
7	1	4	3401	600	108	0	26
8	1	4	3497	612	110	0	27
9	1	4	3592	624	112	0	28
10	1	4	3688	637	115	0	29
11	1	4	3818	653	118	0	30
12	1	4	3947	669	120	0	32
13	1	4	4076	686	123	0	33
14	1	4	4205	702	126	0	34
15	1	4	4335	719	129	0	36
16	1	4	4464	735	132	0	37
17	1	4	4593	751	135	0	38
18	1	4	4723	768	138	0	39
19	1	4	4852	784	141	0	41
20	1	4	4981	801	144	0	42
21	1	4	5236	818	147	0	43
22	1	4	5492	836	150	0	44
23	1	4	5747	853	154	0	45
24	1	4	6002	871	157	0	46
25	1	4	6257	888	160	0	48
26	1	4	6512	906	163	0	49
27	1	4	6767	923	166	0	50
28	1	4	7022	941	169	0	51
29	1	4	7278	958	172	0	52
30	1	4	7533	976	176	0	53
31	1	4	7736	996	179	0	55
32	1	4	7940	1016	183	0	56
33	1	4	8144	1036	186	0	58
34	1	4	8348	1056	190	0	60
35	1	4	8552	1076	194	0	61
36	1	4	8756	1096	197	0	63
37	1	4	8960	1116	201	0	64
38	1	4	9163	1136	205	0	66
39	1	4	9367	1156	208	0	68
40	1	4	9571	1176	212	0	69
41	1	4	9804	1198	216	0	71
42	1	4	10036	1219	219	0	73
43	1	4	10268	1241	223	0	75
44	1	4	10501	1262	227	0	76
45	1	4	10733	1283	231	0	78
46	1	4	10966	1305	235	0	80
47	1	4	11198	1326	239	0	82
48	1	4	11430	1348	243	0	84
49	1	4	11663	1369	246	0	85
50	1	4	11895	1390	250	0	87
51	1	4	12260	1424	256	0	90
52	1	4	12626	1459	263	0	93
53	1	4	12991	1493	269	0	95
54	1	4	13356	1527	275	0	98
55	1	4	13722	1561	281	0	101
56	1	4	14087	1595	287	0	104
57	1	4	14452	1629	293	0	106
58	1	4	14817	1664	299	0	109
59	1	4	15183	1698	306	0	112
60	1	4	15548	1732	312	0	115
61	1	4	15980	1770	319	0	118
62	1	4	16412	1808	325	0	121
63	1	4	16844	1846	332	0	124
64	1	4	17276	1884	339	0	127
65	1	4	17708	1923	346	0	130
66	1	4	18140	1961	353	0	133
67	1	4	18572	1999	360	0	137
68	1	4	19004	2037	367	0	140
69	1	4	19436	2075	374	0	143
70	1	4	19869	2113	380	0	146
71	1	4	20551	2174	391	0	151
72	1	4	21233	2234	402	0	156
73	1	4	21915	2294	413	0	161
74	1	4	22597	2354	424	0	166
75	1	4	23279	2415	435	0	170
76	1	4	23961	2475	445	0	175
77	1	4	24643	2535	456	0	180
78	1	4	25325	2595	467	0	185
79	1	4	26007	2656	478	0	190
80	1	4	26689	2716	489	0	195
1	2	4	1841	660	66	0	33
2	2	4	1912	675	67	0	34
3	2	4	1983	689	69	0	34
4	2	4	2053	704	70	0	35
5	2	4	2124	719	72	0	36
6	2	4	2195	733	73	0	37
7	2	4	2265	748	75	0	37
8	2	4	2336	763	76	0	38
9	2	4	2406	777	78	0	39
10	2	4	2477	792	79	0	40
11	2	4	2572	812	81	0	41
12	2	4	2668	832	83	0	42
13	2	4	2763	851	85	0	43
14	2	4	2858	871	87	0	44
15	2	4	2954	891	89	0	45
16	2	4	3049	911	91	0	46
17	2	4	3144	931	93	0	47
18	2	4	3240	950	95	0	48
19	2	4	3335	970	97	0	49
20	2	4	3430	990	99	0	50
21	2	4	3577	1020	102	0	51
22	2	4	3723	1049	105	0	52
23	2	4	3869	1079	108	0	54
24	2	4	4016	1109	111	0	55
25	2	4	4162	1139	114	0	57
26	2	4	4308	1168	117	0	58
27	2	4	4455	1198	120	0	60
28	2	4	4601	1228	123	0	61
29	2	4	4747	1257	126	0	63
30	2	4	4894	1287	129	0	64
31	2	4	5041	1312	131	0	66
32	2	4	5188	1337	134	0	67
33	2	4	5335	1362	136	0	68
34	2	4	5482	1387	139	0	69
35	2	4	5628	1412	141	0	71
36	2	4	5775	1437	144	0	72
37	2	4	5922	1462	146	0	73
38	2	4	6069	1487	149	0	74
39	2	4	6216	1512	151	0	76
40	2	4	6363	1537	154	0	77
41	2	4	6534	1563	156	0	78
42	2	4	6704	1590	159	0	79
43	2	4	6874	1616	162	0	81
44	2	4	7045	1643	164	0	82
45	2	4	7215	1669	167	0	83
46	2	4	7386	1696	170	0	85
47	2	4	7556	1722	172	0	86
48	2	4	7727	1749	175	0	87
49	2	4	7897	1775	178	0	89
50	2	4	8068	1802	180	0	90
51	2	4	8334	1844	184	0	92
52	2	4	8600	1887	189	0	94
53	2	4	8867	1930	193	0	96
54	2	4	9133	1973	197	0	99
55	2	4	9399	2015	202	0	101
56	2	4	9665	2058	206	0	103
57	2	4	9932	2101	210	0	105
58	2	4	10198	2143	214	0	107
59	2	4	10464	2186	219	0	109
60	2	4	10731	2229	223	0	111
61	2	4	11050	2276	228	0	114
62	2	4	11370	2323	232	0	116
63	2	4	11689	2371	237	0	119
64	2	4	12009	2418	242	0	121
65	2	4	12328	2466	247	0	123
66	2	4	12648	2513	251	0	126
67	2	4	12967	2560	256	0	128
68	2	4	13287	2608	261	0	130
69	2	4	13606	2655	266	0	133
70	2	4	13926	2703	270	0	135
71	2	4	14430	2778	278	0	139
72	2	4	14933	2853	285	0	143
73	2	4	15437	2928	293	0	146
74	2	4	15941	3003	300	0	150
75	2	4	16445	3079	308	0	154
76	2	4	16949	3154	315	0	158
77	2	4	17453	3229	323	0	161
78	2	4	17957	3304	330	0	165
79	2	4	18461	3379	338	0	169
80	2	4	18964	3454	345	0	173
1	3	4	1744	0	14	647	45
2	3	4	1812	0	14	662	46
3	3	4	1880	0	14	677	47
4	3	4	1947	0	15	692	48
5	3	4	2015	0	15	707	50
6	3	4	2083	0	15	722	51
7	3	4	2151	0	15	737	52
8	3	4	2218	0	16	752	53
9	3	4	2286	0	16	768	54
10	3	4	2354	0	16	783	55
11	3	4	2445	0	16	803	56
12	3	4	2536	0	17	823	58
13	3	4	2628	0	17	843	59
14	3	4	2719	0	17	864	60
15	3	4	2810	0	18	884	62
16	3	4	2902	0	18	904	63
17	3	4	2993	0	18	924	65
18	3	4	3085	0	19	945	66
19	3	4	3176	0	19	965	68
20	3	4	3267	0	19	985	69
21	3	4	3411	0	30	1006	70
22	3	4	3554	0	40	1027	72
23	3	4	3697	0	50	1048	73
24	3	4	3840	0	60	1069	75
25	3	4	3983	0	71	1089	76
26	3	4	4127	0	81	1110	78
27	3	4	4270	0	91	1131	79
28	3	4	4413	0	101	1152	81
29	3	4	4556	0	112	1173	82
30	3	4	4700	0	122	1194	84
31	3	4	4841	0	123	1218	85
32	3	4	4983	0	125	1243	87
33	3	4	5125	0	126	1268	89
34	3	4	5267	0	128	1292	90
35	3	4	5408	0	129	1317	92
36	3	4	5550	0	130	1342	94
37	3	4	5692	0	132	1366	96
38	3	4	5834	0	133	1391	97
39	3	4	5975	0	135	1416	99
40	3	4	6117	0	136	1440	101
41	3	4	6282	0	137	1467	103
42	3	4	6446	0	139	1493	105
43	3	4	6611	0	140	1519	106
44	3	4	6776	0	142	1546	108
45	3	4	6940	0	143	1572	110
46	3	4	7105	0	144	1598	112
47	3	4	7269	0	146	1625	114
48	3	4	7434	0	147	1651	116
49	3	4	7599	0	149	1677	117
50	3	4	7763	0	150	1704	119
51	3	4	8020	0	153	1746	122
52	3	4	8278	0	155	1788	125
53	3	4	8535	0	158	1830	128
54	3	4	8792	0	160	1872	131
55	3	4	9049	0	163	1914	134
56	3	4	9306	0	165	1956	137
57	3	4	9563	0	168	1997	140
58	3	4	9821	0	170	2039	143
59	3	4	10078	0	173	2081	146
60	3	4	10335	0	175	2123	149
61	3	4	10644	0	178	2170	152
62	3	4	10952	0	181	2217	155
63	3	4	11261	0	183	2264	158
64	3	4	11570	0	186	2311	162
65	3	4	11878	0	189	2358	165
66	3	4	12187	0	191	2405	168
67	3	4	12496	0	194	2452	172
68	3	4	12804	0	196	2499	175
69	3	4	13113	0	199	2546	178
70	3	4	13422	0	202	2593	181
71	3	4	13909	0	206	2667	187
72	3	4	14396	0	210	2741	192
73	3	4	14883	0	215	2815	197
74	3	4	15369	0	219	2889	202
75	3	4	15856	0	224	2963	207
76	3	4	16343	0	228	3037	213
77	3	4	16830	0	232	3111	218
78	3	4	17317	0	237	3185	223
79	3	4	17804	0	241	3259	228
80	3	4	18291	0	245	3333	233
1	1	5	3109	579	104	0	21
2	1	5	3214	592	107	0	22
3	1	5	3320	606	109	0	24
4	1	5	3425	619	111	0	25
5	1	5	3530	633	114	0	26
6	1	5	3636	646	116	0	27
7	1	5	3741	660	119	0	28
8	1	5	3846	673	121	0	30
9	1	5	3952	687	124	0	31
10	1	5	4057	700	126	0	32
11	1	5	4199	718	129	0	33
12	1	5	4342	736	133	0	35
13	1	5	4484	754	136	0	36
14	1	5	4626	772	139	0	38
15	1	5	4768	790	142	0	39
16	1	5	4910	809	146	0	41
17	1	5	5053	827	149	0	42
18	1	5	5195	845	152	0	43
19	1	5	5337	863	155	0	45
20	1	5	5479	881	159	0	46
21	1	5	5760	900	162	0	48
22	1	5	6041	919	165	0	49
23	1	5	6321	938	169	0	50
24	1	5	6602	958	172	0	51
25	1	5	6883	977	176	0	52
26	1	5	7163	996	179	0	54
27	1	5	7444	1016	183	0	55
28	1	5	7725	1035	186	0	56
29	1	5	8005	1054	190	0	57
30	1	5	8286	1073	193	0	58
31	1	5	8510	1095	197	0	60
32	1	5	8734	1117	201	0	62
33	1	5	8959	1139	205	0	64
34	1	5	9183	1162	209	0	65
35	1	5	9407	1184	213	0	67
36	1	5	9631	1206	217	0	69
37	1	5	9856	1228	221	0	71
38	1	5	10080	1250	225	0	73
39	1	5	10304	1272	229	0	74
40	1	5	10528	1294	233	0	76
41	1	5	10784	1318	237	0	78
42	1	5	11040	1341	241	0	80
43	1	5	11295	1365	246	0	82
44	1	5	11551	1388	250	0	84
45	1	5	11806	1412	254	0	86
46	1	5	12062	1435	258	0	88
47	1	5	12318	1459	263	0	90
48	1	5	12573	1482	267	0	92
49	1	5	12829	1506	271	0	94
50	1	5	13085	1529	275	0	96
51	1	5	13486	1567	282	0	99
52	1	5	13888	1604	289	0	102
53	1	5	14290	1642	296	0	105
54	1	5	14692	1680	302	0	108
55	1	5	15094	1717	309	0	111
56	1	5	15496	1755	316	0	114
57	1	5	15897	1792	323	0	117
58	1	5	16299	1830	329	0	120
59	1	5	16701	1867	336	0	123
60	1	5	17103	1905	343	0	126
61	1	5	17578	1947	350	0	129
62	1	5	18053	1989	358	0	133
63	1	5	18529	2031	366	0	136
64	1	5	19004	2073	373	0	140
65	1	5	19479	2115	381	0	143
66	1	5	19954	2157	388	0	147
67	1	5	20430	2199	396	0	150
68	1	5	20905	2241	403	0	154
69	1	5	21380	2283	411	0	157
70	1	5	21855	2325	418	0	161
71	1	5	22606	2391	430	0	166
72	1	5	23356	2457	442	0	171
73	1	5	24106	2524	454	0	177
74	1	5	24856	2590	466	0	182
75	1	5	25607	2656	478	0	188
76	1	5	26357	2722	490	0	193
77	1	5	27107	2789	502	0	198
78	1	5	27858	2855	514	0	204
79	1	5	28608	2921	526	0	209
80	1	5	29358	2988	538	0	214
1	2	5	2026	726	73	0	36
2	2	5	2103	742	74	0	37
3	2	5	2181	758	76	0	38
4	2	5	2259	774	77	0	39
5	2	5	2336	791	79	0	40
6	2	5	2414	807	81	0	40
7	2	5	2492	823	82	0	41
8	2	5	2569	839	84	0	42
9	2	5	2647	855	86	0	43
10	2	5	2725	871	87	0	44
11	2	5	2830	893	89	0	45
12	2	5	2934	915	91	0	46
13	2	5	3039	937	94	0	47
14	2	5	3144	958	96	0	48
15	2	5	3249	980	98	0	49
16	2	5	3354	1002	100	0	50
17	2	5	3459	1024	102	0	51
18	2	5	3564	1045	105	0	52
19	2	5	3669	1067	107	0	53
20	2	5	3773	1089	109	0	54
21	2	5	3934	1122	112	0	56
22	2	5	4095	1154	115	0	58
23	2	5	4256	1187	119	0	59
24	2	5	4417	1220	122	0	61
25	2	5	4578	1252	125	0	63
26	2	5	4739	1285	129	0	64
27	2	5	4900	1318	132	0	66
28	2	5	5061	1350	135	0	68
29	2	5	5222	1383	138	0	69
30	2	5	5383	1416	142	0	71
31	2	5	5545	1443	144	0	72
32	2	5	5706	1471	147	0	74
33	2	5	5868	1498	150	0	75
34	2	5	6030	1526	153	0	76
35	2	5	6191	1553	155	0	78
36	2	5	6353	1581	158	0	79
37	2	5	6515	1608	161	0	80
38	2	5	6676	1636	164	0	82
39	2	5	6838	1663	166	0	83
40	2	5	6999	1691	169	0	85
41	2	5	7187	1720	172	0	86
42	2	5	7374	1749	175	0	87
43	2	5	7562	1778	178	0	89
44	2	5	7749	1807	181	0	90
45	2	5	7937	1836	184	0	92
46	2	5	8124	1865	187	0	93
47	2	5	8312	1895	189	0	95
48	2	5	8499	1924	192	0	96
49	2	5	8687	1953	195	0	98
50	2	5	8874	1982	198	0	99
51	2	5	9167	2029	203	0	101
52	2	5	9460	2076	208	0	104
53	2	5	9753	2123	212	0	106
54	2	5	10046	2170	217	0	108
55	2	5	10339	2217	222	0	111
56	2	5	10632	2264	226	0	113
57	2	5	10925	2311	231	0	116
58	2	5	11218	2358	236	0	118
59	2	5	11511	2405	240	0	120
60	2	5	11804	2451	245	0	123
61	2	5	12155	2504	250	0	125
62	2	5	12507	2556	256	0	128
63	2	5	12858	2608	261	0	130
64	2	5	13210	2660	266	0	133
65	2	5	13561	2712	271	0	136
66	2	5	13912	2764	276	0	138
67	2	5	14264	2817	282	0	141
68	2	5	14615	2869	287	0	143
69	2	5	14967	2921	292	0	146
70	2	5	15318	2973	297	0	149
71	2	5	15872	3056	306	0	153
72	2	5	16427	3138	314	0	157
73	2	5	16981	3221	322	0	161
74	2	5	17535	3304	330	0	165
75	2	5	18090	3386	339	0	169
76	2	5	18644	3469	347	0	173
77	2	5	19198	3552	355	0	178
78	2	5	19752	3634	363	0	182
79	2	5	20307	3717	372	0	186
80	2	5	20861	3800	380	0	190
1	3	5	1919	0	15	711	50
2	3	5	1993	0	16	728	51
3	3	5	2068	0	16	745	52
4	3	5	2142	0	16	761	53
5	3	5	2217	0	16	778	54
6	3	5	2291	0	17	795	56
7	3	5	2366	0	17	811	57
8	3	5	2440	0	17	828	58
9	3	5	2514	0	17	844	59
10	3	5	2589	0	18	861	60
11	3	5	2689	0	18	883	62
12	3	5	2790	0	18	905	63
13	3	5	2890	0	19	928	65
14	3	5	2991	0	19	950	67
15	3	5	3092	0	20	972	68
16	3	5	3192	0	20	995	70
17	3	5	3293	0	20	1017	71
18	3	5	3393	0	21	1039	73
19	3	5	3494	0	21	1061	74
20	3	5	3594	0	21	1084	76
21	3	5	3752	0	33	1107	77
22	3	5	3909	0	44	1129	79
23	3	5	4067	0	55	1152	81
24	3	5	4224	0	66	1175	82
25	3	5	4382	0	78	1198	84
26	3	5	4539	0	89	1221	85
27	3	5	4697	0	100	1244	87
28	3	5	4854	0	111	1267	89
29	3	5	5012	0	123	1290	90
30	3	5	5170	0	134	1313	92
31	3	5	5325	0	136	1340	94
32	3	5	5481	0	137	1367	96
33	3	5	5637	0	139	1394	98
34	3	5	5793	0	140	1422	100
35	3	5	5949	0	142	1449	101
36	3	5	6105	0	143	1476	103
37	3	5	6261	0	145	1503	105
38	3	5	6417	0	147	1530	107
39	3	5	6573	0	148	1557	109
40	3	5	6729	0	150	1584	111
41	3	5	6910	0	151	1613	113
42	3	5	7091	0	153	1642	115
43	3	5	7272	0	154	1671	117
44	3	5	7453	0	156	1700	119
45	3	5	7634	0	157	1729	121
46	3	5	7815	0	159	1758	123
47	3	5	7996	0	160	1787	125
48	3	5	8178	0	162	1816	127
49	3	5	8359	0	163	1845	129
50	3	5	8540	0	165	1874	131
51	3	5	8823	0	168	1920	134
52	3	5	9105	0	171	1966	138
53	3	5	9388	0	173	2013	141
54	3	5	9671	0	176	2059	144
55	3	5	9954	0	179	2105	147
56	3	5	10237	0	182	2151	151
57	3	5	10520	0	185	2197	154
58	3	5	10803	0	187	2243	157
59	3	5	11085	0	190	2290	160
60	3	5	11368	0	193	2336	164
61	3	5	11708	0	196	2387	167
62	3	5	12047	0	199	2439	171
63	3	5	12387	0	202	2491	174
64	3	5	12727	0	204	2542	178
65	3	5	13066	0	207	2594	182
66	3	5	13406	0	210	2645	185
67	3	5	13745	0	213	2697	189
68	3	5	14085	0	216	2749	192
69	3	5	14425	0	219	2800	196
70	3	5	14764	0	222	2852	200
71	3	5	15300	0	227	2933	205
72	3	5	15835	0	232	3015	211
73	3	5	16371	0	236	3096	217
74	3	5	16906	0	241	3178	222
75	3	5	17442	0	246	3259	228
76	3	5	17977	0	251	3341	234
77	3	5	18513	0	256	3422	240
78	3	5	19049	0	260	3504	245
79	3	5	19584	0	265	3585	251
80	3	5	20120	0	270	3667	257
