#任务ID																		
#任务名字																		
#描述																		
#类型，用于区分叫玩家做什么事情																		
#1. 通过【条件（关卡ID）】关卡(征战)																		
#2. 招募到【条件（武将ID）】武将																		
#3. 铜钱抽卡【条件】次																		
#4. 元宝抽卡【条件】次																		
#5. 主公升到【条件】级																		
#6. 培养武将【条件】次																		
#7. 转生【条件】次																		
#8. 在竞技场挑战【条件】次																		
#9. 资源争夺【条件】次																		
#10.进行猎魂副本【条件】次																		
#11.进行装备副本【条件】次																		
#12.条件经验房【条件】次																		
#13.进行闯关【条件】次																		
#14.进行【条件】次征收																		
#15.给武将吃经验书【条件】次																		
#16.进行【条件】次军团																		
#17.购买【条件】次军令																		
#18.购买【条件】次攻击令																		
#19.进行【条件】次游历																		
#20.与后宫交互【条件】次																		
#21.升级【条件】次科技																		
#22.进行试炼【条件】次																		
#23.进行挑战(将魂)【条件】次																		
#24.给后宫美女赠送【条件】次																		
#25.打风云争霸【条件】次																		
#26.打新版挑战【条件】次																		
#101.跳转到征战配置关卡																		
#102.跳转到试炼配置关卡																		
#103.跳转到配置中的章节																		
#104.跳转到打到的最高征战章节																		
#105.跳转到打到的最高试炼章节																		
#ID任务	任务名字	任务描述	任务描述（小于21级）	任务细分类型(有新类型加)	json(客户端增加)	任务次数等cnt	任务大类型(普通1，每日2)class	掉落组ID（小于21级）	掉落组ID（不能掉培养点）	最低可见等级	引导完成后开启（填大引导ID）	前置ID	内部附加参数	icon(客户端增加)	图片放大倍数	跳转时的跳转类型（不跳转填1）	跳转类型	跳转参数
taskID	name	description	description_special	type	json	cnt	class	dropID_special	dropID	displayLevel	pretutorial	preID	param	icon	icon_scale	jumptype	jumpclass	jumpparam
21060202	【通关征战2-2】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100202	22100202	1	0	21060201	18010202	imghead144s.png	0.77	0	101	18010202
21060203	【通关征战2-3】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100203	22100203	1	0	21060202	18010203	imghead144s.png	0.77	0	101	18010203
21060204	【通关征战2-4】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100204	22100204	1	0	21060203	18010204	imghead144s.png	0.77	0	101	18010204
21060205	【通关征战2-5】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100205	22100205	1	0	21060204	18010205	imghead144s.png	0.77	0	101	18010205
21060206	【通关征战2-6】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100206	22100206	1	0	21060205	18010206	imghead144s.png	0.77	0	101	18010206
21060207	【通关征战2-7】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100207	22100207	1	0	21060206	18010207	imghead144s.png	0.77	0	101	18010207
21060208	【通关征战2-8】	荀彧将魂，武将经验书	荀彧将魂，武将经验书	1		1	1	22100208	22100208	1	0	21060207	18010208	imghead144s.png	0.77	0	101	18010208
21060301	【通关征战3-1】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100301	22100301	1	0	21060208	18010301	imghead144s.png	0.77	0	101	18010301
21060302	【通关征战3-2】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100302	22100302	1	0	21060301	18010302	imghead144s.png	0.77	0	101	18010302
21060303	【通关征战3-3】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100303	22100303	1	0	21060302	18010303	imghead144s.png	0.77	0	101	18010303
21060304	【通关征战3-4】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100304	22100304	1	0	21060303	18010304	imghead144s.png	0.77	0	101	18010304
21060305	【通关征战3-5】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100305	22100305	1	0	21060304	18010305	imghead144s.png	0.77	0	101	18010305
21060306	【通关征战3-6】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100306	22100306	1	0	21060305	18010306	imghead144s.png	0.77	0	101	18010306
21060307	【通关征战3-7】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100307	22100307	1	0	21060306	18010307	imghead144s.png	0.77	0	101	18010307
21060308	【通关征战3-8】	荀彧将魂，铜钱	荀彧将魂，铜钱	1		1	1	22100308	22100308	1	0	21060307	18010308	imghead144s.png	0.77	0	101	18010308
21060401	【通关征战4-1】	荀彧将魂，主公经验，铜钱	荀彧将魂，主公经验，铜钱	1		1	1	22100401	22100401	1	0	21060308	18010401	imghead144s.png	0.77	0	101	18010401
21060402	【通关征战4-2】	荀彧将魂，主公经验，铜钱	荀彧将魂，主公经验，铜钱	1		1	1	22100402	22100402	1	0	21060401	18010402	imghead144s.png	0.77	0	101	18010402
21060403	【通关征战4-3】	荀彧将魂，主公经验，铜钱	荀彧将魂，主公经验，铜钱	1		1	1	22100403	22100403	1	0	21060402	18010403	imghead144s.png	0.77	0	101	18010403
21060404	【通关征战4-4】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100404	22100404	1	0	21060403	18010404	imghead136s.png	0.77	0	101	18010404
21060405	【通关征战4-5】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100405	22100405	1	0	21060404	18010405	imghead136s.png	0.77	0	101	18010405
21060406	【通关征战4-6】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100406	22100406	1	0	21060405	18010406	imghead136s.png	0.77	0	101	18010406
21060407	【通关征战4-7】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100407	22100407	1	0	21060406	18010407	imghead136s.png	0.77	0	101	18010407
21060408	【通关征战4-8】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100408	22100408	1	0	21060407	18010408	imghead136s.png	0.77	0	101	18010408
21060501	【通关征战5-1】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100501	22100501	1	0	21060408	18010501	imghead136s.png	0.77	0	101	18010501
21060502	【通关征战5-2】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100502	22100502	1	0	21060501	18010502	imghead136s.png	0.77	0	101	18010502
21060503	【通关征战5-3】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100503	22100503	1	0	21060502	18010503	imghead136s.png	0.77	0	101	18010503
21060504	【通关征战5-4】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100504	22100504	1	0	21060503	18010504	imghead136s.png	0.77	0	101	18010504
21060505	【通关征战5-5】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100505	22100505	1	0	21060504	18010505	imghead136s.png	0.77	0	101	18010505
21060506	【通关征战5-6】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100506	22100506	1	0	21060505	18010506	imghead136s.png	0.77	0	101	18010506
21060507	【通关征战5-7】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100507	22100507	1	0	21060506	18010507	imghead136s.png	0.77	0	101	18010507
21060508	【通关征战5-8】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100508	22100508	1	0	21060507	18010508	imghead136s.png	0.77	0	101	18010508
21060601	【通关征战6-1】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100601	22100601	1	0	21060508	18010601	imghead136s.png	0.77	0	101	18010601
21060602	【通关征战6-2】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100602	22100602	1	0	21060601	18010602	imghead136s.png	0.77	0	101	18010602
21060603	【通关征战6-3】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100603	22100603	1	0	21060602	18010603	imghead136s.png	0.77	0	101	18010603
21060604	【通关征战6-4】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100604	22100604	1	0	21060603	18010604	imghead136s.png	0.77	0	101	18010604
21060605	【通关征战6-5】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100605	22100605	1	0	21060604	18010605	imghead136s.png	0.77	0	101	18010605
21060606	【通关征战6-6】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100606	22100606	1	0	21060605	18010606	imghead136s.png	0.77	0	101	18010606
21060607	【通关征战6-7】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100607	22100607	1	0	21060606	18010607	imghead136s.png	0.77	0	101	18010607
21060608	【通关征战6-8】	张昭将魂，主公经验，铜钱	张昭将魂，主公经验，铜钱	1		1	1	22100608	22100608	1	0	21060607	18010608	imghead136s.png	0.77	0	101	18010608
21060701	【通关征战7-1】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100701	22100701	1	0	21060608	18010701	imghead143s.png	0.77	0	101	18010701
21060702	【通关征战7-2】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100702	22100702	1	0	21060701	18010702	imghead143s.png	0.77	0	101	18010702
21060703	【通关征战7-3】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100703	22100703	1	0	21060702	18010703	imghead143s.png	0.77	0	101	18010703
21060704	【通关征战7-4】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100704	22100704	1	0	21060703	18010704	imghead143s.png	0.77	0	101	18010704
21060705	【通关征战7-5】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100705	22100705	1	0	21060704	18010705	imghead143s.png	0.77	0	101	18010705
21060706	【通关征战7-6】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100706	22100706	1	0	21060705	18010706	imghead143s.png	0.77	0	101	18010706
21060707	【通关征战7-7】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100707	22100707	1	0	21060706	18010707	imghead143s.png	0.77	0	101	18010707
21060708	【通关征战7-8】	法正将魂，主公经验，铜钱	法正将魂，主公经验，铜钱	1		1	1	22100708	22100708	1	0	21060707	18010708	imghead143s.png	0.77	0	101	18010708
21060801	【通关征战8-1】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100801	22100801	1	0	21060708	18010801	imghead138s.png	0.77	0	101	18010801
21060802	【通关征战8-2】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100802	22100802	1	0	21060801	18010802	imghead138s.png	0.77	0	101	18010802
21060803	【通关征战8-3】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100803	22100803	1	0	21060802	18010803	imghead138s.png	0.77	0	101	18010803
21060804	【通关征战8-4】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100804	22100804	1	0	21060803	18010804	imghead138s.png	0.77	0	101	18010804
21060805	【通关征战8-5】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100805	22100805	1	0	21060804	18010805	imghead138s.png	0.77	0	101	18010805
21060806	【通关征战8-6】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100806	22100806	1	0	21060805	18010806	imghead138s.png	0.77	0	101	18010806
21060807	【通关征战8-7】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100807	22100807	1	0	21060806	18010807	imghead138s.png	0.77	0	101	18010807
21060808	【通关征战8-8】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100808	22100808	1	0	21060807	18010808	imghead138s.png	0.77	0	101	18010808
21060901	【通关征战9-1】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100901	22100901	1	0	21060808	18010901	imghead138s.png	0.77	0	101	18010901
21060902	【通关征战9-2】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100902	22100902	1	0	21060901	18010902	imghead138s.png	0.77	0	101	18010902
21060903	【通关征战9-3】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100903	22100903	1	0	21060902	18010903	imghead138s.png	0.77	0	101	18010903
21060904	【通关征战9-4】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100904	22100904	1	0	21060903	18010904	imghead138s.png	0.77	0	101	18010904
21060905	【通关征战9-5】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100905	22100905	1	0	21060904	18010905	imghead138s.png	0.77	0	101	18010905
21060906	【通关征战9-6】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100906	22100906	1	0	21060905	18010906	imghead138s.png	0.77	0	101	18010906
21060907	【通关征战9-7】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100907	22100907	1	0	21060906	18010907	imghead138s.png	0.77	0	101	18010907
21060908	【通关征战9-8】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22100908	22100908	1	0	21060907	18010908	imghead138s.png	0.77	0	101	18010908
21061001	【通关征战10-1】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101001	22101001	1	0	21060908	18011001	imghead138s.png	0.77	0	101	18011001
21061002	【通关征战10-2】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101002	22101002	1	0	21061001	18011002	imghead138s.png	0.77	0	101	18011002
21061003	【通关征战10-3】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101003	22101003	1	0	21061002	18011003	imghead138s.png	0.77	0	101	18011003
21061004	【通关征战10-4】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101004	22101004	1	0	21061003	18011004	imghead138s.png	0.77	0	101	18011004
21061005	【通关征战10-5】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101005	22101005	1	0	21061004	18011005	imghead138s.png	0.77	0	101	18011005
21061006	【通关征战10-6】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101006	22101006	1	0	21061005	18011006	imghead138s.png	0.77	0	101	18011006
21061007	【通关征战10-7】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101007	22101007	1	0	21061006	18011007	imghead138s.png	0.77	0	101	18011007
21061008	【通关征战10-8】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101008	22101008	1	0	21061007	18011008	imghead138s.png	0.77	0	101	18011008
21061101	【通关征战11-1】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101101	22101101	1	0	21061008	18011101	imghead138s.png	0.77	0	101	18011101
21061102	【通关征战11-2】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101102	22101102	1	0	21061101	18011102	imghead138s.png	0.77	0	101	18011102
21061103	【通关征战11-3】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101103	22101103	1	0	21061102	18011103	imghead138s.png	0.77	0	101	18011103
21061104	【通关征战11-4】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101104	22101104	1	0	21061103	18011104	imghead138s.png	0.77	0	101	18011104
21061105	【通关征战11-5】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101105	22101105	1	0	21061104	18011105	imghead138s.png	0.77	0	101	18011105
21061106	【通关征战11-6】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101106	22101106	1	0	21061105	18011106	imghead138s.png	0.77	0	101	18011106
21061107	【通关征战11-7】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101107	22101107	1	0	21061106	18011107	imghead138s.png	0.77	0	101	18011107
21061108	【通关征战11-8】	文鸯将魂，主公经验，铜钱	文鸯将魂，主公经验，铜钱	1		1	1	22101108	22101108	1	0	21061107	18011108	imghead138s.png	0.77	0	101	18011108
21061201	【通关征战12-1】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101201	22101201	1	0	21061108	18011201	imghead509s.png	0.77	0	101	18011201
21061202	【通关征战12-2】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101202	22101202	1	0	21061201	18011202	imghead509s.png	0.77	0	101	18011202
21061203	【通关征战12-3】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101203	22101203	1	0	21061202	18011203	imghead509s.png	0.77	0	101	18011203
21061204	【通关征战12-4】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101204	22101204	1	0	21061203	18011204	imghead509s.png	0.77	0	101	18011204
21061205	【通关征战12-5】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101205	22101205	1	0	21061204	18011205	imghead509s.png	0.77	0	101	18011205
21061206	【通关征战12-6】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101206	22101206	1	0	21061205	18011206	imghead509s.png	0.77	0	101	18011206
21061207	【通关征战12-7】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101207	22101207	1	0	21061206	18011207	imghead509s.png	0.77	0	101	18011207
21061208	【通关征战12-8】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101208	22101208	1	0	21061207	18011208	imghead509s.png	0.77	0	101	18011208
21061301	【通关征战13-1】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101301	22101301	1	0	21061208	18011301	imghead509s.png	0.77	0	101	18011301
21061302	【通关征战13-2】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101302	22101302	1	0	21061301	18011302	imghead509s.png	0.77	0	101	18011302
21061303	【通关征战13-3】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101303	22101303	1	0	21061302	18011303	imghead509s.png	0.77	0	101	18011303
21061304	【通关征战13-4】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101304	22101304	1	0	21061303	18011304	imghead509s.png	0.77	0	101	18011304
21061305	【通关征战13-5】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101305	22101305	1	0	21061304	18011305	imghead509s.png	0.77	0	101	18011305
21061306	【通关征战13-6】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101306	22101306	1	0	21061305	18011306	imghead509s.png	0.77	0	101	18011306
21061307	【通关征战13-7】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101307	22101307	1	0	21061306	18011307	imghead509s.png	0.77	0	101	18011307
21061308	【通关征战13-8】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101308	22101308	1	0	21061307	18011308	imghead509s.png	0.77	0	101	18011308
21061401	【通关征战14-1】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101401	22101401	1	0	21061308	18011401	imghead509s.png	0.77	0	101	18011401
21061402	【通关征战14-2】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101402	22101402	1	0	21061401	18011402	imghead509s.png	0.77	0	101	18011402
21061403	【通关征战14-3】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101403	22101403	1	0	21061402	18011403	imghead509s.png	0.77	0	101	18011403
21061404	【通关征战14-4】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101404	22101404	1	0	21061403	18011404	imghead509s.png	0.77	0	101	18011404
21061405	【通关征战14-5】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101405	22101405	1	0	21061404	18011405	imghead509s.png	0.77	0	101	18011405
21061406	【通关征战14-6】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101406	22101406	1	0	21061405	18011406	imghead509s.png	0.77	0	101	18011406
21061407	【通关征战14-7】	曹仁将魂，主公经验，铜钱	曹仁将魂，主公经验，铜钱	1		1	1	22101407	22101407	1	0	21061406	18011407	imghead509s.png	0.77	0	101	18011407
