#武将ID	品质	是否为武将（1武将 0将魂）	数量(如果为武将数量为1)	单次刷	第一次免费刷将	第一次元宝单刷保底	10连刷	10连刷保底	魂币
id	color	bsoldier	number	singlechance	firstsinglechance	firstgoldsinglechance	chanceten	chancetenbase	soulcoin
12000045	4	1	1	8	0	0	8	0	300
12000046	4	1	1	8	0	0	8	0	300
12000047	4	1	1	8	0	0	8	0	300
12000048	4	1	1	8	0	0	8	0	300
12000049	4	1	1	8	0	0	8	0	300
17020000	0	0	4	33	0	0	33	0	0
17020001	0	0	4	33	0	0	33	0	0
17020002	0	0	4	33	0	0	33	0	0
17020003	0	0	4	33	0	0	33	0	0
17020004	0	0	4	33	0	0	33	0	0
17020005	0	0	4	33	0	0	33	0	0
17020006	0	0	4	33	0	0	33	0	0
17020007	0	0	4	33	0	0	33	0	0
17020008	0	0	4	33	0	0	33	0	0
17020009	0	0	4	33	0	0	33	0	0
17020010	0	0	4	33	0	0	33	0	0
17020011	0	0	4	33	0	0	33	0	0
17020012	0	0	4	33	0	0	33	0	0
17020013	0	0	4	33	0	0	33	0	0
17020014	0	0	4	33	0	0	33	0	0
17020015	0	0	4	33	0	0	33	0	0
17020016	0	0	4	33	0	0	33	0	0
17020017	0	0	4	33	0	0	33	0	0
17020018	0	0	4	33	0	0	33	0	0
17020019	0	0	4	33	0	0	33	0	0
17020020	0	0	4	33	0	0	33	0	0
17020021	0	0	4	33	0	0	33	0	0
17020022	0	0	4	72	0	0	72	0	0
17020023	0	0	4	72	0	0	72	0	0
17020024	0	0	4	72	0	0	72	0	0
17020025	0	0	4	72	0	0	72	0	0
17020026	0	0	4	72	0	0	72	0	0
17020027	0	0	4	72	0	0	72	0	0
17020028	0	0	4	72	0	0	72	0	0
17020029	0	0	4	72	0	0	72	0	0
17020030	0	0	4	72	0	0	72	0	0
17020031	0	0	4	72	0	0	72	0	0
17020032	0	0	4	72	0	0	72	0	0
17020033	0	0	4	72	0	0	72	0	0
17020034	0	0	4	72	0	0	72	0	0
17020035	0	0	4	72	0	0	72	0	0
17020036	0	0	4	72	0	0	72	0	0
17020037	0	0	4	72	0	0	72	0	0
17020038	0	0	4	72	0	0	72	0	0
17020039	0	0	4	72	0	0	72	0	0
17020040	0	0	4	72	0	0	72	0	0
17020041	0	0	4	72	0	0	72	0	0
17020042	0	0	4	179	0	0	179	0	0
17020043	0	0	4	179	0	0	179	0	0
17020044	0	0	4	179	0	0	179	0	0
17020045	0	0	4	179	0	0	179	0	0
17020046	0	0	4	179	0	0	179	0	0
17020047	0	0	4	179	0	0	179	0	0
17020048	0	0	4	180	0	0	180	0	0
17020049	0	0	4	180	0	0	180	0	0
17020000	0	0	6	33	0	0	33	0	0
17020001	0	0	6	33	0	0	33	0	0
17020002	0	0	6	33	0	0	33	0	0
17020003	0	0	6	33	0	0	33	0	0
17020004	0	0	6	33	0	0	33	0	0
17020005	0	0	6	33	0	0	33	0	0
17020006	0	0	6	33	0	0	33	0	0
17020007	0	0	6	33	0	0	33	0	0
17020008	0	0	6	33	0	0	33	0	0
17020009	0	0	6	33	0	0	33	0	0
17020010	0	0	6	33	0	0	33	0	0
17020011	0	0	6	33	0	0	33	0	0
17020012	0	0	6	33	0	0	33	0	0
17020013	0	0	6	33	0	0	33	0	0
17020014	0	0	6	33	0	0	33	0	0
17020015	0	0	6	33	0	0	33	0	0
17020016	0	0	6	33	0	0	33	0	0
17020017	0	0	6	33	0	0	33	0	0
17020018	0	0	6	33	0	0	33	0	0
17020019	0	0	6	33	0	0	33	0	0
17020020	0	0	6	33	0	0	33	0	0
17020021	0	0	6	33	0	0	33	0	0
17020022	0	0	6	72	0	0	72	0	0
17020023	0	0	6	72	0	0	72	0	0
17020024	0	0	6	72	0	0	72	0	0
17020025	0	0	6	72	0	0	72	0	0
17020026	0	0	6	72	0	0	72	0	0
17020027	0	0	6	72	0	0	72	0	0
17020028	0	0	6	72	0	0	72	0	0
17020029	0	0	6	72	0	0	72	0	0
17020030	0	0	6	72	0	0	72	0	0
17020031	0	0	6	72	0	0	72	0	0
17020032	0	0	6	72	0	0	72	0	0
17020033	0	0	6	72	0	0	72	0	0
17020034	0	0	6	72	0	0	72	0	0
17020035	0	0	6	72	0	0	72	0	0
17020036	0	0	6	72	0	0	72	0	0
17020037	0	0	6	72	0	0	72	0	0
17020038	0	0	6	72	0	0	72	0	0
17020039	0	0	6	72	0	0	72	0	0
17020040	0	0	6	72	0	0	72	0	0
17020041	0	0	6	72	0	0	72	0	0
17020042	0	0	6	179	0	0	179	0	0
17020043	0	0	6	179	0	0	179	0	0
17020044	0	0	6	179	0	0	179	0	0
17020045	0	0	6	179	0	0	179	0	0
17020046	0	0	6	179	0	0	179	0	0
17020047	0	0	6	179	0	0	179	0	0
17020048	0	0	6	180	0	0	180	0	0
17020049	0	0	6	180	0	0	180	0	0
17020000	0	0	8	16	0	0	16	0	0
17020001	0	0	8	16	0	0	16	0	0
17020002	0	0	8	16	0	0	16	0	0
17020003	0	0	8	16	0	0	16	0	0
17020004	0	0	8	16	0	0	16	0	0
17020005	0	0	8	16	0	0	16	0	0
17020006	0	0	8	16	0	0	16	0	0
17020007	0	0	8	16	0	0	16	0	0
17020008	0	0	8	16	0	0	16	0	0
17020009	0	0	8	16	0	0	16	0	0
17020010	0	0	8	16	0	0	16	0	0
17020011	0	0	8	16	0	0	16	0	0
17020012	0	0	8	16	0	0	16	0	0
17020013	0	0	8	16	0	0	16	0	0
17020014	0	0	8	16	0	0	16	0	0
17020015	0	0	8	16	0	0	16	0	0
17020016	0	0	8	16	0	0	16	0	0
17020017	0	0	8	16	0	0	16	0	0
17020018	0	0	8	16	0	0	16	0	0
17020019	0	0	8	16	0	0	16	0	0
17020020	0	0	8	16	0	0	16	0	0
17020021	0	0	8	16	0	0	16	0	0
17020022	0	0	8	37	0	0	37	0	0
17020023	0	0	8	37	0	0	37	0	0
17020024	0	0	8	37	0	0	37	0	0
17020025	0	0	8	37	0	0	37	0	0
17020026	0	0	8	37	0	0	37	0	0
17020027	0	0	8	37	0	0	37	0	0
17020028	0	0	8	37	0	0	37	0	0
17020029	0	0	8	37	0	0	37	0	0
17020030	0	0	8	36	0	0	36	0	0
17020031	0	0	8	36	0	0	36	0	0
17020032	0	0	8	36	0	0	36	0	0
17020033	0	0	8	36	0	0	36	0	0
17020034	0	0	8	36	0	0	36	0	0
17020035	0	0	8	36	0	0	36	0	0
17020036	0	0	8	36	0	0	36	0	0
17020037	0	0	8	36	0	0	36	0	0
17020038	0	0	8	36	0	0	36	0	0
17020039	0	0	8	36	0	0	36	0	0
17020040	0	0	8	36	0	0	36	0	0
17020041	0	0	8	36	0	0	36	0	0
17020042	0	0	8	90	0	0	90	0	0
17020043	0	0	8	90	0	0	90	0	0
17020044	0	0	8	90	0	0	90	0	0
17020045	0	0	8	90	0	0	90	0	0
17020046	0	0	8	90	0	0	90	0	0
17020047	0	0	8	90	0	0	90	0	0
17020048	0	0	8	90	0	0	90	0	0
17020049	0	0	8	90	0	0	90	0	0
