#技能ID	名称	等级	图标	攻击阵营：1敌人2我方	伤害类型：1物理、2法术 3、加状态（不能被闪避）	1前排；2同列；3后排；4后列同排；5随机；6己方HP最低者；7自身	0不扩散；1列；2排；3周围；4所有人	BUFF效果：填写BUFF表的ID	效果概率	给自己加BUFF的效果	给自己加BUFF的几率	技能伤害（倍率	吸血	描述
skillid	name	level	icon	camp	type	target	diffusion	buffid	buffrandom	buff_me	buff_merandom	damage	blood	description
14010027	后劲（0/3 攻·守）	1	4	1	1	2	1	0	0	15010027	10000	1	0	对一列敌人造成100%物理伤害，自身2回合内增加50%暴击
14010028	连营（1/1 攻·守）	1	4	1	2	2	4	15010028	10000	0	0	0.3	0	对敌全体造成30%法术伤害，敌方10回合内每回合受到陆逊法攻30%的伤害（可叠加）
14010029	雄姿（2/4 守）	1	4	1	1	1	2	0	0	0	0	1.1	1.4	对敌前排造成110%物理伤害，恢复造成伤害140%的生命值
14010030	雄震（2/5 攻·守）	1	4	1	1	1	1	0	0	0	0	1.1	1.2	对一列敌人造成110%物理伤害，恢复造成伤害120%的生命值
14010031	猛劲（2/4 守）	1	4	1	1	5	3	15010031	10000	0	0	1.2	0	对敌随机目标及目标周围造成120%物理伤害，其1回合内对降低50%伤害
14010032	智谋（2/5 攻·守）	1	4	2	2	2	4	0	0	0	0	1.2	0	治疗己方所有人，治疗量为辛宪英法攻的120%
14010033	悲隐（0/1 攻）	1	4	1	2	4	0	15010033	10000	0	0	1.7	0	对敌后排单体造成170%法术伤害，使其昏迷1回合
14010034	奇谋（2/3 攻）	1	4	1	2	2	4	15010034	10000	0	0	0.5	0	对敌全体造成50%法术伤害，减少其1怒气
14010035	壁垒（1/4 攻·守）	1	4	1	1	5	3	15010035	10000	0	0	1	0	对敌随机目标及其周围造成100%的物理伤害，减少其2怒气
14010036	善战（3/4 攻）	1	4	1	1	3	0	15010036	10000	0	0	2	0	对敌后排单体造成200%物理伤害，使其昏迷3回合
14010037	激怒（2/5 攻·守）	1	4	2	3	7	0	15010037	10000	0	0	0	0	增加自身250%攻击、防御，持续两回合
14010038	烈火（3/3 攻）	1	4	2	3	3	2	15010038	10000	0	0	0	0	提升己方后排100%攻击力，持续2回合
14010039	离间（0/2 攻·守）	1	4	1	2	4	0	15010039	6000	0	0	1	0	对敌后排单体造成100%法术伤害，60%几率使其沉默10回合
14010040	奋战（2/2 攻·守）	1	4	1	1	5	3	15010040	4000	0	0	0.8	0	对敌随机目标及其周围造成80%的物理伤害，40%几率使其昏迷1回合
14010041	生死（4/5 攻）	1	4	1	1	1	4	15010041	3000	0	0	3	0	对敌全体造成300%物理伤害，30%几率使敌人攻击提升1000%，持续1回合
14010042	蛮王（0/2 攻）	1	4	1	1	2	4	0	0	0	0	0.7	0	对敌全体造成70%物理伤害
14010043	忠烈（2/2 攻）	1	4	1	2	2	0	15010043	10000	0	0	2	0	对敌单体造成200%法术伤害，使目标沉默2回合
14010044	王佐（0/2 攻）	1	4	2	2	2	4	0	0	0	0	1	0	治疗己方所有人，治疗量为荀彧法攻的100%
14010045	雄才（3/3 攻）	1	4	1	2	2	1	15010045	10000	0	0	1.3	0	对一列敌人造成130%法术伤害，其3回合内每回合受到张昭法攻35%的伤害
14010046	冲锋（2/3 守）	1	4	1	1	1	1	0	0	15010046	10000	0.9	0	对一列敌人造成90%物理伤害，自身2回合内增加50%格挡
14010047	横扫（1/2 攻）	1	4	1	1	1	2	0	0	0	0	1.2	1.3	对一排敌人造成120%物理伤害，恢复造成伤害130%的生命值
14010048	英勇（2/3 攻）	1	4	1	1	5	0	15010048	10000	0	0	2	0	对敌随机单体造成200%物理伤害并昏迷1回合
14010049	据守（1/2 守）	1	4	1	1	3	2	0	0	15010049	10000	0.8	0	对敌后排造成80%物理伤害，自身2回合内增加100%物防与法防
14010050	圣魔（1/3 攻）	1	4	1	1	4	0	0	0	15010050	0	2.5	0	对敌后排单体造成250%物理伤害，33%几率暴击
14020000	毁灭1	1	4	1	1	5	4	0	0	15020000	10000	0.5	0	对敌方所有人造成50%物理伤害，并提升自身100%暴击。
14020001	毁灭2	1	4	1	1	1	2	0	0	15020001	10000	0.7	0	对敌方竖排所有人造成70%物理伤害，并在一回合内提升自身100%暴击
14020002	毁灭3	1	4	1	1	2	1	0	0	15020002	10000	0.7	0	对敌方横排所有人造成70%物理伤害，并在一回合内提升自身100%暴击
14020003	毁灭4	1	4	1	1	5	0	0	0	15020003	10000	1.3	0	对敌方随机单体造成130%物理伤害，并提升自身100%暴击。
14020004	毁灭5	1	4	1	1	3	0	0	0	15020004	10000	1.3	0	对敌方后排单体造成130%物理伤害，并提升自身100%暴击。
14020005	毁灭6	1	4	1	1	1	0	0	0	15020005	10000	1.3	0	对敌方前排单体造成130%物理伤害，并提升自身100%暴击。
14020006	毁灭7	1	4	1	2	5	4	0	0	15020006	10000	0.5	0	对敌方所有人造成50%法术伤害，并提升自身100%暴击。
14020007	毁灭8	1	4	1	2	4	2	0	0	15020007	10000	0.7	0	对敌方竖排所有人造成70%法术伤害，并在一回合内提升自身100%暴击
14020008	毁灭9	1	4	1	2	1	1	0	0	15020008	10000	0.7	0	对敌方横排所有人造成70%法术伤害，并在一回合内提升自身100%暴击
14020009	毁灭10	1	4	1	2	5	0	0	0	15020009	10000	1.3	0	对敌方随机单体造成130%法术伤害，并提升自身100%暴击。
14020010	毁灭11	1	4	1	2	3	0	0	0	15020010	10000	1.3	0	对敌方后排单体造成130%法术伤害，并提升自身100%暴击。
14020011	毁灭12	1	4	1	2	1	0	0	0	15020011	10000	1.3	0	对敌方前排单体造成130%法术伤害，并提升自身100%暴击。
14020012	毁灭13	1	4	1	1	5	4	15020012	5000	0	0	0.75	0	对敌方所有人造成75%物理伤害并有50%几率对敌方所有人眩晕1回合
14020013	毁灭14	1	4	1	1	5	0	15020013	10000	0	0	1.4	0	对敌方随机单体目标造成140%物理伤害并眩晕1回合
14020014	毁灭15	1	4	1	1	3	0	15020014	10000	0	0	1.4	0	对敌方后排单体目标造成140%物理伤害，并使目标眩晕1回合
14020015	毁灭16	1	4	1	1	1	0	15020015	10000	0	0	1.4	0	对敌方前排单体目标造成140%物理伤害并眩晕1回合
14020016	毁灭17	1	4	1	2	5	4	15020016	5000	0	0	0.75	0	对敌方所有人造成75%法术伤害并有50%几率对敌方所有人眩晕1回合
14020017	毁灭18	1	4	1	2	5	0	15020017	10000	0	0	1.4	0	对敌方随机单体目标造成140%法术伤害并眩晕1回合
14020018	毁灭19	1	4	1	2	3	0	15020018	10000	0	0	1.4	0	对敌方后排单体目标造成140%法术伤害，并使目标眩晕1回合
14020019	毁灭20	1	4	1	2	1	0	15020019	10000	0	0	1.4	0	对敌方前排单体目标造成140%法术伤害，并眩晕1回合
14020020	毁灭21	1	4	1	1	5	4	15020020	10000	0	0	0.75	0	对敌方所有人造成75%物理伤害并全体沉默2回合
14020021	毁灭22	1	4	1	1	3	0	15020021	10000	0	0	1.3	0	对敌方后排随机单体目标造成130%物理伤害并沉默该目标3回合
14020022	毁灭23	1	4	1	1	4	1	15020022	10000	0	0	1.6	0	对敌方横排目标造成160%物理伤害，并在2回合内使目标沉默
14020023	毁灭24	1	4	1	1	1	0	15020023	10000	0	0	1.6	0	对敌方前排单体目标造成160%物理伤害，并在2回合内使目标沉默
14020024	毁灭25	1	4	1	2	5	4	15020024	10000	0	0	0.75	0	对敌方所有人造成75%法术伤害并全体沉默2回合
14020025	毁灭26	1	4	1	2	3	0	15020025	10000	0	0	1.3	0	对敌方后排随机单体目标造成130%法术伤害并沉默该目标3回合
14020026	毁灭27	1	4	1	2	4	1	15020026	10000	0	0	1.6	0	对敌方横排目标造成160%法术伤害，并在2回合内使目标沉默
14020027	毁灭28	1	4	1	2	1	0	15020027	10000	0	0	1.6	0	对敌方前排单体目标造成160%法术伤害，并在2回合内使目标沉默
14020028	毁灭29	1	4	1	1	3	2	0	0	15020028	10000	1.1	0	对敌军后排造成110%物理伤害，并在2回合内提升自身35%闪避。
14020029	毁灭30	1	4	1	1	4	2	0	0	15020029	10000	0.9	0	对敌方竖排所有人造成90%物理伤害，并在2回合内提升自身30%闪避
14020030	毁灭31	1	4	1	1	3	1	0	0	15020030	10000	1.4	0	对敌方横排造成140%的物理伤害，同2回合内提升自身30%闪避
14020031	毁灭32	1	4	1	1	1	0	0	0	15020031	10000	1.7	0	对敌方前排单体目标造成170%物理伤害，并在一回合内提升自身20%闪避
14020032	毁灭33	1	4	1	2	3	2	0	0	15020032	10000	1.1	0	对敌军后排造成110%法术伤害，并在2回合内提升自身35%闪避。
14020033	毁灭34	1	4	1	2	2	2	0	0	15020033	10000	0.9	0	对敌方竖排所有人造成90%法术伤害，并在2回合内提升自身30%闪避
14020034	毁灭35	1	4	1	2	3	1	0	0	15020034	10000	1.4	0	对敌方横排造成140%的法术伤害，同2回合内提升自身30%闪避
14020035	毁灭36	1	4	1	2	1	0	0	0	15020035	10000	1.7	0	对敌方前排单体目标造成170%法术伤害，并在一回合内提升自身20%闪避
14020036	毁灭37	1	4	1	1	3	0	0	0	15020036	10000	1.4	0	对敌方后排单体造成140%的物理伤害，同时内提升自身50%格挡率2回合
14020037	毁灭38	1	4	1	1	4	1	0	0	15020037	10000	0.9	0	对敌方横排所有人造成90%物理伤害，并在2回合内提升自身30%格挡
14020038	毁灭39	1	4	1	1	2	2	0	0	15020038	10000	0.9	0	对敌方竖排所有人造成90%物理伤害，并在2回合内提升自身30%格挡
14020039	毁灭40	1	4	1	1	1	0	0	0	15020039	10000	1.6	0	对敌方前排单体目标造成160%物理伤害，并在一回合内提升自身30%格挡
14020040	毁灭41	1	4	1	2	3	0	0	0	15020040	10000	1.4	0	对敌方后排单体造成140%的法术伤害，同时内提升自身50%格挡率2回合
14020041	毁灭42	1	4	1	2	4	1	0	0	15020041	10000	0.9	0	对敌方横排所有人造成90%法术伤害，并在2回合内提升自身30%格挡
14020042	毁灭43	1	4	1	2	1	2	0	0	15020042	10000	0.9	0	对敌方竖排所有人造成90%法术伤害，并在2回合内提升自身30%格挡
14020043	毁灭44	1	4	1	2	1	0	0	0	15020043	10000	1.6	0	对敌方前排单体目标造成160%法术伤害，并在一回合内提升自身30%格挡
14020044	毁灭45	1	4	2	2	5	4	0	0	0	0	0.7	0	根据自身法术攻击的70%治疗己方所有人
14020045	毁灭46	1	4	2	2	6	0	0	0	15020045	10000	0.8	0	根据自身法术攻击的80%来恢复HP最低的队友生命值，同时在1回合内提升自身50%闪避
14020046	毁灭47	1	4	2	2	6	0	0	0	0	0	1	0	根据自身法术攻击的100%来恢复HP最低的队友生命值
14020047	毁灭48	1	4	2	2	1	2	0	0	0	0	0.7	0	根据自身法术攻击的70%治疗己方前排所有人
14020048	毁灭49	1	4	2	2	1	1	0	0	0	0	0.7	0	根据自身法术攻击的70%治疗己方一横排所有人
14020049	毁灭50	1	4	1	1	5	0	15020049	10000	0	0	1.7	0	对敌方随机单体目标造成170%物理伤害并使该目标中毒。中毒状态下每回合损失造成10%的物理伤害，持续4回合
14020050	毁灭51	1	4	1	1	3	0	15020050	10000	0	0	1.7	0	对敌方后排单体目标造成170%物理伤害并使该目标中毒。中毒状态下每回合造成10%的物理伤害，持续3回合
14020051	毁灭52	1	4	1	1	4	1	15020051	10000	0	0	0.7	0	对敌方横排目标造成70%物理伤害，并使该目标中毒。中毒状态下每回合造成10%的物理伤害，持续2回合
14020052	毁灭53	1	4	1	1	1	2	15020052	10000	0	0	0.7	0	对敌方竖排目标造成70%物理伤害，并使该目标中毒。中毒状态下每回合造成10%的物理伤害，持续2回合
14020053	毁灭54	1	4	1	2	5	0	15020053	10000	0	0	1.7	0	对敌方随机单体目标造成170%法术伤害并使该目标中毒。中毒状态下每回合损失造成10%的法术伤害，持续4回合
14020054	毁灭55	1	4	1	2	3	0	15020054	10000	0	0	1.7	0	对敌方后排单体目标造成170%法术伤害并使该目标中毒。中毒状态下每回合造成10%的法术伤害，持续3回合
14020055	毁灭56	1	4	1	2	4	0	15020055	10000	0	0	0.7	0	对敌方横排目标造成70%法术伤害，并使该目标中毒。中毒状态下每回合造成10%的法术伤害，持续2回合
14020056	毁灭57	1	4	1	2	1	0	15020056	10000	0	0	0.7	0	对敌方竖列目标造成70%法术伤害，并使该目标中毒。中毒状态下每回合造成10%的法术伤害，持续2回合
14020057	毁灭58	1	4	2	3	5	0	15020057	10000	0	0	0	0	每个回合提升单个武将1点怒气，持续2个回合
14020058	毁灭59	1	4	2	3	3	0	15020058	10000	0	0	0	0	每个回合提升后排单个武将1点怒气，持续2个回合
14020059	毁灭60	1	4	2	3	3	2	15020059	10000	0	0	0	0	提升后排所有武将1点怒气，持续1回合
14020060	毁灭61	1	4	1	1	3	2	15020060	10000	0	0	0.8	0	对敌军后排造成80%物理伤害，并降低对面一列怒气2点
14020061	毁灭62	1	4	1	1	4	0	15020061	10000	0	0	1.5	0	对敌方单体目标造成150%物理伤害，并减少对方该武将怒气3点
14020062	毁灭63	1	4	1	1	5	0	15020062	10000	0	0	1.6	0	对敌方单体目标造成160%物理伤害，持续降低对方一名武将怒气2回合，每回合1点
14020063	毁灭64	1	4	1	2	3	2	15020063	10000	0	0	0.8	0	对敌军后排造成80%法术伤害，并降低对面一列怒气2点
14020064	毁灭65	1	4	1	2	4	0	15020064	10000	0	0	1.5	0	对敌方单体目标造成150%法术伤害，并减少对方该武将怒气3点
14020065	毁灭66	1	4	1	2	5	0	15020065	10000	0	0	1.6	0	对敌方单体目标造成160%法术伤害，持续降低对方一名武将怒气2回合，每回合1点
14020066	毁灭67	1	4	1	1	5	0	0	0	15020066	10000	1.5	0	对敌方随机单体造成150%的物理伤害，同时2回合内提升自身30%物理防御&法术防御
14020067	毁灭68	1	4	1	1	2	2	0	0	15020067	10000	0.9	0	对敌方竖排所有人造成90%的物理伤害，同时提升自身20%物理防御，持续2回合
14020068	毁灭69	1	4	1	1	2	1	0	0	15020068	10000	0.9	0	对敌方横排所有人造成90%物理伤害，并在2回合内提升自身20%物理防御
14020069	毁灭70	1	4	1	1	1	0	0	0	15020069	10000	1.5	0	对敌方前排单体造成150%的物理伤害，同时2回合内提升自身20%物理防御&法术防御
14020070	毁灭71	1	4	1	1	3	0	0	0	15020070	10000	1.5	0	对敌方后排单体造成150%的物理伤害，同时2回合内提升自身20%物理防御&法术防御
14020071	毁灭72	1	4	1	2	5	0	0	0	15020071	10000	1.5	0	对敌方随机单体造成150%的法术伤害，同时2回合内提升自身30%物理防御&法术防御
14020072	毁灭73	1	4	1	2	2	2	0	0	15020072	10000	0.9	0	对敌方竖排所有人造成90%的法术伤害，同时提升自身20%物理防御，持续2回合
14020073	毁灭74	1	4	1	2	4	1	0	0	15020073	10000	0.9	0	对敌方横排所有人造成90%法术伤害，并在2回合内提升自身20%物理防御
14020074	毁灭75	1	4	1	2	1	0	0	0	15020074	10000	1.5	0	对敌方前排单体造成150%的法术伤害，同时2回合内提升自身20%物理防御&法术防御
14020075	毁灭76	1	4	1	2	3	0	0	0	15020075	10000	1.5	0	对敌方后排单体造成150%的法术伤害，同时2回合内提升自身20%物理防御&法术防御
14020076	毁灭77	1	4	2	3	2	1	15020076	10000	0	0	0	0	提升第一横排己军30%物理攻击&法术攻击2回合
14020077	毁灭78	1	4	2	3	5	3	15020077	10000	0	0	0	0	提升自身及周围武将30%法术防御3回合
14020078	毁灭79	1	4	2	3	3	1	15020078	10000	0	0	0	0	提升己军后排20%物理攻击&法术攻击2回合
14020079	毁灭80	1	4	1	1	1	4	15020079	10000	0	0	0.75	0	对敌方所有人造成75%物理伤害，并在2回合内降低敌方所有人20%物理防御
14020080	毁灭81	1	4	1	1	1	0	15020080	10000	0	0	1.6	0	对敌军前排单体目标造成160%物理伤害，并降低敌方前排35%物理防御&法术防御1回合
14020081	毁灭82	1	4	1	1	1	0	15020081	10000	0	0	2	0	对敌军前排单体目标造成200%物理伤害，并降低敌军前列所有人20%法术防御1回合
14020082	毁灭83	1	4	1	1	2	3	15020082	10000	0	0	0.8	0	对敌方目标及目标周围敌人造成80%物理伤害，并降低对方及其周围武将20%法术防御2回合
14020083	毁灭84	1	4	1	1	2	2	15020083	10000	0	0	0.9	0	对敌方竖排所有人造成90%物理伤害，并使目标在2回合内降低20%物理防御
14020084	毁灭85	1	4	1	1	2	1	15020084	10000	0	0	0.9	0	对敌方横排所有人造成90%物理伤害，并使目标在2回合内降低20%物理防御
14020085	毁灭86	1	4	1	1	3	0	15020085	10000	0	0	1.6	0	对敌方后排单体目标造成160%物理伤害，并在2回合内降低目标20%物理攻击&法术攻击
14020086	毁灭87	1	4	1	1	3	2	15020086	10000	0	0	0.8	0	对敌方后排所有人造成80%物理伤害。并在2回合内降低对目标15%物理防御
14020087	毁灭88	1	4	1	2	1	4	15020087	10000	0	0	0.75	0	对敌方所有人造成75%法术伤害，并在2回合内降低敌方所有人20%物理防御
14020088	毁灭89	1	4	1	2	1	0	15020088	10000	0	0	1.6	0	对敌军前排单体目标造成160%法术伤害，并降低敌方前排35%物理防御&法术防御1回合
14020089	毁灭90	1	4	1	2	1	0	15020089	10000	0	0	2	0	对敌军前排单体目标造成200%法术伤害，并降低敌军前列所有人20%法术防御1回合
14020090	毁灭91	1	4	1	2	2	3	15020090	10000	0	0	0.8	0	对敌方目标及目标周围敌人造成80%法术伤害，并降低对方及其周围武将20%法术防御2回合
14020091	毁灭92	1	4	1	2	2	2	15020091	10000	0	0	0.9	0	对敌方竖排所有人造成90%法术伤害，并使目标在2回合内降低20%物理防御
14020092	毁灭93	1	4	1	2	2	1	15020092	10000	0	0	0.9	0	对敌方横排所有人造成90%法术伤害，并使目标在2回合内降低20%物理防御
14020093	毁灭94	1	4	1	2	3	0	15020093	10000	0	0	1.6	0	对敌方后排单体目标造成160%法术伤害，并在2回合内降低目标20%物理攻击&法术攻击
14020094	毁灭95	1	4	1	2	3	2	15020094	10000	0	0	0.8	0	对敌方后排所有人造成80%法术伤害。并在2回合内降低对目标15%物理防御
14030001	1-1周瑜	1	4	1	1	5	4	0	0	0	0	0.75	0	对敌方所有人造成75%物理伤害并沉默1回合
14030002	1-1张飞	1	4	1	1	3	0	0	0	0	0	1.8		对敌方后排单体造成180%的物理伤害
14030003	1-1孙策	1	4	1	1	1	2	0	0	0	0	1		对敌军竖排造成100%物理伤害
14030004	1-2吕布	1	1	1	1	5	4	0	0	0	0	0.8		对敌方所有人造成80%物理伤害
14030005	1-2周瑜	1	4	1	1	5	4	0	0	0	0	0.75	0	对敌方所有人造成75%物理伤害并沉默1回合
14030006	1-3大乔	1	4	1	1	1	0	0	0	0	0	1.5		对敌方单体目标造成150%法术伤害
14030007	1-3周瑜	1	4	1	1	5	4	0	0	0	0	0.75	0	对敌方所有人造成75%物理伤害并沉默1回合
14030008	1-4郭嘉	1	4	1	2	1	2	0	0	0	0	0.9		对敌方竖排造成90%法术伤害
14030009	1-4周瑜	1	4	1	1	5	4	0	0	0	0	0.75	0	对敌方所有人造成75%物理伤害并沉默1回合
14030010	1-7赵云	1	3	1	1	4	1	0	0	0	0	1.3	0	对敌军后排单体造成160%物理伤害
14030011	1-7诸葛亮	1	2	1	2	5	4	15010002	10000	0	0	0.75		对敌方所有人造成75%法术伤害并眩晕1回合
14030012	1-7周瑜	1	4	1	1	5	4	0	0	0	0	0.75	0	对敌方所有人造成75%物理伤害并沉默1回合
