#对话ID	图片资源	对话框位置(1：头像在左边）	名字	内容	下一句
ID	resource	talkpos	name	content	next
306001002	*	1	@	山贼你好，山贼再见！我们撤吧……	306001003
306001003	bulianshi.png	1	小玥	主公别怂，这群猴子不是我们的对手，也许还能打听到姐姐的下落。	306001004
306001004	*	1	@	有理，怎么说我也是见过大世面的人，快把孙尚香妹子交出来！	
300201001	*	1	@	来人哪！基友都去哪了，该出来帮忙啦！人哪！	300201002
300201002	bulianshi.png	1	小玥	别嚎了，喊破嗓子都没人理你，现在大家都分头行动了。	
300202001	*	1	@	不知道曹操那秘密武器有什么神奇之处。	300202002
300202002	imghead012.png	2	刘艾	我亲眼见过一次，那宝物能发出彩色的光，为什么要告诉你！	300202003
300202003	*	1	@	可是你已经说完了……	300202004
300202004	imghead012.png	2	刘艾	谁说我说完了！军营里偶尔还会出现美妙动人的音乐。	
300203001	imghead012.png	2	陈琳	“苍茫的天涯是我的爱，绵绵的青山脚下花正开~”	300203002
300203002	*	1	@	这不是我最喜欢的歌吗，你怎么会唱，没道理啊！	300203003
300203003	imghead012.png	2	陈琳	我们曹营的人都会唱了，喜欢我可以收你为徒，五毛一位。	300203004
300203004	*	1	@	此事必有蹊跷！	
300204001	imghead104.png	2	潘凤	万万没想到，你们还是来了，今天曹操老大赐我秘密武器对付你们。	300204002
300204002	*	1	@	这个声音又响起来了，还是那个配方，还是那个味道。	300204003
300204003	imghead104.png	2	潘凤	“让我用心把你留下来~”	300204004
300204004	*	1	@	“留下来！”等等，我似乎明白了什么！	
300209001	*	1	@	曹操的秘密武器竟然是我的手机！哎，肾的位置还在隐隐作痛。	300209002
300209002	bulianshi.png	1	小玥	手撕鸡？好像很好吃的样子~	300209003
300209003	*	1	@	你这个吃货…不过它是怎么落到曹操手里的？	300209004
300209004	imghead035.png	2	太史慈	这货砸到了我们曹大大的头，因祸得福，没想到竟然是个宝贝！	300209005
300209005	*	1	@	把肾还给我！	
300301001	*	1	@	汉中的这个村子怎么空荡荡的，发生了什么？	300301002
300301002	imghead501.png	2	侯成	我们曹大人想在这里建个练武场，竟然有两户姓钉的刁民不搬走！	300301003
300301003	*	1	@	原来拆迁大队的历史可以追溯到三国，可怕。是时候去阻止一波了！	
300302001	*	1	@	拆迁队是一种强力的兵种，不太好应对。	300302002
300302002	*	1	@	对面的阵型及其凶残，一个方阵竟然用妇女载歌载舞，迷惑视线。	300302003
300302003	imghead503.png	2	郭汜	劝你们还是各回各家，各找各妈吧。	
300303001	imghead144.png	2	荀彧	踏破铁鞋无觅处，在这里逮到你们了，竟敢拆我丈母娘的房子！	300303002
300303002	*	1	@	我拒绝背这个锅，我们也是来阻止曹军拆房子的。	300303003
300303003	imghead144.png	2	荀彧	别考验我的智商，今天我要给丈母娘一个交待！	
300307001	*	1	@	曹操拆迁的军队已经被赶走了，张辽的丈母娘也住进了新房子。	300307002
300307002	bulianshi.png	1	小玥	撒花~~~~~	300307003
300307003	imghead038.png	2	张辽	还有我在！那帮人简直没原则！我不会善罢甘休的！	
300401001	bulianshi.png	1	小玥	贾诩向诸葛亮借了50辆木牛流马，正从西域运送大批货物。	300401002
300401002	*	1	@	此事必有蹊跷，不如我们去打探一下。	300401003
300401003	imghead509.png	2	刘璋	不好，行动被发现了，保护货物，赶快撤离！	
300402001	*	1	@	一路上有辣椒状粉末掉落，到底是运的什么秘密武器。	300402002
300402002	imghead508.png	2	崔勇	我们可是远赴西域，费了好大周折才得到的，你们就别妄想了。	300402003
300402003	*	1	@	你们是在和外贼勾结吧，我倒要看看这批货物到底是什么！	
300407001	*	1	@	原来费这么大劲，只是从西域运了50车食物。	300407002
300407002	imghead060.png	2	甘宁	此食物为条状豆制品，辛辣，尝过便知乃人间美味！	300407003
300407003	*	1	@	哪有辣条好吃！	
300501001	imghead505.png	2	霍峻	天干物燥，小心火烛~卧槽，怎么燃起来了，谁！谁放的火！	300501002
300501002	*	1	@	不好，赤壁一带起火了，我们去帮忙救火吧！	300501003
300501003	imghead505.png	2	霍峻	带这么多人来，怕是想趁火打劫吧，给我回去！	
300507001	imghead014.png	2	姜维	虽然赤壁大火已经平息，放火的人已经调查清楚……	300507002
300507002	*	1	@	没想到竟然是曹操用火炉取暖，离开后不慎起火。	300507003
300507003	imghead014.png	2	姜维	你们乱闯军事重地，我要替曹大人收拾你们！	
300601001	bulianshi.png	1	小玥	发生大事了，小乔被周瑜抢走了！	300601002
300601002	imghead509.png	2	夏恽	我家将军夫人貌美如花，看一眼就能让人心情愉悦呀！	300601003
300601003	*	1	@	竟然强抢民女，看来我要承担起维护地球和平的重任了，压力好大！	
300607001	imghead071.png	2	夏侯渊	没想到你们打到了这里，不过，我家周夫人小乔有喜了。	300607002
300607002	*	1	@	我人都带来了，你就给我说这个！	300607003
300607003	imghead071.png	2	夏侯渊	想闹事，先过了我这一关！	
300701001	imghead052.png	2	高顺	看看你们的阵型，怎么和我们打！	300701002
300701002	imghead052.png	2	高顺	第三排第一个兵比第二个兵高那么多，第4列根本没对齐！	300701003
300701003	*	1	@	好眼力，竟然被识破了！我打！	
