#步骤编号	下一步ID	关键点	定位模块：（当有两个定位点时引导从第一个点向第二个点滑动）	npc名字	npc图像	npc位置，1左下方 2左上方 3右下方 4右上方 	是否有手指	文字说明	配音
id	nextid	key	pos	name	icon	position	hasHand	tips	voicename
35120001	35120003				bulianshimm.png	1		没想到一口气追到了这里，那曹操跑得比兔子还快！	
35120003	35120004		36010500		bulianshimm.png	2	1	好像有姐姐孙尚香的下落了，主公我们快去看看吧！	
35120004	35120005				bulianshimm.png	3		那土匪把姐姐绑到了这里，恐怕……哎呀，不能胡思乱想，一定没事的。	
35120005	35120006		36020200		bulianshimm.png	3	1	主公，听说<游历>还能获得其他佳人哟~	
35120006		1	36020201				1		
35120099	35120006		36020200		bulianshimm.png	3	1	主公，听说<游历>还能获得其他佳人哟~	
35190001	35190002	1	36010200		bulianshimm.png	2	1	国难兴旺生灵苦。。。主公，我们的征战仍将继续！	
35190002					bulianshimm.png	3		继续新章节的征程吧~	
35070001		1	36010400		huangyueyingmm.png	2	1	已经获得了足够的<将魂>了 ，快去<召唤武将>吧！	jianghunzhaohuanYD.mp3
35070099		1	36010400		huangyueyingmm.png	2	1	已经获得了足够的<将魂>了 ，快去<召唤武将>吧！	jianghunzhaohuanYD.mp3
35080001	35080003		36010400		bulianshimm.png	2	1	刚才获得了<将魂和材料>，可以去帮武将<转生>了~	zhuanshengYD.mp3
35080003	35080004		36010401				1		
35080004	35080005		36010404				1		
35080005		1	36010405				1		
35080099	35080003		36010400		bulianshimm.png	2	1	刚才获得了<将魂和材料>，可以去帮武将<转生>了~	
35180001	35180002		36010400		bulianshimm.png	2	1	现在敌人越来越强了，我们也急需强化己方武将	
35180002	35180003		36010101				1		
35180003	35180004		36010404				1		
35180004	35180005		36010411		bulianshimm.png	4	1	还差这一个材料就可以转生了！	
35180005	35180006		36010412		bulianshimm.png	1	1	直接快速通道~	
35180006		1	36010207				1		
35180099	35180002		36010400		bulianshimm.png	2	1	现在敌人越来越强了，我们也急需强化己方武将	
35090001	35090003		36010203		bulianshimm.png	3	1	开启<试炼>关卡，完成试炼可以获得大量<装备>呢~	shilianYD.mp3
35090003	35090004		36030104				1		
35090004		1	36010201				1		
35090099	35090001		36010200				1		
35100001	35100003		36010400		bulianshimm.png	2	1	获得新<装备>了，穿上试试吧~	chuanzhuangbeiYD.mp3
35100003	35100004		36010401				1		
35100004	35100005		36010408				1		
35100005	30510001	1	36010409				1		
35100006					bulianshimm.png	1		快去试试新武器的威力吧！	
35100099	35100098		36010200				1		
35100098	35100097		36010203				1		
35100097	35100003		36010400		bulianshimm.png	2	1	获得新<装备>了，穿上试试吧~	chuanzhuangbeiYD.mp3
35220001	35220002		36030112		bulianshimm.png	1	1	光有武器还不够，我们还需要能保护将领的护具	
35220002		1	36010201				1		
35220099	35220098		36010200				1		
35220098	35220001		36010203				1		
35230001	35230002		36030113		bulianshimm.png	1	1	主公，这关有能增加生命的战马，我们快去拿下吧~	
35230002		1	36010201				1		
35230099	35230098		36010200				1		
35230098	35230001		36010203				1		
35170001	35170002		36010204		bulianshimm.png	3	1	主公，有很方便的<章节扫荡>功能哟~	
35170002	35170003				bulianshimm.png	1		可以<勾选>需要扫荡的关卡，同时若剩余次数为0位<自动重置>哦~	
35170003	35170004		36010206		bulianshimm.png	3	1	点击<关卡头像>可以查看本关可能<掉落>的物品	
35170004	35170005		36010001		bulianshimm.png	1	1		
35170005	35170006				bulianshimm.png	4		需要的<军令>和重置用的<元宝>都会有提示，不足时会自动购买	
35170006	35170007	1	36010205		bulianshimm.png	2	1	试试扫荡本章吧，很方便的哟~	
35170007	35170008		36010001		bulianshimm.png	3	1	哇！好像获得了什么不得了的<装备>呢！	
35170008			36010400		bulianshimm.png	2	1	快给武将<装备>上吧！	
35170099	35170098		36010200				1		
35170098	35170001		36010203				1		
35110001	35110003		36010400		bulianshimm.png	2	1	开启<武将培养>，更加兵强马壮~	peiyangYD.mp3
35110003	35110004		36010401				1		
35110004	35110005		36010402				1		
35110005	35110006				bulianshimm.png	2		培养可以使武将获得大量<额外属性>，快试试吧~	
35110006		1	36010407				1		
35110099	35110003		36010400		bulianshimm.png	2	1	开启<武将培养>，更加兵强马壮~	peiyangYD.mp3
30501001	30501002				huangyueyingmm.png	1		咳咳……忘了自我介绍，我是你的辅佐孙尚香，芳龄十八、闭月羞花（脸红ing）。	
30501002	30501003				huangyueyingmm.png	1		别盯着人家看了，现在可是火烧眉毛的时候，各路大神闻讯曹操获得了秘密武器，都蓄势待发了。	
30501003	35010002				huangyueyingmm.png	1		我们也不能坐以待毙，快去从曹操手上夺回秘密武器吧！嗯？摇头可不行，GO~GO~GO~	
30502001	35020002				huangyueyingmm.png	1		恭喜主公首战告捷，可以去领丰厚的奖励啦~	
30502003	30502004				huangyueyingmm.png	1		主公快看，这些脚印是刚留下不久的，曹操应该还没走远。	
30502004					huangyueyingmm.png	1		目测38码，难道曹操穿了小鞋？我们快追！！	
30503001	30503002				huangyueyingmm.png	1		马岱将军脸颊绯红，一定是经验书里有什么不该看的东西。	
30503002	35030006				huangyueyingmm.png	1		嘻嘻，开个玩笑，其实是经验书在发挥作用，让将军变得更强了。	
30504001	30504002				huangyueyingmm.png	1		虽然一路有大神相助，但还是要做好两全准备才行。	
30504002	35040003				huangyueyingmm.png	1		聚贤阁里有很多大神在聚众酗酒，哦不，探讨人生，说不定会遇到志同道合的人。	
30504003	30504004				huangyueyingmm.png	1		这位将军看样子就知道是可造之材，跟着我们主公混，将来必成大器。	
30504004	35040006				huangyueyingmm.png	1		别再酗酒了，快加入我们的大部队吧！	
30510001	30510002				bulianshimm.png	1		啧啧，这兵器冷气逼人，浑然天成，好装备！	
30510002	35100006				bulianshimm.png	1		虽说不是屠龙宝刀之类的极品神器，但也可以让将军战斗力大增，大放异彩。	
30514001	30514002				huangyueyingmm.png	1		将军虽然厉害，可敌人也太狡猾了，又让他们跑掉了，快追吧~	
30514002	30514003				luren4.png	3		都给我站住！也不看看你们在谁的地盘！哟，这小娘子长得不错嘛~	
30514003	30514004				huangyueyingmm.png	1		哪来的土匪，别直勾勾的盯着人家看！喂，别动手动脚的！	
30514004	30514005				luren4.png	3		嘿嘿，美人，爷看上你了！不如跟爷回去，给爷暖暖床怎么样！	
30514005	30514006				huangyueyingmm.png	1		谁稀罕！啊，你们要做什么！快放开我！别拉我衣服呀！救命啊~~~	
30514006	35140001				bulianshimm.png	1		不好，我姐姐被土匪抓走了，主公，你可要想办法救她呀！前面就是土匪的地盘了。	
35160001	35160003	1			bulianshimm.png	1		他们把姐姐带到别的地方去了，不过应该很快就能找到她。	
35160003					bulianshimm.png	1		姐姐的工作就交给我了。主公快看，曹操的部队就在前面！	
35510001	35510002	1	36020300		bulianshimm.png	3	1	主公，朝廷颁布新的日常活动啦!	
35510002	35510003		36020301		bulianshimm.png	1	1	已经可以去<挑战>经典战役啰~	
35510003	35510004		36020307		bulianshimm.png	4	1	挑战的阵容需要提前在外面的<阵型中调整>~现在先进关卡吧~	
35510004	35510005		36020308				1		
35510005	35510006				bulianshimm.png	1		每层都会有各种<宝箱和敌人>哟，要注意保持血量	
35510006	35510007				bulianshimm.png	1		只要打败隐藏在最后的boss就可以通关啦	
35510007			36020309		bulianshimm.png	3	1	好勒，我们现在开始探索吧~	
35520001	35520002	1	36010500		bulianshimm.png	2	1	报告主公，群雄擂台建造完毕	
35520002	35520003		36020400		bulianshimm.png	1	1	主公~群雄擂台的<竞技场>已经可以使用啦！	
35520003	35520004		36020401		bulianshimm.png	1	1	竞技场可是个获得元宝的好地方呢~	
35520004	35520005		36020402		bulianshimm.png	1	1	点击对方玩家即可进入战斗准备	
35520005					bulianshimm.png	1		要注意双方的战力对比哟，但<无论输赢>都可以获得<竞技币>呢~	
35600001	35600002	1	36020900		bulianshimm.png	1	1	好消息、好消息，<市场>开通啦！	
35600002	35600003				bulianshimm.png	4		一共有幸运、竞技、将魂三种市场呢~	
35600003	35600004				bulianshimm.png	4		幸运市场的幸运币通过<充值>和<每日任务>获得（每天会清空要及时使用哦）	
35600004	35600005		36020901				1		
35600005	35600006				bulianshimm.png	4		竞技市场里使用的，则是<竞技场>获得的<竞技币>	
35600006	35600007		36020902				1		
35600007	35600008				bulianshimm.png	4		将魂市场里的将魂应有尽有~只要有<魂币>就可以买买买~	
35600008	35600009		36020903		bulianshimm.png	4	1	通过出售将魂将魂，就可以获得将魂市场的<魂币>啦~	
35600009	35600010		36010001		bulianshimm.png	3	1	接下来就是最后的威望市场啦~	
35600010	35600011		36020904				1		
35600011					bulianshimm.png	3		威望可以用来购买培养点，但只能在以后的‘风云争霸’中获得，主公快快升级吧！	
35530001	35530002	1	36020500		bulianshimm.png	4	1	恭喜主公，城里来了位铸造大师，只要提供素材，就能升级装备呢~	
35530002	35530003		36020501		bulianshimm.png	1	1	点击选择放入用不上的装备	
35530003	35530004		36020504				1		
35530004	35530005		36020502				1		
35530005	35530006		36020506		bulianshimm.png	4	1	点击<分解装备>之后大师就会<慢慢>把装备分解成原材料啦~	
35530006	35530007		36020503				1		
35530007	35530008		36020505		bulianshimm.png	2	1	分解的原材料可以<升级装备>	
35530008			36020507		bulianshimm.png	1	1	当装备的成长度升级到100%，就能<进阶>了	
35540001	35540002	1	36020300		bulianshimm.png	3	1	主公，朝廷颁布新的日常活动啦!	
35540002	35540003		36020302		bulianshimm.png	1	1	已经可以去<经验房>啰~	
35540003			36020305		bulianshimm.png	2	1	每个<时间段>都可以进入不同的经验房哦，快去挑战吧！	
35650001	35650002	1			bulianshimm.png	1		主公，还有个重大消息！	
35650002	35650003				bulianshimm.png	2		每个时间段的首战奖励多多，无需任何消耗	
35650003					bulianshimm.png	2		而且，只要消耗军令，经验房就可以无限再次挑战哟~	
35550001	35550002	1	36020400		bulianshimm.png	1	1	主公！军情来报，资源战场已波及到了我方！	
35550002	35550003		26020411		bulianshimm.png	3	1	好像已经能听到各路诸侯的交战声了~	
35550003					bulianshimm.png	2		听说已经发现了<金矿、铜矿、科技矿>等珍稀矿场，我们也快去<抢占>吧！	
35560001	35560002	1	36020600		bulianshimm.png	1	1	哇~上天感应也到了主公吗，降下指引星光，开通了<科技>富强之路~	
35560002	35560003				bulianshimm.png	1		哈哈，我乱说的啦，其实这道星光对应天上星宿之位，是用以<研制和强化阵法>	
35560003			36020601		bulianshimm.png	2	1	升级阵型用的科技币，在<资源战>中就能获得，先升一级阵型试试吧！	
35580001	35580002	1	36010500		bulianshimm.png	2	1	报告主公，发现一瓶点石成金水，据说能让普通树木变成摇钱树呢~	
35580002			36020700		bulianshimm.png	1	1	太好了，我们也有摇钱树啦~看到树上 结果 就能<点击收获>啦~	
35590001	35590002	1	36020800		bulianshimm.png	4	1	哇，主公好威猛哟~征服了一位<佳人>，快去<花船>里面看看吧	
35590002	35590003		36020801				1		
35590003	35590004				bulianshimm.png	1		佳人可是很好的拉拉队哟，在战斗中会<增加所有武将的属性>。	
35590004			36020802		bulianshimm.png	2	1	送个礼品试试吧，属性加成直接受<好感度影响>呢~	
35610001	35610002	1	36020300		bulianshimm.png	3	1	主公，朝廷颁布新的日常活动啦!	
35610002	35610003		36020303		bulianshimm.png	1	1	已经可以去闯关啰~	
35610003	35610004				bulianshimm.png	1		每战胜一个敌人，就会进入下一层	
35610004	35610005		36020310		bulianshimm.png	4		每次战胜敌人，都会获得对应战功，战功越多奖励丰盛	
35610005			36020311		bulianshimm.png	1	1	接下来让我们先准备上阵阵型吧~	
35620001	35620002	1	36020314		bulianshimm.png	3	1	准备好了吗，当然即使没准备好也要开始啰~O(∩_∩)O~	
35620002	35620003				bulianshimm.png	3		战胜对手的奖励会随机出现宝箱、属性奖励	
35620003	35620004				bulianshimm.png	4		属性奖励会对本次闯关的战斗有属性加成哦~	
35620004	35620005		36020312		bulianshimm.png	3	1	选定对手时要注意对方的阵型人数，我方上阵人员不能超过对方！	
35620005			36020313		bulianshimm.png	2	1	第一关很简单的，先打一场试试吧~	
35630001	35630002	1	36020400		bulianshimm.png	1	1	风云汇聚，群雄并起，恭喜主公实力又达到一个新高度	
35630002	35630003		26020421		bulianshimm.png	1	1	主公，天降神榜于擂台之上，名留榜史的机会且不可错过	
35630003	35630004		26020422				1		
35630004	35630005				bulianshimm.png	1		目前等级只开启了两个榜单，但都是策略性很强的，不容小视哟~	
35630005	35630006				bulianshimm.png	1		天师、神将榜可以分别选择一种策略，策略对本榜的战斗有很大影响	
35630006	35630007		26020426		bulianshimm.png	2	1	在未选择策略时第一次点击更换策略，会随机3种策略供主公选择	
35630007	35630008				bulianshimm.png	3		策略一旦选定，就需要用元宝刷新策略才能更换，所以不用着急选定	
35630008	35630009		36010001				1		
35630009	35630010		26020427		bulianshimm.png	2	1	不知道如何选择时，可以点击详细按钮	
35630010	35630011				bulianshimm.png	1		在详细介绍里面可以查看所有策略	
35630011	35630012		36010001				1		
35630012	35630013		26020423		bulianshimm.png	2	1	当然，挑战前必须要挑选好的上阵武将！	
35630013					bulianshimm.png	1		主公快布置您的专属阵型吧！	
35640001	35640002	1	26020429		bulianshimm.png	1	1	接下来介绍奖励啦！每天晚上，都会根据您每个榜单的排名发放威望	
35640002	35640003				bulianshimm.png	1		获得威望之后，就可以去新的威望市场购买培养点啦！	
35640003	35640004		36010001				1		
35640004					bulianshimm.png	3		主公，开始我们的争霸之旅吧！想想就有点小激动呢~	
