#层ID	格子行数	格子列数	boss可能出现的格子	boss事件ID	触发概率	事件id(event.txt中的ID)	事件数量(踩雷数量为0)
id	row	column	boss	bosseventid	random	eventid	eventnum
38032202	4	7	14;21;26;27;28	38045011	10000	38042011	5
38032202	4	7	14;21;26;27;28	38045011	10000	38043011	2
38032202	4	7	14;21;26;27;28	38045011	10000	38044011	2
38032202	4	7	14;21;26;27;28	38045011	3000	38041011	0
38032203	4	7	14;21;26;27;28	38045012	10000	38042012	5
38032203	4	7	14;21;26;27;28	38045012	10000	38043012	2
38032203	4	7	14;21;26;27;28	38045012	10000	38044012	2
38032203	4	7	14;21;26;27;28	38045012	3000	38041012	0
38032301	4	7	14;21;26;27;28	38045013	10000	38042013	5
38032301	4	7	14;21;26;27;28	38045013	10000	38043013	2
38032301	4	7	14;21;26;27;28	38045013	10000	38044013	2
38032301	4	7	14;21;26;27;28	38045013	3000	38041013	0
38032302	4	7	14;21;26;27;28	38045014	10000	38042014	5
38032302	4	7	14;21;26;27;28	38045014	10000	38043014	2
38032302	4	7	14;21;26;27;28	38045014	10000	38044014	2
38032302	4	7	14;21;26;27;28	38045014	3000	38041014	0
38032303	4	7	14;21;26;27;28	38045015	10000	38042015	5
38032303	4	7	14;21;26;27;28	38045015	10000	38043015	2
38032303	4	7	14;21;26;27;28	38045015	10000	38044015	2
38032303	4	7	14;21;26;27;28	38045015	3000	38041015	0
38032401	4	7	14;21;26;27;28	38045016	10000	38042016	5
38032401	4	7	14;21;26;27;28	38045016	10000	38043016	2
38032401	4	7	14;21;26;27;28	38045016	10000	38044016	2
38032401	4	7	14;21;26;27;28	38045016	3000	38041016	0
38032402	4	7	14;21;26;27;28	38045017	10000	38042017	5
38032402	4	7	14;21;26;27;28	38045017	10000	38043017	2
38032402	4	7	14;21;26;27;28	38045017	10000	38044017	2
38032402	4	7	14;21;26;27;28	38045017	3000	38041017	0
38032403	4	7	14;21;26;27;28	38045018	10000	38042018	5
38032403	4	7	14;21;26;27;28	38045018	10000	38043018	2
38032403	4	7	14;21;26;27;28	38045018	10000	38044018	2
38032403	4	7	14;21;26;27;28	38045018	3000	38041018	0
38032501	4	7	14;21;26;27;28	38045019	10000	38042019	5
38032501	4	7	14;21;26;27;28	38045019	10000	38043019	2
38032501	4	7	14;21;26;27;28	38045019	10000	38044019	2
38032501	4	7	14;21;26;27;28	38045019	3000	38041019	0
38032502	4	7	14;21;26;27;28	38045020	10000	38042020	5
38032502	4	7	14;21;26;27;28	38045020	10000	38043020	2
38032502	4	7	14;21;26;27;28	38045020	10000	38044020	2
38032502	4	7	14;21;26;27;28	38045020	3000	38041020	0
38032503	4	7	14;21;26;27;28	38045021	10000	38042021	5
38032503	4	7	14;21;26;27;28	38045021	10000	38043021	2
38032503	4	7	14;21;26;27;28	38045021	10000	38044021	2
38032503	4	7	14;21;26;27;28	38045021	3000	38041021	0
38032504	4	7	14;21;26;27;28	38045022	10000	38042022	5
38032504	4	7	14;21;26;27;28	38045022	10000	38043022	2
38032504	4	7	14;21;26;27;28	38045022	10000	38044022	2
38032504	4	7	14;21;26;27;28	38045022	3000	38041022	0
38033101	4	7	14;21;26;27;28	38045023	10000	38042023	5
38033101	4	7	14;21;26;27;28	38045023	10000	38043023	2
38033101	4	7	14;21;26;27;28	38045023	10000	38044023	2
38033101	4	7	14;21;26;27;28	38045023	3000	38041023	0
38033102	4	7	14;21;26;27;28	38045024	10000	38042024	5
38033102	4	7	14;21;26;27;28	38045024	10000	38043024	2
38033102	4	7	14;21;26;27;28	38045024	10000	38044024	2
38033102	4	7	14;21;26;27;28	38045024	3000	38041024	0
38033103	4	7	14;21;26;27;28	38045025	10000	38042025	5
38033103	4	7	14;21;26;27;28	38045025	10000	38043025	2
38033103	4	7	14;21;26;27;28	38045025	10000	38044025	2
38033103	4	7	14;21;26;27;28	38045025	3000	38041025	0
38033201	4	7	14;21;26;27;28	38045026	10000	38042026	5
38033201	4	7	14;21;26;27;28	38045026	10000	38043026	2
38033201	4	7	14;21;26;27;28	38045026	10000	38044026	2
38033201	4	7	14;21;26;27;28	38045026	3000	38041026	0
38033202	4	7	14;21;26;27;28	38045027	10000	38042027	5
38033202	4	7	14;21;26;27;28	38045027	10000	38043027	2
38033202	4	7	14;21;26;27;28	38045027	10000	38044027	2
38033202	4	7	14;21;26;27;28	38045027	3000	38041027	0
38033203	4	7	14;21;26;27;28	38045028	10000	38042028	5
38033203	4	7	14;21;26;27;28	38045028	10000	38043028	2
38033203	4	7	14;21;26;27;28	38045028	10000	38044028	2
38033203	4	7	14;21;26;27;28	38045028	3000	38041028	0
38033301	4	7	14;21;26;27;28	38045029	10000	38042029	5
38033301	4	7	14;21;26;27;28	38045029	10000	38043029	2
38033301	4	7	14;21;26;27;28	38045029	10000	38044029	2
38033301	4	7	14;21;26;27;28	38045029	3000	38041029	0
38033302	4	7	14;21;26;27;28	38045030	10000	38042030	5
38033302	4	7	14;21;26;27;28	38045030	10000	38043030	2
38033302	4	7	14;21;26;27;28	38045030	10000	38044030	2
38033302	4	7	14;21;26;27;28	38045030	3000	38041030	0
38033303	4	7	14;21;26;27;28	38045031	10000	38042031	5
38033303	4	7	14;21;26;27;28	38045031	10000	38043031	2
38033303	4	7	14;21;26;27;28	38045031	10000	38044031	2
38033303	4	7	14;21;26;27;28	38045031	3000	38041031	0
38033401	4	7	14;21;26;27;28	38045032	10000	38042032	5
38033401	4	7	14;21;26;27;28	38045032	10000	38043032	2
38033401	4	7	14;21;26;27;28	38045032	10000	38044032	2
38033401	4	7	14;21;26;27;28	38045032	3000	38041032	0
38033402	4	7	14;21;26;27;28	38045033	10000	38042033	5
38033402	4	7	14;21;26;27;28	38045033	10000	38043033	2
38033402	4	7	14;21;26;27;28	38045033	10000	38044033	2
38033402	4	7	14;21;26;27;28	38045033	3000	38041033	0
38033403	4	7	14;21;26;27;28	38045034	10000	38042034	5
38033403	4	7	14;21;26;27;28	38045034	10000	38043034	2
38033403	4	7	14;21;26;27;28	38045034	10000	38044034	2
38033403	4	7	14;21;26;27;28	38045034	3000	38041034	0
38033404	4	7	14;21;26;27;28	38045035	10000	38042035	5
38033404	4	7	14;21;26;27;28	38045035	10000	38043035	2
38033404	4	7	14;21;26;27;28	38045035	10000	38044035	2
38033404	4	7	14;21;26;27;28	38045035	3000	38041035	0
38033501	4	7	14;21;26;27;28	38045036	10000	38042036	5
38033501	4	7	14;21;26;27;28	38045036	10000	38043036	2
38033501	4	7	14;21;26;27;28	38045036	10000	38044036	2
38033501	4	7	14;21;26;27;28	38045036	3000	38041036	0
38033502	4	7	14;21;26;27;28	38045037	10000	38042037	5
38033502	4	7	14;21;26;27;28	38045037	10000	38043037	2
38033502	4	7	14;21;26;27;28	38045037	10000	38044037	2
38033502	4	7	14;21;26;27;28	38045037	3000	38041037	0
38033503	4	7	14;21;26;27;28	38045038	10000	38042038	5
38033503	4	7	14;21;26;27;28	38045038	10000	38043038	2
38033503	4	7	14;21;26;27;28	38045038	10000	38044038	2
38033503	4	7	14;21;26;27;28	38045038	3000	38041038	0
38033504	4	7	14;21;26;27;28	38045039	10000	38042039	5
38033504	4	7	14;21;26;27;28	38045039	10000	38043039	2
38033504	4	7	14;21;26;27;28	38045039	10000	38044039	2
38033504	4	7	14;21;26;27;28	38045039	3000	38041039	0
