#vip等级	文本1	文本2	文本3
level	txt1	txt2	txt3
#12	每天可重置风云争霸誓约	3	次
13	累计充值	70000	元宝可享受
13	包含	VIP12	所有特权
13	立即开启风云争霸	最强榜	
#13	资源战可上阵部队	3	支
13	每天可购买军令	7	次
#13	每天可购买攻击令	6	次
#13	每次摇钱树可翻倍次数	2	次
13	每天可重置副本	7	次
#13	每天可重置竞技场次数	6	次
13	每天可刷新鲜花数量	7	次
13	每天可重置闯关	4	次
#13	每天可重置挑战	4	次
#13	每天可重置风云争霸策略	4	次
13	每天可重置风云争霸誓约	4	次
14	累计充值	100000	元宝可享受
14	包含	VIP13	所有特权
#14	立即开启风云争霸		
#14	资源战可上阵部队	3	支
#14	每天可购买军令	7	次
14	每天可购买攻击令	7	次
14	每次摇钱树可翻倍次数	3	次
14	每天可重置副本	8	次
14	每天可重置竞技场次数	7	次
14	每天可刷新鲜花数量	8	次
#14	每天可重置闯关	4	次
#14	每天可重置挑战	4	次
14	每天可重置风云争霸策略	5	次
#14	每天可重置风云争霸誓约	4	次
15	累计充值	150000	元宝可享受
15	包含	VIP14	所有特权
#15	立即开启风云争霸		
#15	资源战可上阵部队	3	支
#15	每天可购买军令	7	次
15	每天可购买攻击令	8	次
#15	每次摇钱树可翻倍次数	3	次
15	每天可重置副本	9	次
15	每天可重置竞技场次数	8	次
15	每天可刷新鲜花数量	9	次
15	每天可重置闯关	5	次
15	每天可重置挑战	5	次
#15	每天可重置风云争霸策略	5	次
15	每天可重置风云争霸誓约	5	次
