#武将ID	名称	头像	兵种	等级	星级	品质	分类（其中type=1为近战，type=2为远程，type=3为谋士）	武将模型（无用）	物理攻击	物理防御	法术攻击	法术防御	生命	技能ID	初始怒气	怒气值上限	武将怒气增长方式（1=攻击增加怒气，2=被攻击增加怒气，3=攻击和被攻击都增加怒气）	每次怒气增加点数	战斗力	待机动画文件	攻击动画(无用)	被攻击动画	普通攻击	技能攻击
id	name	icon	race	level	star	color	type	model	phyatk	phydef	mgcatk	mgcdef	hp	skillid	initanger	angerpiont	angerincrease	angeraddnum	power	idleanimation	attackanimation	attackedanimation	commonattack	skillattack
24010035	医疗兵	imghead012.png	10	16	3	1	3	0	0	44	641	349	2488	14020048	1	2	1	1	1606	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010036	太史慈	imghead035.png	1	16	3	2	1	0	725	130	0	346	8054	14010022	1	2	1	1	2509	liubei01_;9	0	liubei01ss_;9	29020008	29011022
24010037	重步兵	imghead012.png	1	17	3	1	1	0	756	135	0	373	4586	14020061	1	2	2	1	1916	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010038	侯成	imghead501.png	2	17	3	1	1	0	756	135	0	373	4586	14020051	1	2	1	1	1916	liubei01_;9	0	liubei01ss_;9	29020008	29011022
24010039	长弓兵	imghead012.png	5	17	3	1	2	0	1176	117	0	58	3676	14020068	1	2	1	1	1911	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010040	火计谋士	imghead012.png	7	17	3	1	3	0	0	55	792	419	3093	14020063	1	2	1	1	1751	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010041	禁军	imghead012.png	2	18	3	1	1	0	819	147	0	397	5025	14020037	1	2	1	1	2075	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010042	枪骑兵	imghead012.png	3	18	3	1	1	0	819	147	0	397	5025	14020052	1	2	1	1	2075	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010043	郭汜	imghead503.png	8	18	3	1	3	0	0	60	863	444	3396	14020035	1	2	1	1	1897	bimou01_;11	0	bimou01ss_;11	29020023	29040013
24010044	医疗兵	imghead012.png	10	18	3	1	3	0	0	60	863	444	3396	14020047	1	2	2	1	1897	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040008
24010045	长弓兵	imghead142.png	5	19	3	1	2	0	1383	138	0	69	4384	14020038	1	3	3	1	2255	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010046	枪骑兵	imghead012.png	3	19	3	1	1	0	883	159	0	422	5478	14020081	1	2	1	1	2236	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010047	管亥	imghead506.png	4	19	3	1	2	0	1383	138	0	69	4384	14020081	1	2	1	1	2255	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011006
24010048	水计谋士	imghead012.png	8	19	3	1	3	0	0	65	936	468	3711	14020073	1	2	1	1	2047	moushi01_;11	0	moushi01ss_;11	29030005	29040010
24010049	枪骑兵	imghead012.png	3	19	3	1	1	0	883	159	0	422	5478	14020082	1	2	1	1	2236	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010050	长弓兵	imghead012.png	5	19	3	1	2	0	1383	138	0	69	4384	14020049	1	2	1	1	2255	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010051	廖化	imghead070.png	6	19	3	1	2	0	1383	138	0	69	4384	14020081	1	2	1	1	2255	sunce01_;9	0	sunce01ss_;9	29020013	29011016
24010052	医疗兵	imghead012.png	10	19	3	1	3	0	0	65	936	468	3711	14020044	1	2	2	1	2047	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010053	高顺	imghead052.png	3	20	3	1	1	0	947	171	0	445	5945	14020086	1	2	2	1	2398	daoqi01_;9	0	daoqi01ss_;9	29020025	29011047
24010054	弓骑兵	imghead012.png	6	20	3	1	2	0	1488	148	0	74	4755	14020050	1	2	1	1	2430	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010055	雷计谋士	imghead012.png	8	20	3	1	3	0	0	71	1011	493	4035	14020089	1	2	1	1	2199	moushi01_;11	0	moushi01ss_;11	29030005	29040011
24010056	医疗兵	imghead012.png	10	20	3	1	3	0	0	71	1011	493	4035	14020044	1	2	1	1	2199	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010057	长弓兵	imghead038.png	5	20	3	1	2	0	1488	148	0	74	4755	14020039	1	2	1	1	2430	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010058	重步兵	imghead012.png	1	20	3	1	1	0	947	171	0	445	5945	14020058	1	2	1	1	2398	bubing01_;11	0	bubing01ss_;13	29030001	29040101
24010059	长弓兵	imghead012.png	5	20	3	1	2	0	1488	148	0	74	4755	14020061	1	2	1	1	2430	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010060	牛金	imghead132.png	6	20	3	1	2	0	1488	148	0	74	4755	14020069	1	2	2	1	2430	sunce01_;9	0	sunce01ss_;9	29020013	29011016
24010061	张辽	imghead038.png	6	21	3	4	2	0	2176	271	0	135	16696	14010026	1	2	1	1	3555	sunce01_;9	0	sunce01ss_;9	29020013	29011026
24010062	重步兵	imghead012.png	1	21	3	1	1	0	999	180	0	452	6313	14020068	1	2	1	1	2514	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010063	弓骑兵	imghead012.png	6	21	3	1	2	0	1574	157	0	78	5047	14020003	1	2	1	1	2571	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010064	火计谋士	imghead012.png	7	21	3	1	3	0	0	74	1073	499	4295	14020091	1	2	1	1	2308	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040005
24010065	刘璋	imghead509.png	2	22	3	2	1	0	1167	210	0	511	7435	14020061	1	2	2	1	2631	chuibu01_;11	0	chuibu01ss_;11	29020024	29011035
24010066	枪骑兵	imghead012.png	3	22	3	1	1	0	1167	210	0	511	7435	14020080	1	2	1	1	2631	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010067	水计谋士	imghead012.png	8	22	3	1	3	0	0	88	1263	561	5070	14020064	1	2	1	1	2419	moushi01_;11	0	moushi01ss_;11	29030005	29040010
24010068	医疗兵	imghead012.png	10	22	3	1	3	0	0	88	1263	561	5070	14020047	1	2	1	1	2419	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040008
24010069	禁军	imghead012.png	1	22	3	1	1	0	1167	210	0	511	7435	14020038	1	2	1	1	2631	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010070	崔勇	imghead508.png	6	22	3	2	2	0	1846	185	0	92	5940	14020051	1	2	1	1	2717	sunjian01_;9	0	sunjian01ss_;9	29020014	29011019
24010071	长弓兵	imghead012.png	5	22	3	1	2	0	1846	185	0	92	5940	14020086	1	2	1	1	2717	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010072	火计谋士	imghead012.png	7	22	3	1	3	0	0	88	1263	561	5070	14020089	1	2	1	1	2419	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010073	许褚	imghead104.png	2	23	3	2	1	0	1224	220	0	518	7866	14020069	1	2	1	1	2748	xuchu01_;9	0	xuchu01ss_;9	29020017	29011030
24010074	弓骑兵	imghead012.png	6	23	3	1	2	0	1944	194	0	97	6279	14020066	1	2	1	1	2862	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010075	雷计谋士	imghead012.png	8	23	3	1	3	0	0	93	1335	568	5374	14020053	1	2	1	1	2533	moushi01_;11	0	moushi01ss_;11	29030005	29040011
24010076	医疗兵	imghead012.png	10	23	3	1	3	0	0	93	1335	568	5374	14020047	1	2	1	1	2533	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010077	重步兵	imghead012.png	2	24	3	1	1	0	1283	231	0	525	8307	14020036	1	2	1	1	2869	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010078	长弓兵	imghead012.png	5	24	3	1	2	0	2044	204	0	102	6627	14020081	1	2	1	1	3012	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010079	弓骑兵	imghead012.png	6	24	3	1	2	0	2044	204	0	102	6627	14020050	1	2	1	1	3012	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010080	刘综	imghead503.png	7	24	3	2	3	0	0	99	1409	574	5686	14020007	1	2	1	1	2650	guojia01_;9	0	guojia01ss_;9	29020006	29010001
24010081	滕胤	imghead510.png	2	24	3	2	1	0	1283	231	0	525	8307	14020036	1	2	2	1	2869	xuchu01_;9	0	xuchu01ss_;9	29020017	29011030
24010082	枪骑兵	imghead012.png	3	24	3	1	1	0	1283	231	0	525	8307	14020070	1	2	1	1	2869	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010083	长弓兵	imghead012.png	4	24	3	1	2	0	2044	204	0	102	6627	14020068	1	2	1	1	3012	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010084	水计谋士	imghead012.png	8	24	3	1	3	0	0	99	1409	574	5686	14020075	1	2	1	1	2650	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040006
24010085	重步兵	imghead012.png	1	25	3	1	1	0	1341	241	0	533	8759	14020085	1	2	1	1	2990	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010086	崔琐	imghead506.png	4	25	3	2	2	0	2145	215	0	107	6983	14020082	1	2	1	1	3165	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011006
24010087	火计谋士	imghead012.png	8	25	3	1	3	0	0	104	1484	579	6007	14020065	1	2	1	1	2767	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010088	医疗兵	imghead012.png	10	25	3	1	3	0	0	104	1484	579	6007	14020048	1	2	1	1	2767	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010089	甘宁	imghead060.png	6	25	3	4	2	0	2928	366	0	183	23127	14010027	1	2	1	1	4347	sunjian01_;9	0	sunjian01ss_;9	29020014	29011027
24010090	枪骑兵	imghead012.png	3	25	3	1	1	0	1341	241	0	533	8759	14020068	1	3	1	1	2990	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010091	长弓兵	imghead012.png	5	25	3	1	2	0	2145	215	0	107	6983	14020028	1	3	1	1	3165	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010092	水计谋士	imghead012.png	8	25	3	1	3	0	0	104	1484	579	6007	14020071	1	3	1	1	2767	moushi01_;11	0	moushi01ss_;11	29030005	29040010
24010093	黄巾力士	imghead012.png	1	26	3	1	1	0	1400	252	0	540	9221	14020015	1	3	2	1	3114	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010094	霍峻	imghead505.png	2	26	3	2	1	0	1400	252	0	540	9221	14020084	1	3	1	1	3114	liubei01_;9	0	liubei01ss_;9	29020008	29011022
24010095	连弩兵	imghead012.png	5	26	3	1	2	0	2248	225	0	112	7346	14020081	1	3	1	1	3319	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010096	火计谋士	imghead012.png	7	26	3	1	3	0	0	109	1561	585	6334	14020075	1	3	1	1	2888	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040005
24010097	冯紞	imghead502.png	3	26	3	2	1	0	1400	252	0	540	9221	14020013	1	3	1	1	3114	daoqi01_;9	0	daoqi01ss_;9	29020025	29011036
24010098	连弩兵	imghead012.png	4	26	3	1	2	0	2248	225	0	112	7346	14020005	1	3	1	1	3319	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010099	雷计谋士	imghead012.png	8	26	3	1	3	0	0	109	1561	585	6334	14020043	1	3	1	1	2888	moushi01_;11	0	moushi01ss_;11	29030005	29040011
24010100	医疗兵	imghead012.png	10	26	3	1	3	0	0	109	1561	585	6334	14020046	1	3	1	1	2888	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010101	黄巾力士	imghead012.png	1	26	3	1	1	0	1400	252	0	540	9221	14020068	1	3	1	1	3114	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010102	重步兵	imghead012.png	2	26	3	1	1	0	1400	252	0	540	9221	14020067	1	3	1	1	3114	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010103	蒯良	imghead510.png	5	26	3	2	2	0	2248	225	0	112	7346	14020002	1	3	1	1	3319	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011006
24010104	水计谋士	imghead012.png	8	26	3	1	3	0	0	109	1561	585	6334	14020093	1	3	1	1	2888	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040006
24010105	重骑兵	imghead012.png	3	27	3	1	1	0	1460	263	0	547	9694	14020036	1	3	2	1	3239	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010106	弓骑兵	imghead012.png	6	27	3	1	2	0	2353	235	0	118	7718	14020085	1	3	1	1	3477	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010107	孙歆	imghead504.png	7	27	3	2	3	0	0	115	1639	590	6670	14020007	1	3	1	1	3011	guojia01_;9	0	guojia01ss_;9	29020006	29010001
24010108	医疗兵	imghead012.png	10	27	3	1	3	0	0	115	1639	590	6670	14020045	1	3	1	1	3011	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040008
24010109	黄巾力士	imghead012.png	1	27	3	1	1	0	1460	263	0	547	9694	14020037	1	3	1	1	3239	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010110	留赞	imghead506.png	3	27	3	2	1	0	1460	263	0	547	9694	14020014	1	3	1	1	3239	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
24010111	连弩兵	imghead012.png	5	27	3	1	2	0	2353	235	0	118	7718	14020078	1	3	1	1	3477	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040104
24010112	火计谋士	imghead012.png	7	27	3	1	3	0	0	115	1639	590	6670	14020092	1	3	1	1	3011	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040005
24010113	重步兵	imghead012.png	1	27	3	1	1	0	1460	263	0	547	9694	14020038	1	3	1	1	3239	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010114	重骑兵	imghead012.png	3	27	3	1	1	0	1460	263	0	547	9694	14020038	1	3	2	1	3239	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010115	蒋斌	imghead508.png	6	27	3	2	2	0	2353	235	0	118	7718	14020028	1	3	1	1	3477	sunjian01_;9	0	sunjian01ss_;9	29020014	29011021
24010116	火计谋士	imghead012.png	7	27	3	1	3	0	0	115	1639	590	6670	14020009	1	3	1	1	3011	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010117	姜维	imghead014.png	7	27	3	4	3	0	0	216	3078	993	22008	14010009	1	3	1	1	4325	bimou01_;11	0	bimou01ss_;11	29020023	29040013
24010118	重步兵	imghead012.png	1	27	3	1	1	0	1460	263	0	547	9694	14020001	1	3	1	1	3239	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010119	重骑兵	imghead012.png	3	27	3	1	1	0	1460	263	0	547	9694	14020002	1	3	1	1	3239	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010120	医疗兵	imghead012.png	10	27	3	1	3	0	0	115	1639	590	6670	14020044	1	3	1	1	3011	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010121	夏恽	imghead509.png	3	28	3	2	1	0	1520	274	0	554	10177	14020036	1	3	1	1	3365	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
24010122	枪骑兵	imghead012.png	3	28	3	1	1	0	1520	274	0	554	10177	14020062	1	3	1	1	3365	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010123	长弓兵	imghead012.png	5	28	3	1	2	0	2459	246	0	123	8097	14020051	1	3	1	1	3637	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010124	水计谋士	imghead012.png	8	28	3	1	3	0	0	120	1720	595	7013	14020055	1	3	1	1	3136	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040006
24010125	医疗兵	imghead012.png	10	28	3	1	3	0	0	120	1720	595	7013	14020045	1	3	1	1	3136	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010126	禁军	imghead012.png	2	28	3	1	1	0	1520	274	0	554	10177	14020082	1	3	2	1	3365	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010127	李大目	imghead509.png	2	28	3	2	1	0	1520	274	0	554	10177	14020004	1	3	1	1	3365	chuibu01_;11	0	chuibu01ss_;11	29020024	29011029
24010128	长弓兵	imghead012.png	5	28	3	1	2	0	2459	246	0	123	8097	14020038	1	4	3	1	3637	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010129	火计谋士	imghead012.png	7	28	3	1	3	0	0	120	1720	595	7013	14020007	1	3	1	1	3136	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010130	医疗兵	imghead012.png	10	28	3	1	3	0	0	120	1720	595	7013	14020045	1	3	1	1	3136	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040008
24010131	雷计谋士	imghead012.png	8	28	3	1	3	0	0	120	1720	595	7013	14020011	1	3	1	1	3136	moushi01_;11	0	moushi01ss_;11	29030005	29040011
24010132	华雄	imghead018.png	3	28	3	2	1	0	1520	274	0	554	10177	14020014	1	3	1	1	3365	daoqi01_;9	0	daoqi01ss_;9	29020025	29011036
24010133	弓骑兵	imghead012.png	6	28	3	1	2	0	2459	246	0	123	8097	14020015	1	3	1	1	3637	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010134	水计谋士	imghead012.png	8	28	3	1	3	0	0	120	1720	595	7013	14020008	1	3	1	1	3136	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040006
24010135	医疗兵	imghead012.png	10	28	3	1	3	0	0	120	1720	595	7013	14020047	1	3	1	1	3136	moushi01_;11	0	moushi01ss_;11	29030005	29040012
24010136	重步兵	imghead012.png	1	29	3	1	1	0	1580	284	0	560	10671	14020079	1	3	1	1	3491	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010137	长弓兵	imghead012.png	5	29	3	1	2	0	2566	257	0	128	8484	14020030	1	3	1	1	3799	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010138	弓骑兵	imghead012.png	6	29	3	1	2	0	2566	257	0	128	8484	14020004	1	4	3	1	3799	nangongjian01_;11	0	nangongjian01ss_;13	29030002	29040003
24010139	牛辅	imghead510.png	7	29	3	2	3	0	0	126	1802	600	7365	14020011	1	3	1	1	3264	wanglang01_;9	0	wanglang01ss_;9	29020012	29010007
24010140	水计谋士	imghead012.png	8	29	3	1	3	0	0	126	1802	600	7365	14020077	1	3	1	1	3264	moushi01_;11	0	moushi01ss_;11	29030005	29040105
24010141	贺齐	imghead501.png	3	29	3	2	1	0	1580	284	0	560	10671	14020015	1	3	1	1	3491	fuqi01_;11	0	fuqi01ss_;11	29020026	29011031
24010142	枪骑兵	imghead012.png	3	29	3	1	1	0	1580	284	0	560	10671	14020038	1	3	1	1	3491	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010143	长弓兵	imghead012.png	5	29	3	1	2	0	2566	257	0	128	8484	14020066	1	3	2	1	3799	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010144	长弓兵	imghead012.png	5	29	3	1	2	0	2566	257	0	128	8484	14020003	1	3	1	1	3799	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010145	水计谋士	imghead012.png	8	29	3	1	3	0	0	126	1802	600	7365	14020018	1	3	1	1	3264	moushi01_;11	0	moushi01ss_;11	29030005	29040010
24010146	重步兵	imghead004.png	1	29	3	1	1	0	1580	284	0	560	10671	14020012	1	3	1	1	3491	bubing01_;11	0	bubing01ss_;13	29030001	29040001
24010147	枪骑兵	imghead012.png	3	29	3	1	1	0	1580	284	0	560	10671	14020022	1	3	2	1	3491	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010148	薛礼	imghead502.png	6	29	3	2	2	0	2566	257	0	128	8484	14020051	1	3	1	1	3799	sunjian01_;9	0	sunjian01ss_;9	29020014	29011019
24010149	火计谋士	imghead012.png	7	29	3	1	3	0	0	126	1802	600	7365	14020041	1	3	1	1	3264	moushi01_;11	0	moushi01ss_;11	29030005	29040009
24010150	医疗兵	imghead012.png	10	29	3	1	3	0	0	126	1802	600	7365	14020044	1	3	1	1	3264	nanmoushi01_;11	0	nanmoushi01ss_;11	29030003	29040008
24010151	夏侯渊	imghead071.png	5	29	3	4	2	0	3453	432	0	216	28138	14010037	1	3	1	1	5185	xiahoudun01_;9	0	xiahoudun01ss_;9	29020015	29011037
24010152	枪骑兵	imghead012.png	3	29	3	1	1	0	1580	284	0	560	10671	14020037	1	3	1	1	3491	qibing01_;11	0	qibing01ss_;13	29030006	29040002
24010153	长弓兵	imghead012.png	5	29	3	1	2	0	2566	257	0	128	8484	14020003	1	3	1	1	3799	nvgongjian01_;11	0	nvgongjian01ss_;11	29030004	29040004
24010154	雷计谋士	imghead012.png	8	29	3	1	3	0	0	126	1802	600	7365	14020059	1	3	1	1	3264	moushi01_;11	0	moushi01ss_;11	29030005	29040105
24010155	水计谋士	imghead012.png	8	29	3	1	3	0	0	126	1802	600	7365	14020065	1	3	1	1	3264	moushi01_;11	0	moushi01ss_;11	29030005	29040010
