#突破前装备id	突破后装备id	需要绿水晶个数	需要蓝水晶个数	需要紫水晶个数	材料id	材料数量
id	nextid	gcrystalnum	bcrystalnum	ycrystalnum	materialid	num
17030256	17030257	9	6	0	17010062	3
17030257	17030258	12	8	4	17010064	2
17030258	17030259	14	9	6	17030196	1
17030260	17030261	4	0	0	0	0
17030261	17030262	6	0	0	0	0
17030262	17030263	8	4	0	17010062	2
17030263	17030264	9	6	0	17010062	3
17030264	17030265	12	8	4	17010064	2
17030265	17030266	14	9	6	17030203	1
17030267	17030268	4	0	0	0	0
17030268	17030269	6	0	0	0	0
17030269	17030270	8	4	0	17010062	2
17030270	17030271	9	6	0	17010062	3
17030271	17030272	12	8	4	17010064	2
17030272	17030273	14	9	6	17030210	1
17030274	17030275	4	0	0	0	0
17030275	17030276	6	0	0	0	0
17030276	17030277	8	4	0	17010062	2
17030277	17030278	9	6	0	17010062	3
17030278	17030279	12	8	4	17010064	2
17030279	17030280	14	9	6	17030217	1
17030281	17030282	4	0	0	0	0
17030282	17030283	6	0	0	0	0
17030283	17030284	8	4	0	17010062	2
17030284	17030285	9	6	0	17010062	3
17030285	17030286	12	8	4	17010064	2
17030286	17030287	14	9	6	17030224	1
17030288	17030289	4	0	0	0	0
17030289	17030290	6	0	0	0	0
17030290	17030291	8	4	0	17010062	2
17030291	17030292	9	6	0	17010062	3
17030292	17030293	12	8	4	17010064	2
17030293	17030294	14	9	6	17030231	1
17030295	17030296	4	0	0	0	0
17030296	17030297	6	0	0	0	0
17030297	17030298	8	4	0	17010062	2
17030298	17030299	9	6	0	17010062	3
17030299	17030300	12	8	4	17010064	2
17030300	17030301	14	9	6	17030238	1
17030302	17030303	6	0	0	0	0
17030303	17030304	8	0	0	0	0
17030304	17030305	9	6	0	17010062	3
17030305	17030306	12	8	0	17010064	2
17030306	17030307	14	9	6	17010065	3
17030307	17030308	16	12	8	17030245	1
17030309	17030310	6	0	0	0	0
17030310	17030311	8	0	0	0	0
17030311	17030312	9	6	0	17010062	3
17030312	17030313	12	8	0	17010064	2
17030313	17030314	14	9	6	17010065	3
17030314	17030315	16	12	8	17030252	1
17030316	17030317	6	0	0	0	0
17030317	17030318	8	0	0	0	0
17030318	17030319	9	6	0	17010062	3
17030319	17030320	12	8	0	17010064	2
17030320	17030321	14	9	6	17010065	3
17030321	17030322	16	12	8	17030259	1
17030323	17030324	6	0	0	0	0
17030324	17030325	8	0	0	0	0
17030325	17030326	9	6	0	17010062	3
17030326	17030327	12	8	0	17010064	2
17030327	17030328	14	9	6	17010065	3
17030328	17030329	16	12	8	17030266	1
17030330	17030331	6	0	0	0	0
17030331	17030332	8	0	0	0	0
17030332	17030333	9	6	0	17010062	3
17030333	17030334	12	8	0	17010064	2
17030334	17030335	14	9	6	17010065	3
17030335	17030336	16	12	8	17030273	1
17030337	17030338	6	0	0	0	0
17030338	17030339	8	0	0	0	0
17030339	17030340	9	6	0	17010062	3
17030340	17030341	12	8	0	17010064	2
17030341	17030342	14	9	6	17010065	3
17030342	17030343	16	12	8	17030280	1
17030344	17030345	6	0	0	0	0
17030345	17030346	8	0	0	0	0
17030346	17030347	9	6	0	17010062	3
17030347	17030348	12	8	0	17010064	2
17030348	17030349	14	9	6	17010065	3
17030349	17030350	16	12	8	17030287	1
17030351	17030352	6	0	0	0	0
17030352	17030353	8	0	0	0	0
17030353	17030354	9	6	0	17010062	3
17030354	17030355	12	8	0	17010064	2
17030355	17030356	14	9	6	17010065	3
17030356	17030357	16	12	8	17030294	1
17030358	17030359	6	0	0	0	0
17030359	17030360	8	0	0	0	0
17030360	17030361	9	6	0	17010062	3
17030361	17030362	12	8	0	17010064	2
17030362	17030363	14	9	6	17010065	3
17030363	17030364	16	12	8	17030301	1
17030365	17030366	6	0	0	0	0
17030366	17030367	8	0	0	0	0
17030367	17030368	9	6	0	17010062	4
17030368	17030369	12	8	0	17010065	3
17030369	17030370	14	9	6	17010066	3
17030370	17030371	16	12	8	17030308	1
17030372	17030373	6	0	0	0	0
17030373	17030374	8	0	0	0	0
17030374	17030375	9	6	0	17010062	4
17030375	17030376	12	8	0	17010065	3
17030376	17030377	14	9	6	17010066	3
17030377	17030378	16	12	8	17030315	1
17030379	17030380	6	0	0	0	0
17030380	17030381	8	0	0	0	0
17030381	17030382	9	6	0	17010062	4
17030382	17030383	12	8	0	17010065	3
17030383	17030384	14	9	6	17010066	3
17030384	17030385	16	12	8	17030322	1
17030386	17030387	6	0	0	0	0
17030387	17030388	8	0	0	0	0
17030388	17030389	9	6	0	17010062	4
17030389	17030390	12	8	0	17010065	3
17030390	17030391	14	9	6	17010066	3
17030391	17030392	16	12	8	17030329	1
17030393	17030394	6	0	0	0	0
17030394	17030395	8	0	0	0	0
17030395	17030396	9	6	0	17010062	4
17030396	17030397	12	8	0	17010065	3
17030397	17030398	14	9	6	17010066	3
17030398	17030399	16	12	8	17030336	1
17030400	17030401	6	0	0	0	0
17030401	17030402	8	0	0	0	0
17030402	17030403	9	6	0	17010062	4
17030403	17030404	12	8	0	17010065	3
17030404	17030405	14	9	6	17010066	3
17030405	17030406	16	12	8	17030343	1
17030407	17030408	6	0	0	0	0
17030408	17030409	8	0	0	0	0
17030409	17030410	9	6	0	17010062	4
17030410	17030411	12	8	0	17010065	3
17030411	17030412	14	9	6	17010066	3
17030412	17030413	16	12	8	17030350	1
17030414	17030415	6	0	0	0	0
17030415	17030416	8	0	0	0	0
17030416	17030417	9	6	0	17010062	4
17030417	17030418	12	8	0	17010065	3
17030418	17030419	14	9	6	17010066	3
17030419	17030420	16	12	8	17030357	1
17030421	17030422	6	0	0	0	0
17030422	17030423	8	0	0	0	0
17030423	17030424	9	6	0	17010062	4
17030424	17030425	12	8	0	17010065	3
17030425	17030426	14	9	6	17010066	3
17030426	17030427	16	12	8	17030364	1
17030428	17030429	8	0	0	0	0
17030429	17030430	9	0	0	0	0
17030430	17030431	12	8	0	17010063	4
17030431	17030432	14	9	0	17010065	4
17030432	17030433	16	12	8	17010069	3
17030433	17030434	17	14	9	17030371	1
17030435	17030436	8	0	0	0	0
17030436	17030437	9	0	0	0	0
17030437	17030438	12	8	0	17010063	4
17030438	17030439	14	9	0	17010065	4
17030439	17030440	16	12	8	17010069	3
17030440	17030441	17	14	9	17030378	1
17030442	17030443	8	0	0	0	0
17030443	17030444	9	0	0	0	0
17030444	17030445	12	8	0	17010063	4
17030445	17030446	14	9	0	17010065	4
17030446	17030447	16	12	8	17010069	3
17030447	17030448	17	14	9	17030385	1
17030449	17030450	8	0	0	0	0
17030450	17030451	9	0	0	0	0
17030451	17030452	12	8	0	17010063	4
17030452	17030453	14	9	0	17010065	4
17030453	17030454	16	12	8	17010069	3
17030454	17030455	17	14	9	17030392	1
17030456	17030457	8	0	0	0	0
17030457	17030458	9	0	0	0	0
17030458	17030459	12	8	0	17010063	4
17030459	17030460	14	9	0	17010065	4
17030460	17030461	16	12	8	17010069	3
17030461	17030462	17	14	9	17030399	1
17030463	17030464	8	0	0	0	0
17030464	17030465	9	0	0	0	0
17030465	17030466	12	8	0	17010063	4
17030466	17030467	14	9	0	17010065	4
17030467	17030468	16	12	8	17010069	3
17030468	17030469	17	14	9	17030406	1
17030470	17030471	8	0	0	0	0
17030471	17030472	9	0	0	0	0
17030472	17030473	12	8	0	17010063	4
17030473	17030474	14	9	0	17010065	4
17030474	17030475	16	12	8	17010069	3
17030475	17030476	17	14	9	17030413	1
17030477	17030478	8	0	0	0	0
17030478	17030479	9	0	0	0	0
17030479	17030480	12	8	0	17010063	4
17030480	17030481	14	9	0	17010065	4
17030481	17030482	16	12	8	17010069	3
17030482	17030483	17	14	9	17030420	1
17030484	17030485	8	0	0	0	0
17030485	17030486	9	0	0	0	0
17030486	17030487	12	8	0	17010063	4
17030487	17030488	14	9	0	17010065	4
17030488	17030489	16	12	8	17010069	3
17030489	17030490	17	14	9	17030427	1
17030491	17030492	8	0	0	0	0
17030492	17030493	9	0	0	0	0
17030493	17030494	12	8	0	17010063	4
17030494	17030495	14	9	0	17010066	4
17030495	17030496	16	12	8	17010069	4
17030496	17030497	17	14	9	17030434	1
17030498	17030499	8	0	0	0	0
17030499	17030500	9	0	0	0	0
17030500	17030501	12	8	0	17010063	4
17030501	17030502	14	9	0	17010066	4
17030502	17030503	16	12	8	17010069	4
17030503	17030504	17	14	9	17030441	1
17030505	17030506	8	0	0	0	0
17030506	17030507	9	0	0	0	0
17030507	17030508	12	8	0	17010063	4
17030508	17030509	14	9	0	17010066	4
17030509	17030510	16	12	8	17010069	4
17030510	17030511	17	14	9	17030448	1
17030512	17030513	8	0	0	0	0
17030513	17030514	9	0	0	0	0
17030514	17030515	12	8	0	17010063	4
17030515	17030516	14	9	0	17010066	4
17030516	17030517	16	12	8	17010069	4
17030517	17030518	17	14	9	17030455	1
17030519	17030520	8	0	0	0	0
17030520	17030521	9	0	0	0	0
17030521	17030522	12	8	0	17010063	4
17030522	17030523	14	9	0	17010066	4
17030523	17030524	16	12	8	17010069	4
17030524	17030525	17	14	9	17030462	1
17030526	17030527	8	0	0	0	0
17030527	17030528	9	0	0	0	0
17030528	17030529	12	8	0	17010063	4
17030529	17030530	14	9	0	17010066	4
17030530	17030531	16	12	8	17010069	4
17030531	17030532	17	14	9	17030469	1
17030533	17030534	8	0	0	0	0
17030534	17030535	9	0	0	0	0
17030535	17030536	12	8	0	17010063	4
17030536	17030537	14	9	0	17010066	4
17030537	17030538	16	12	8	17010069	4
17030538	17030539	17	14	9	17030476	1
17030540	17030541	8	0	0	0	0
17030541	17030542	9	0	0	0	0
17030542	17030543	12	8	0	17010063	4
17030543	17030544	14	9	0	17010066	4
17030544	17030545	16	12	8	17010069	4
17030545	17030546	17	14	9	17030483	1
17030547	17030548	8	0	0	0	0
17030548	17030549	9	0	0	0	0
17030549	17030550	12	8	0	17010063	4
17030550	17030551	14	9	0	17010066	4
17030551	17030552	16	12	8	17010069	4
17030552	17030553	17	14	9	17030490	1
17030554	17030555	9	0	0	0	0
17030555	17030556	12	0	0	0	0
17030556	17030557	14	9	0	17010063	5
17030557	17030558	16	12	0	17010066	5
17030558	17030559	17	14	9	17010070	4
17030559	17030560	20	16	12	17030497	1
17030561	17030562	9	0	0	0	0
17030562	17030563	12	0	0	0	0
17030563	17030564	14	9	0	17010063	5
17030564	17030565	16	12	0	17010066	5
17030565	17030566	17	14	9	17010070	4
17030566	17030567	20	16	12	17030504	1
17030568	17030569	9	0	0	0	0
17030569	17030570	12	0	0	0	0
17030570	17030571	14	9	0	17010063	5
17030571	17030572	16	12	0	17010066	5
17030572	17030573	17	14	9	17010070	4
17030573	17030574	20	16	12	17030511	1
17030575	17030576	9	0	0	0	0
17030576	17030577	12	0	0	0	0
17030577	17030578	14	9	0	17010063	5
17030578	17030579	16	12	0	17010066	5
17030579	17030580	17	14	9	17010070	4
17030580	17030581	20	16	12	17030518	1
17030582	17030583	9	0	0	0	0
17030583	17030584	12	0	0	0	0
17030584	17030585	14	9	0	17010063	5
17030585	17030586	16	12	0	17010066	5
17030586	17030587	17	14	9	17010070	4
17030587	17030588	20	16	12	17030525	1
17030589	17030590	9	0	0	0	0
17030590	17030591	12	0	0	0	0
17030591	17030592	14	9	0	17010063	5
17030592	17030593	16	12	0	17010066	5
17030593	17030594	17	14	9	17010070	4
17030594	17030595	20	16	12	17030532	1
17030596	17030597	9	0	0	0	0
17030597	17030598	12	0	0	0	0
17030598	17030599	14	9	0	17010063	5
17030599	17030600	16	12	0	17010066	5
17030600	17030601	17	14	9	17010070	4
17030601	17030602	20	16	12	17030539	1
17030603	17030604	9	0	0	0	0
17030604	17030605	12	0	0	0	0
17030605	17030606	14	9	0	17010063	5
17030606	17030607	16	12	0	17010066	5
17030607	17030608	17	14	9	17010070	4
17030608	17030609	20	16	12	17030546	1
17030610	17030611	9	0	0	0	0
17030611	17030612	12	0	0	0	0
17030612	17030613	14	9	0	17010063	5
17030613	17030614	16	12	0	17010066	5
17030614	17030615	17	14	9	17010070	4
17030615	17030616	20	16	12	17030553	1
17030617	17030618	9	0	0	0	0
17030618	17030619	12	0	0	0	0
17030619	17030620	14	9	0	17010063	5
17030620	17030621	16	12	0	17010067	5
17030621	17030622	17	14	9	17010071	5
17030622	17030623	20	16	12	17030560	1
17030624	17030625	9	0	0	0	0
17030625	17030626	12	0	0	0	0
17030626	17030627	14	9	0	17010063	5
17030627	17030628	16	12	0	17010067	5
17030628	17030629	17	14	9	17010071	5
17030629	17030630	20	16	12	17030567	1
17030631	17030632	9	0	0	0	0
17030632	17030633	12	0	0	0	0
17030633	17030634	14	9	0	17010063	5
17030634	17030635	16	12	0	17010067	5
17030635	17030636	17	14	9	17010071	5
17030636	17030637	20	16	12	17030574	1
17030638	17030639	9	0	0	0	0
17030639	17030640	12	0	0	0	0
17030640	17030641	14	9	0	17010063	5
17030641	17030642	16	12	0	17010067	5
17030642	17030643	17	14	9	17010071	5
17030643	17030644	20	16	12	17030581	1
17030645	17030646	9	0	0	0	0
17030646	17030647	12	0	0	0	0
17030647	17030648	14	9	0	17010063	5
17030648	17030649	16	12	0	17010067	5
17030649	17030650	17	14	9	17010071	5
17030650	17030651	20	16	12	17030588	1
17030652	17030653	9	0	0	0	0
17030653	17030654	12	0	0	0	0
17030654	17030655	14	9	0	17010063	5
17030655	17030656	16	12	0	17010067	5
17030656	17030657	17	14	9	17010071	5
17030657	17030658	20	16	12	17030595	1
17030659	17030660	9	0	0	0	0
17030660	17030661	12	0	0	0	0
17030661	17030662	14	9	0	17010063	5
17030662	17030663	16	12	0	17010067	5
17030663	17030664	17	14	9	17010071	5
17030664	17030665	20	16	12	17030602	1
17030666	17030667	9	0	0	0	0
17030667	17030668	12	0	0	0	0
17030668	17030669	14	9	0	17010063	5
17030669	17030670	16	12	0	17010067	5
17030670	17030671	17	14	9	17010071	5
17030671	17030672	20	16	12	17030609	1
17030673	17030674	9	0	0	0	0
17030674	17030675	12	0	0	0	0
17030675	17030676	14	9	0	17010063	5
17030676	17030677	16	12	0	17010067	5
17030677	17030678	17	14	9	17010071	5
17030678	17030679	20	16	12	17030616	1
17030680	17030681	12	0	0	0	0
17030681	17030682	14	0	0	0	0
17030682	17030683	16	12	0	17010063	5
17030683	17030684	17	14	0	17010067	5
17030684	17030685	20	16	12	17010072	5
17030685	17030686	24	20	16	17030623	1
17030687	17030688	12	0	0	0	0
17030688	17030689	14	0	0	0	0
17030689	17030690	16	12	0	17010063	5
17030690	17030691	17	14	0	17010067	5
17030691	17030692	20	16	12	17010072	5
17030692	17030693	24	20	16	17030630	1
17030694	17030695	12	0	0	0	0
17030695	17030696	14	0	0	0	0
17030696	17030697	16	12	0	17010063	5
17030697	17030698	17	14	0	17010067	5
17030698	17030699	20	16	12	17010072	5
17030699	17030700	24	20	16	17030637	1
17030701	17030702	12	0	0	0	0
17030702	17030703	14	0	0	0	0
17030703	17030704	16	12	0	17010063	5
17030704	17030705	17	14	0	17010067	5
17030705	17030706	20	16	12	17010072	5
17030706	17030707	24	20	16	17030644	1
17030708	17030709	12	0	0	0	0
17030709	17030710	14	0	0	0	0
17030710	17030711	16	12	0	17010063	5
17030711	17030712	17	14	0	17010067	5
17030712	17030713	20	16	12	17010072	5
17030713	17030714	24	20	16	17030651	1
17030715	17030716	12	0	0	0	0
17030716	17030717	14	0	0	0	0
17030717	17030718	16	12	0	17010063	5
17030718	17030719	17	14	0	17010067	5
17030719	17030720	20	16	12	17010072	5
17030720	17030721	24	20	16	17030658	1
17030722	17030723	12	0	0	0	0
17030723	17030724	14	0	0	0	0
17030724	17030725	16	12	0	17010063	5
17030725	17030726	17	14	0	17010067	5
17030726	17030727	20	16	12	17010072	5
17030727	17030728	24	20	16	17030665	1
17030729	17030730	12	0	0	0	0
17030730	17030731	14	0	0	0	0
17030731	17030732	16	12	0	17010063	5
17030732	17030733	17	14	0	17010067	5
17030733	17030734	20	16	12	17010072	5
17030734	17030735	24	20	16	17030672	1
17030736	17030737	12	0	0	0	0
17030737	17030738	14	0	0	0	0
17030738	17030739	16	12	0	17010063	5
17030739	17030740	17	14	0	17010067	5
17030740	17030741	20	16	12	17010072	5
17030741	17030742	24	20	16	17030679	1
17030743	17030744	12	0	0	0	0
17030744	17030745	14	0	0	0	0
17030745	17030746	16	12	0	17010063	5
17030746	17030747	17	14	0	17010068	5
17030747	17030748	20	16	12	17010073	5
17030748	17030749	24	20	16	17030686	1
17030750	17030751	12	0	0	0	0
17030751	17030752	14	0	0	0	0
17030752	17030753	16	12	0	17010063	5
17030753	17030754	17	14	0	17010068	5
17030754	17030755	20	16	12	17010073	5
17030755	17030756	24	20	16	17030693	1
17030757	17030758	12	0	0	0	0
17030758	17030759	14	0	0	0	0
17030759	17030760	16	12	0	17010063	5
17030760	17030761	17	14	0	17010068	5
17030761	17030762	20	16	12	17010073	5
17030762	17030763	24	20	16	17030700	1
17030764	17030765	12	0	0	0	0
17030765	17030766	14	0	0	0	0
17030766	17030767	16	12	0	17010063	5
17030767	17030768	17	14	0	17010068	5
17030768	17030769	20	16	12	17010073	5
17030769	17030770	24	20	16	17030707	1
17030771	17030772	12	0	0	0	0
17030772	17030773	14	0	0	0	0
17030773	17030774	16	12	0	17010063	5
17030774	17030775	17	14	0	17010068	5
17030775	17030776	20	16	12	17010073	5
17030776	17030777	24	20	16	17030714	1
17030778	17030779	12	0	0	0	0
17030779	17030780	14	0	0	0	0
17030780	17030781	16	12	0	17010063	5
17030781	17030782	17	14	0	17010068	5
17030782	17030783	20	16	12	17010073	5
17030783	17030784	24	20	16	17030721	1
17030785	17030786	12	0	0	0	0
17030786	17030787	14	0	0	0	0
17030787	17030788	16	12	0	17010063	5
17030788	17030789	17	14	0	17010068	5
17030789	17030790	20	16	12	17010073	5
17030790	17030791	24	20	16	17030728	1
17030792	17030793	12	0	0	0	0
17030793	17030794	14	0	0	0	0
17030794	17030795	16	12	0	17010063	5
17030795	17030796	17	14	0	17010068	5
17030796	17030797	20	16	12	17010073	5
17030797	17030798	24	20	16	17030735	1
17030799	17030800	12	0	0	0	0
17030800	17030801	14	0	0	0	0
17030801	17030802	16	12	0	17010063	5
17030802	17030803	17	14	0	17010068	5
17030803	17030804	20	16	12	17010073	5
17030804	17030805	24	20	16	17030742	1
#		0	0	0		
17030056	17030119	12	8	4	17030118	1
17030063	17030126	12	8	4	17030125	1
17030070	17030133	12	8	4	17030132	1
17030077	17030140	12	8	4	17030139	1
17030084	17030147	12	8	4	17030146	1
17030091	17030154	12	8	4	17030153	1
17030098	17030161	12	8	4	17030160	1
17030105	17030168	12	8	4	17030167	1
17030112	17030175	12	8	4	17030174	1
17030119	17030182	12	8	4	17030181	1
17030126	17030189	12	8	4	17030188	1
17030133	17030196	12	8	4	17030195	1
17030140	17030203	12	8	4	17030202	1
17030147	17030210	12	8	4	17030209	1
17030154	17030217	12	8	4	17030216	1
17030161	17030224	12	8	4	17030223	1
17030168	17030231	12	8	4	17030230	1
17030175	17030238	12	8	4	17030237	1
17030182	17030245	14	9	6	17030244	1
17030189	17030252	14	9	6	17030251	1
17030196	17030259	14	9	6	17030258	1
17030203	17030266	14	9	6	17030265	1
17030210	17030273	14	9	6	17030272	1
17030217	17030280	14	9	6	17030279	1
17030224	17030287	14	9	6	17030286	1
17030231	17030294	14	9	6	17030293	1
17030238	17030301	14	9	6	17030300	1
17030245	17030308	14	9	6	17030307	1
17030252	17030315	14	9	6	17030314	1
17030259	17030322	14	9	6	17030321	1
17030266	17030329	14	9	6	17030328	1
17030273	17030336	14	9	6	17030335	1
17030280	17030343	14	9	6	17030342	1
17030287	17030350	14	9	6	17030349	1
17030294	17030357	14	9	6	17030356	1
17030301	17030364	14	9	6	17030363	1
17030308	17030371	16	12	8	17030370	1
17030315	17030378	16	12	8	17030377	1
17030322	17030385	16	12	8	17030384	1
17030329	17030392	16	12	8	17030391	1
17030336	17030399	16	12	8	17030398	1
17030343	17030406	16	12	8	17030405	1
17030350	17030413	16	12	8	17030412	1
17030357	17030420	16	12	8	17030419	1
17030364	17030427	16	12	8	17030426	1
17030371	17030434	16	12	8	17030433	1
17030378	17030441	16	12	8	17030440	1
17030385	17030448	16	12	8	17030447	1
17030392	17030455	16	12	8	17030454	1
17030399	17030462	16	12	8	17030461	1
17030406	17030469	16	12	8	17030468	1
17030413	17030476	16	12	8	17030475	1
17030420	17030483	16	12	8	17030482	1
17030427	17030490	16	12	8	17030489	1
17030434	17030497	17	14	9	17030496	1
17030441	17030504	17	14	9	17030503	1
17030448	17030511	17	14	9	17030510	1
17030455	17030518	17	14	9	17030517	1
17030462	17030525	17	14	9	17030524	1
17030469	17030532	17	14	9	17030531	1
17030476	17030539	17	14	9	17030538	1
17030483	17030546	17	14	9	17030545	1
17030490	17030553	17	14	9	17030552	1
17030497	17030560	17	14	9	17030559	1
17030504	17030567	17	14	9	17030566	1
17030511	17030574	17	14	9	17030573	1
17030518	17030581	17	14	9	17030580	1
17030525	17030588	17	14	9	17030587	1
