#ID	半身像头像	后宫出现特效	显示文本	选项1文本	选项1行为	选项2文本	选项2行为
id	img	girlAnime	dialog	optionA	cmdA	optionB	cmdB
33001301	luren2.png		老夫夜观天象，此地人杰地灵，你再往前500步内必有收获	天象怎么能看出地杰，打跑这个老神棍		姑且相信，继续往前走	文本跳转;33001303
33001302	luren2.png		哎哟，别打别打，我给你钱，就放我一马吧	算你识相	获得铜钱;1500		
33001303	luren2.png		噗哈哈哈，这个笨蛋踩到狗屎了吧，我赶紧闪	回家洗鞋			
33001401	luren2.png		公子印堂发黑，定是钱财给你招来灾祸，请给予贫道化解其中戾气	不信他，转身就走		相信他，给他钱	文本跳转;33001402;获得铜钱;-1000
33001402	luren2.png		妈咪妈咪轰...好的，你已经无灾无祸了，贫道告退	好像什么都没发生			
33001501	luren2.png		公子面带祥瑞，有失必有一得，给予贫道钱财必能获得更好的东西	不信他，转身就走		相信他，给他钱	文本跳转;33001502
33001502	luren2.png		哈哈，请仔细感受吧，贫道先行告退	地上居然留下块石头	获得科技币;200		
33001601	luren6.png		这位朋友你看，前面地上有块肥皂！	一脚踢开		小心翼翼地捡起来	文本跳转;33001602
33001602	luren6.png		哇塞，里面居然有金子	……	获得元宝;10		
33001701	luren6.png		小心！脚下！	先看是谁	文本跳转;33001702	先看脚下	文本跳转;33001703
33001702	luren6.png		哈哈，告诉你了你还往狗屎上面踩	回家洗鞋			
33001703	luren6.png		我勒个去，你脚下的...狗屎里面居然有金子！	金屎？！…	获得元宝;10		
33001801	luren6.png		朋友，朋友，你的钱包掉了	转身拾起	文本跳转;33001802		
33001802	luren6.png		哇塞，你真有钱，土豪我们做朋友吧	（好像不是我的钱包）	获得铜钱;1500		
33001901	luren4.png		嘿嘿，前面有一大波美女，有没有兴趣一起去调戏调戏啊？	欣然前往	文本跳转;33001902	教训流氓	文本跳转;33001904
33001902	luren4.png		哈哈，你被骗了，快交出钱来，这是条死路你想跑也跑不掉的！	打他	文本跳转;33001903	交钱	获得铜钱;-1000
33001903	luren4.png		哎哟好厉害，别打别打，我给你钱，就放我一马吧	算你识相	获得铜钱;1500		
33001904	luren4.png		哎哟，你这死基佬，美女都不看还想打我，赶~紧~走~	算你跑得快			
33002001	luren4.png		看什么看，没见过收保护费啊！	见义勇为，拔刀相助，赶走恶霸，成就单杀	获得攻击令;3	帮忙一起收保护费	获得铜钱;1500
33002101	luren4.png		打、打、打、打劫！此、此路是我…	二话不说，直接打	文本跳转;33002102	二话不说，直接跑	
33002102	luren4.png		哎、哎、哎哟，台、台词都没说、说完…	反派死于话多	获得攻击令;3		
33010101	dongxiaowanmm.png	1	终于找到个好地方，这里的溪水好清澈，太适合浣纱了	上前搭讪	文本跳转;33010102	假装路过	文本跳转;33010103
33010102	dongxiaowanmm.png	1	你好啊，想不到这荒郊野外的也能遇到人呢，真是太好了	有缘千里来相会	文本跳转;33010104	纯属巧合	文本跳转;33010110
33010103	dongxiaowanmm.png	1	你是要过去吗，小心这溪边的石头很滑的。	顺势搭讪	文本跳转;33010102	顺势摔倒	文本跳转;33010111
33010104	dongxiaowanmm.png	1	说得真好，公子真是才子呢，我这有些谜题，不知公子能不能猜出来呢？	请出题	文本跳转;33010105	算了，猜谜我不在行	文本跳转;33010110
33010105	dongxiaowanmm.png	1	好的，请听题：夕阳的晚霞没有雨（打一字）	暇	文本跳转;33010106	昊	文本跳转;33010109
33010106	dongxiaowanmm.png	1	不错哦，下一题：望美人兮天一方（打一字）	娱	文本跳转;33010107	姜	文本跳转;33010109
33010107	dongxiaowanmm.png	1	厉害，最后一题了：二（打一地名）	云南	文本跳转;33010108	四川	文本跳转;33010109
33010108	dongxiaowanmm.png	1	公子高才，想不到公子是真正有才华的人，今日遇见公子真是太高兴了，我们有缘再见吧	再见	获得好感;13010001		
33010109	dongxiaowanmm.png	1	嘻嘻，错了啦，公子你还是回去再好好想想吧~	回去想想		四处乱走	文本跳转;33010112
33010110	dongxiaowanmm.png	1	哦，那公子慢走哈，要注意脚下哦。	直接走人	文本跳转;33010112	顺势摔倒	文本跳转;33010111
33010111	dongxiaowanmm.png	1	哈哈，你真是太笨了，提醒了你还能摔倒，你看衣服都刮破了吧...	唉声叹气	文本跳转;33010117	不用你管	文本跳转;33010126
33010112	luren1.png		小伙子真是有缘，我这有条纱巾，如果你买下来，那你就交好运啦~	不买	文本跳转;33010113	买	文本跳转;33010114
33010113	luren1.png		真不识货，算老婆子走眼了，你走吧...	......			
33010114	luren1.png		小伙子真识货，快去送给那溪边浣纱的姑娘吧，她肯定喜欢	去送给姑娘	文本跳转;33010115		
33010115	dongxiaowanmm.png	1	公子你怎么又回来啦，诶~这纱巾是...送给我的？真的吗，好开森~好漂亮的纱巾啊	你开心就好	文本跳转;33010116;获得好感;13010001		
33010116	dongxiaowanmm.png	1	嘻嘻，谢谢公子，我们下次再见吧~	再见			
33010117	dongxiaowanmm.png	1	算啦，别担心啦，我知道附近的孙婆婆衣服补得特别好，我带你去补衣服吧	那就麻烦姑娘了	文本跳转;33010118	我自己去就行了	文本跳转;33010127
33010118	luren1.png		哟，小姑娘思春啦，带着情人来给老婆子我发喜糖吗？	......	文本跳转;33010119		
33010119	dongxiaowanmm.png	1	孙婆婆你误会啦，我们才认识的，是他的衣服破了，我带他来补补	......	文本跳转;33010120		
33010120	luren1.png		是这样啊，那让我巧手孙婆婆来帮你补补吧......恩，补好勒，请付银钱万两	这么贵？	文本跳转;33010121		
33010121	dongxiaowanmm.png	1	婆婆你怎么这样，平时你都不......	先看看她们怎么说	文本跳转;33010122	付钱并感谢姑娘	文本跳转;33010124
33010122	luren1.png		算了衣服拿走吧，既然姑娘你都发话了，小伙子想追姑娘可不能心疼钱哟~	汗......	文本跳转;33010123		
33010123	dongxiaowanmm.png	1	哇，衣服补好了，婆婆说的你别介意哈，我还有事先走了，再见~	再见			
33010124	dongxiaowanmm.png	1	对不起，我不知道婆婆今天怎么突然这样...希望公子别往心里去	能相遇姑娘已经是我的荣幸	文本跳转;33010125;获得好感;13010001		
33010125	dongxiaowanmm.png	1	嘻嘻，我就知道公子是个大方的人，下次再见吧~	再见			
33010126	dongxiaowanmm.png	1	真是好小气的人，不管你了，你快去补衣服吧~	这荒郊野外的...	文本跳转;33010117	生气走人	文本跳转;33010127
33010127	luren1.png		小伙子衣服破啦，让我巧手孙婆婆帮你补补吧~	补衣服	文本跳转;33010128		
33010128	luren1.png		小伙子别急，我这有条纱巾，如果你花金子买下来，我就不收你补衣服的钱	不买	文本跳转;33010129	买	文本跳转;33010130
33010129	luren1.png		真不识货，算啦...衣服补好了，付了钱你可以走了~	付钱走人			
33010130	luren1.png		小伙子真识货，快去送给那溪边浣纱的姑娘吧，她肯定喜欢	去送给姑娘	文本跳转;33010131		
33010131	dongxiaowanmm.png	1	公子你怎么又回来啦，诶~这纱巾是...送给我的？真的吗，好开森~好漂亮的纱巾啊	你开心就好	文本跳转;33010132;获得好感;13010001		
33010132	dongxiaowanmm.png	1	嘻嘻，谢谢公子，我们有缘再见吧~	再见			
33010201	dongxiaowanmm.png	1	这位店家，请问这条纱巾多少钱啊？	驻足观看	文本跳转;33010202	上前询问	文本跳转;33010203
33010202	luren6.png		ohhaomeilideguniang，biewenwoshishuiqingyuwoxianglian...	再听听看情况	文本跳转;33010204	说的什么鬼话	文本跳转;33010205
33010203	dongxiaowanmm.png	1	呀，是公子你啊，真是好巧。我想买一条纱巾，快来帮我看看吧~	询问店家	文本跳转;33010206	直接看货	文本跳转;33010207
33010204	dongxiaowanmm.png	1	什么意思啊？你可否说得清楚一点~	......	文本跳转;33010208		
33010205	dongxiaowanmm.png	1	什么意思啊？店家你可否说得清楚一点~	姑娘你注意安全	文本跳转;33010218	姑娘你小心骗子	文本跳转;33010237
33010206	luren6.png		ohhaomeilideguniang，biewenwoshishuiqingyuwoxianglian...	说的什么鬼话	文本跳转;33010205	姑娘你小心骗子	文本跳转;33010237
33010207	dongxiaowanmm.png	1	我觉得这里的每条都好好看哦，公子你认为怎么样呢？	成色不好	文本跳转;33010237	全买了	文本跳转;33010235
33010208	luren6.png		ohmygaode...nishenhouyouxiaotou...	好像快听懂了	文本跳转;33010209	打断他们的谈话	文本跳转;33010220
33010209	luren6.png		ohnizhegebendan...nagerendouzoule...nihaibuzou？	我终于明白了	文本跳转;33010210	我还是走了吧	文本跳转;33010212
33010210	luren6.png		你这个笨蛋一直看着我干嘛，刚才姑娘的钱包被偷了，她都追出去了，你还在这傻愣着	你怎么不早说	文本跳转;33010211	赶快追出去	文本跳转;33010214
33010211	luren6.png		我没说吗，哼哼，对你我话可说了，再见，后会无期！	这真是...			
33010212	dongxiaowanmm.png	1	公子，见到你太好了，你也是从这里出来的吧，你看见刚才偷我钱包的人了吗？	没看见...	文本跳转;33010214	你钱包被偷了？	文本跳转;33010213
33010213	dongxiaowanmm.png	1	这不是废话么...唉，我也是气糊涂了，你看到就会直接抓他了...我先走啦，得赶紧去找找看，再见	额，再见...			
33010214	dongxiaowanmm.png	1	呜呜呜，怎么办啊现在T___T 我的钱袋不见了，还想买那条纱巾，现在却连回家的路费都没有了....	怀疑店家有问题	文本跳转;33010215	给她充足的钱	文本跳转;33010216
33010215	dongxiaowanmm.png	1	不是的，就是刚才店家提醒我才发现钱包被偷的......我还是赶紧再去找找看吧，再见	诶？提醒？			
33010216	dongxiaowanmm.png	1	这怎么好呢...太多了，我怎么能还给你啊？！	不用还了	文本跳转;33010217;获得好感;13010001		
33010217	dongxiaowanmm.png	1	公子你要不要对我这么好，嗯~今天是实在没办法了，不过以后我还是会还的，用其他方式哟^_^~再见啦~	再见			
33010218	dongxiaowanmm.png	1	公子啊，我正在看丝巾呢，没事我很安全的，就是这个店家突然在说奇怪的话	静观其变	文本跳转;33010219	别上当	文本跳转;33010237
33010219	luren6.png		ohmygaode...nishenhouyouxiaotou...	打断他们的谈话	文本跳转;33010220	小心观察情况	文本跳转;33010226
33010220	dongxiaowanmm.png	1	公子有什么事情吗，打断别人很没礼貌的...算啦，你看这条丝巾好好看^_^，我都准备把它买下来呢~	不要买	文本跳转;33010221	我来买	文本跳转;33010224
33010221	dongxiaowanmm.png	1	为什么呢，我觉得挺好的啊，有什么问题吗？	你有问题	文本跳转;33010222	店家有问题	文本跳转;33010237
33010222	dongxiaowanmm.png	1	诶，我？我怎么了...咦？啊~呜呜呜，T___T 我的钱袋不见了...	......	文本跳转;33010223		
33010223	dongxiaowanmm.png	1	公子你太坏了，知道我钱袋被偷了居然不提醒我，呜呜呜，不理你了！	怪我咯...			
33010224	luren6.png		多谢惠顾，不过...（小声）小心你接下来还有其他麻烦~	......	文本跳转;33010225		
33010225	dongxiaowanmm.png	1	公子，这怎么好意思呢，我今天可是带了.......诶，诶，咦？不会吧？	怎么了？	文本跳转;33010245		
33010226	luren4.png		（嘿嘿，这可是个肥羊，马上就要得手了）	有小偷！！	文本跳转;33010227	抓住他	文本跳转;33010230
33010227	luren4.png		（TMD，眼看就要得手了，赶紧闪）	跑得好快...	文本跳转;33010228		
33010228	luren6.png		喊什么喊，你这么喊还要不要我做生意了，算了东西不卖你们了，赶紧走吧	......	文本跳转;33010229		
33010229	dongxiaowanmm.png	1	这店家好不讲理，可惜我还是很喜欢那条丝巾的...还是要多谢公子，不然我可血本无归啦~	举手之劳			
33010230	luren4.png		哎哟，大爷我错了，这是我上次偷的丝巾，送给你了，你就饶了我吧	拿来看看	文本跳转;33010231		
33010231	dongxiaowanmm.png	1	哇，这条丝巾好漂亮，简直比店里的任何一条都好看	送给她	文本跳转;33010232		
33010232	luren6.png		喂、喂，这可是我们店里的，赃物得物归原主，你们想要还得付钱	不理他	文本跳转;33010233	付钱	文本跳转;33010234
33010233	dongxiaowanmm.png	1	我来买下来吧，其实我上次来就看见这条丝巾了，确实是这家店的，...还是要多谢公子抓住了小偷	这......			
33010234	dongxiaowanmm.png	1	哇，公子你真好，其实我上次来就看上这条丝巾了，谢谢你为我破费了，还抓住了小偷，你真厉害~	嘿嘿，小事一桩	获得好感;13010001		
33010235	dongxiaowanmm.png	1	哇公子要不要这么壕，我可没这么多钱啊~	没事，看我的...	文本跳转;33010236		
33010236	luren6.png		...既然你这么壕..给金子，不二价！	你这是漫天要价	文本跳转;33010237	买	文本跳转;33010242
33010237	luren6.png		呵呵，既然如此公子请自便，别怪我没提醒你，一会可就不止买不买的问题了	......	文本跳转;33010238		
33010238	dongxiaowanmm.png	1	公子没关系的，我就想买一条而已，也值不了几个钱......诶，咦？不会吧？	怎么了？	文本跳转;33010239		
33010239	dongxiaowanmm.png	1	呜呜呜，怎么办啊现在T___T 我的钱袋不见了，还想买那条纱巾，现在却连回家的路费都没有了....	给她充足的钱	文本跳转;33010240	......	
33010240	dongxiaowanmm.png	1	这怎么好呢...太多了，我怎么能还给你啊？！	不用还了	文本跳转;33010241;获得好感;13010001		
33010241	dongxiaowanmm.png	1	公子你要不要对我这么好，嗯~今天是实在没办法了，不过以后我还是会还的，用其他方式哟^_^~再见啦~	再见			
33010242	luren6.png		好，公子你真痛快，（小声）赶紧走吧，这附近小偷很多~	我不怕小偷	文本跳转;33010243	马上就走	文本跳转;33010246
33010243	luren6.png		呵呵，既然如此公子请自便，别怪我没提醒你，一会可就不止买东西的钱了	......	文本跳转;33010244		
33010244	dongxiaowanmm.png	1	这次让公子破费了，不过今天真高兴，我一定还......诶，咦？不会吧？	怎么了？	文本跳转;33010245		
33010245	dongxiaowanmm.png	1	呜呜呜，怎么办啊现在T___T 我的钱袋不见了，现在连回家的路费都没有了....	给她回家路费	文本跳转;33010240	......	
33010246	dongxiaowanmm.png	1	公子怎么着急就走啊，我想再看看...不过这次让公子破费了，真是...	这里不安全，先回家吧	文本跳转;33010247;获得好感;13010001		
33010247	dongxiaowanmm.png	1	好的，我听公子的话，期望下次还能再见哦，么么哒~	下次再见			
33010301	dongxiaowanmm.png	1	公子好久不见啦，我好高兴又见到你了，最近好吗？	不是太好	文本跳转;33010302	精神倍棒，吃嘛嘛香	文本跳转;33010303
33010302	dongxiaowanmm.png	1	啊~公子你也不太好吗？我还以为只有我才...你怎么了呢？	你怎么了？	文本跳转;33010304	因为我想你啊	文本跳转;33010305
33010303	dongxiaowanmm.png	1	嗯哪~公子你过得好就好，最近有木有想我啊？	无时无刻不在想你	文本跳转;33010305	只在一个时候想你	文本跳转;33010306
33010304	dongxiaowanmm.png	1	嘻嘻，我最近胸口一阵阵的疼，特别是想到某些人的时候~	你......	文本跳转;33010307		
33010305	dongxiaowanmm.png	1	嘻嘻，原来公子这么油嘴滑舌，不说这个啦，我们一起去散散步吧~	欣然前往	文本跳转;33010325		
33010306	dongxiaowanmm.png	1	啊，只有一个时候啊⊙﹏⊙，那什么时候才会想起我呢？	你也想我的时候	文本跳转;33010305	呼吸的时候	文本跳转;33010337
33010307	dongxiaowanmm.png	1	不说这个啦，我们一起去散散步吧~	欣然前往	文本跳转;33010308		
33010308	dongxiaowanmm.png	1	啦啦啦o(≧v≦)o~~诶，前面好像有人过来了	小心防备	文本跳转;33010309	打个招呼	文本跳转;33010310
33010309	luren4.png		哈哈，两个小娃娃别紧张，大爷我可是个好人，只要给钱就放过你们，哈啊哈哈...	拉起姑娘快跑	文本跳转;33010334	乖乖给钱	文本跳转;33010311
33010310	luren4.png		哈哈，小娃娃很有礼貌嘛，不过现在咱们这么近，你们已经跑不掉啦，乖乖给钱吧，哈啊哈哈...	乖乖给钱	文本跳转;33010311	拼命一战	文本跳转;33010318
33010311	luren4.png		靠，这么一点，你当我是要饭的啊！	多给点	文本跳转;33010312	拉起姑娘快跑	文本跳转;33010334
33010312	luren4.png		妈了个叽叽，直接给金的，痛快点！	.......	文本跳转;33010313		
33010313	dongxiaowanmm.png	1	公子算了，你先走吧，不用为我再为难了，我会自己想办法的	直接给金子	文本跳转;33010314	我跟你拼了	文本跳转;33010318
33010314	luren4.png		嗯你这小子还算不错，大爷我说话算话，你们走吧	拉着姑娘离开	文本跳转;33010315		
33010315	dongxiaowanmm.png	1	公子其实他只有一个人，我们可以分头逃走，你也不必...	你身子不舒服的...	文本跳转;33010316;获得好感;13010001		
33010316	dongxiaowanmm.png	1	我只随口说了，公子就这么放在心上......嗯啦~我的小小心意，千万一定要收下哦，算对你的奖励啦~	这......	文本跳转;33010317		
33010317	dongxiaowanmm.png	1	嗯收下就乖啦，如果还有机会再见的话，我就会......这次我们就先到这里吧，望有缘...再见~	再见			
33010318	luren4.png		哎哟，臭小子还挺厉害，看我泥鳅滑步，先绑了那妞...	......	文本跳转;33010319		
33010319	dongxiaowanmm.png	1	啊，你这个卑鄙小人，居然用我来做人质，敢不敢跟我家公子刚正面！	......	文本跳转;33010320		
33010320	luren4.png		嘿嘿，我就是卑鄙小人怎么了，现在妞在我手上，乖乖给钱别糊弄！不然伤了可别怪我	冲上去搭救	文本跳转;33010321	直接给金子	文本跳转;33010324
33010321	luren4.png		妈的，臭小子真狠，拼着姑娘受伤也不管，咱们走着瞧	......	文本跳转;33010322		
33010322	dongxiaowanmm.png	1	哎哟！这强盗好狠啊，临走都要踹我一脚...	姑娘你怎么样	文本跳转;33010323		
33010323	dongxiaowanmm.png	1	没事，小意思而已...哎哟，我还是先回去了，公子再见~	再见			
33010324	luren4.png		嘿嘿痛快，那我就先走了，你们就慢慢在这亲热吧	......	文本跳转;33010332		
33010325	dongxiaowanmm.png	1	啦啦啦o(≧v≦)o~~诶，前面好像有人过来了	往前直走	文本跳转;33010326	向后退走	文本跳转;33010327
33010326	luren4.png		哈哈，两个小娃娃送上门来可别怪我，交出你们的钱，大爷我心情好会给你们留点，哈啊哈哈...	拼命一战	文本跳转;33010318	乖乖给钱	文本跳转;33010328
33010327	luren4.png		给我乖乖站住，想往哪里走啊，交钱不杀，哈啊哈哈...	乖乖给钱	文本跳转;33010328	拉起姑娘快跑	文本跳转;33010334
33010328	luren4.png		靠，这么一点，你当我是要饭的啊！	多给点	文本跳转;33010329	拉起姑娘快跑	文本跳转;33010334
33010329	luren4.png		妈了个叽叽，直接给金的，痛快点！你能跑，你身后的妞可跑不掉的	......	文本跳转;33010330		
33010330	dongxiaowanmm.png	1	公子算了，你先走吧，不用为我再为难了，我会自己想办法的	我跟他拼了	文本跳转;33010318	直接给金子	文本跳转;33010331
33010331	luren4.png		嗯你这小子还算不错，大爷我说话算话，你们走吧	赶~紧~走~	文本跳转;33010332		
33010332	dongxiaowanmm.png	1	呼，终于摆脱那人了...公子，你大可以自己走的，何必为了我而浪费...	这是我应该做的	文本跳转;33010333;获得好感;13010001		
33010333	dongxiaowanmm.png	1	我现在是真的无以为报了...不过居然有些小小的开心，嘻嘻，公子我们有缘再见吧~	嗯~			
33010334	dongxiaowanmm.png	1	呼....呼....公子，我跑不动了，别管我了，你自己逃吧~	反身战斗	文本跳转;33010318	路上撒钱	文本跳转;33010335
33010335	luren4.png		嘿嘿，小娃娃还挺机灵的嘛，不过么区区银子我还不放在眼里	大撒金钱	文本跳转;33010336	我跟你拼了	文本跳转;33010318
33010336	luren4.png		哇，这么多金子，真是有钱任性啊，不要可以给我嘛，哈哈我捡，都是我的...	赶~紧~走~	文本跳转;33010332		
33010337	dongxiaowanmm.png	1	死相^_^，你的才华就是这么用的啊，不知道要祸害多少少女呢	要祸害也只祸害你	文本跳转;33010338		
33010338	dongxiaowanmm.png	1	（脸红）不说这个啦，我们一起去散散步吧~	欣然前往	文本跳转;33010339		
33010339	dongxiaowanmm.png	1	啦啦啦o(≧v≦)o~~诶，前面好像有人过来了	向后退走	文本跳转;33010340	往前直走	文本跳转;33010343
33010340	luren4.png		给我乖乖站住，想往哪里走啊，交钱不杀，哈啊哈哈...	拉起姑娘快跑	文本跳转;33010341	乖乖给钱	文本跳转;33010328
33010341	dongxiaowanmm.png	1	呼....呼....公子，我跑不动了，别管我了，你自己逃吧~	路上撒钱	文本跳转;33010342		
33010342	luren4.png		嘿嘿，小娃娃还挺机灵的嘛，不过么区区银子我还不放在眼里	大撒金钱	文本跳转;33010336	我跟你拼了	文本跳转;33010318
33010343	luren4.png		哈哈，两个小娃娃送上门来可别怪我，交出你们的钱，大爷我心情好会给你们留点，哈啊哈哈...	乖乖给钱	文本跳转;33010328	拼命一战	文本跳转;33010344
33010344	luren4.png		哎哟，臭小子还挺厉害，看我泥鳅滑步，先绑了那妞...	......	文本跳转;33010345		
33010345	dongxiaowanmm.png	1	啊，你这个卑鄙小人，居然用我来做人质，敢不敢跟我家公子刚正面！	......	文本跳转;33010346		
33010346	luren4.png		嘿嘿，我就是卑鄙小人怎么了，现在妞在我手上，乖乖给钱别糊弄！不然伤了可别怪我	冲上去搭救	文本跳转;33010347	直接给金子	文本跳转;33010350
33010347	luren4.png		妈的，臭小子真狠，拼着姑娘受伤也不管，咱们走着瞧	......	文本跳转;33010348		
33010348	dongxiaowanmm.png	1	哎哟！这强盗好狠啊，临走都要踹我一脚...	姑娘你怎么样	文本跳转;33010349		
33010349	dongxiaowanmm.png	1	没事，小意思而已...哎哟，我还是先回去了，公子再见~	再见			
33010350	luren4.png		嘿嘿痛快，那我就先走了，你们就慢慢在这亲热吧	......	文本跳转;33010351		
33010351	dongxiaowanmm.png	1	呼...那人终于走了...公子，你的文采、武功都好厉害啊~(^o^)~，我、我都在旁边看呆了...	嘿嘿，小意思	文本跳转;33010352;获得好感;13010001		
33010352	dongxiaowanmm.png	1	不过这次又害你破费了，都怪我没用...我这小小心意，是对你的补偿啦，千万一定要收下哦~	这......	文本跳转;33010353		
33010353	dongxiaowanmm.png	1	好啦，不用这个那个的，如果还有机会再见，我会给你个惊喜哟...就这样吧，我就先走啰~	再见			
33010401	dongxiaowanmm.png	1	公子，我们终于还是终究是又见面啦~	姑娘最近好吗？	文本跳转;33010402		
33010402	dongxiaowanmm.png	1	嘻嘻，也好也不好，公子你猜猜看？	挺不好	文本跳转;33010403	挺好的	文本跳转;33010404
33010403	dongxiaowanmm.png	1	哇，猜得真准，那能猜到我哪不舒服？	胸不舒服	文本跳转;33010405	头不舒服	文本跳转;33010414
33010404	dongxiaowanmm.png	1	是啊，自从遇到了你之后都很开心呢，每当想你的时候...	我也想你	文本跳转;33010415	想我什么	文本跳转;33010437
33010405	dongxiaowanmm.png	1	真是厉害⊙_⊙，这都能猜到，公子高才...	哪里哪里~	文本跳转;33010406		
33010406	dongxiaowanmm.png	1	说真的，其实我的心口从小就不舒服，最近还开始一阵阵的疼＋﹏＋	我陪你去看大夫吧	文本跳转;33010407	让我帮你揉揉吧	文本跳转;33010411
33010407	dongxiaowanmm.png	1	不用了，我这都是陈年旧疾了，开了很多大夫都看不好的，先陪我去逛街吧~	不去	文本跳转;33010408	去	文本跳转;33010416
33010408	dongxiaowanmm.png	1	唉~真是拿你没办法~（轻皱眉头，捂着心口）...	好吧我们逛街去	文本跳转;33010416	看得呆了	文本跳转;33010409
33010409	luren2.png		你这小子真有福，看到传说中的西子捧心，看在老夫也占光的份上就给你打个半价吧...	......	文本跳转;33010410		
33010410	luren2.png		心病还需心药医，只要支付小小诊金，老夫就告诉你药方，让这小姑娘药到病除~	给钱	文本跳转;33010423	不理他	
33010411	dongxiaowanmm.png	1	咦~公子你好坏，想干什么呢....	有病赶紧治	文本跳转;33010412	开个玩笑	文本跳转;33010413
